"var","categoria","Muy buena","Buena","Regular","Mala","Muy mala"
"P06","Mucho",0.764,0.751,0.602,0.505,0.617
"P06","Bastante",0.14,0.177,0.305,0.339,0.275
"P06","Poco",0.08,0.037,0.079,0.145,0.077
"P06","Nada",0,0.035,0.005,0.011,0.026
"P06","No sabe",0.016,0,0.009,0,0.005
"P07","Siempre",0.42,0.294,0.231,0.181,0.269
"P07","Casi siempre",0.465,0.385,0.412,0.474,0.39
"P07","Casi nunca",0.101,0.245,0.334,0.299,0.272
"P07","Nunca, pero esta es una excepción",0.014,0.076,0.023,0.046,0.069
"P09","Gran excedente habitual",0.094,0.044,0.007,0.004,0.019
"P09","Gran excedente excepcional",0,0.056,0.023,0.02,0.03
"P09","Pequeño excedente habitual",0.068,0.182,0.121,0.144,0.108
"P09","Pequeño excedente excepcional",0.115,0.149,0.189,0.155,0.16
"P09","Alcanza gastos familia",0.041,0.113,0.126,0.125,0.184
"P09","No alcanza gastos familia",0.105,0.007,0.049,0.067,0.063
"P09","Solo NBFamiliares",0.179,0.306,0.295,0.246,0.244
"P09","No alcanza NBFamiliares",0.398,0.131,0.181,0.232,0.184
"P09","No sabe",0,0.012,0.009,0.007,0.008
"P10","Tiene Decidido que va a ir a votar",0.891,0.96,0.879,0.889,0.904
"P10","Tiene dudas sobre si va a ir a  votar",0.033,0.027,0.093,0.09,0.071
"P10","Tiene Decidido que no va a ir a votar",0.076,0.013,0.028,0.021,0.025
"P13","Unión por la Patria",0.631,0.871,0.757,0.236,0.052
"P13","Juntos por el Cambio ",0.113,0.091,0.081,0.391,0.486
"P13","Liberales",0.056,0.009,0.025,0.179,0.313
"P13","Izquierda",0.087,0.002,0.056,0.066,0.048
"P13","Hacemos por Nuestro país",0.033,0.023,0.03,0.047,0.038
"P13","No sabe",0.08,0.004,0.051,0.081,0.063
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.602,0.818,0.71,0.297,0.081
