"var","categoria","Muy positiva","Positiva","Neutral","Algo negativa","Negativa","No sabe"
"P06","Mucho",0.623,0.547,0.688,0.562,0.659,0.443
"P06","Bastante",0.288,0.337,0.203,0.31,0.261,0.345
"P06","Poco",0.072,0.097,0.09,0.128,0.064,0.096
"P06","Nada",0.017,0.014,0.01,0,0.004,0.059
"P06","No sabe",0,0.005,0.009,0,0.012,0.057
"P07","Siempre",0.287,0.206,0.341,0.172,0.37,0.277
"P07","Casi siempre",0.373,0.504,0.414,0.492,0.424,0.512
"P07","Casi nunca",0.289,0.272,0.205,0.246,0.15,0.164
"P07","Nunca, pero esta es una excepción",0.051,0.018,0.04,0.09,0.056,0.047
"P09","Gran excedente habitual",0.019,0.032,0.01,0.01,0.016,0
"P09","Gran excedente excepcional",0.029,0.033,0.022,0.014,0.022,0.022
"P09","Pequeño excedente habitual",0.152,0.131,0.11,0.143,0.08,0.038
"P09","Pequeño excedente excepcional",0.159,0.123,0.142,0.157,0.185,0.242
"P09","Alcanza gastos familia",0.138,0.14,0.153,0.208,0.184,0.034
"P09","No alcanza gastos familia",0.033,0.055,0.073,0.063,0.099,0.05
"P09","Solo NBFamiliares",0.249,0.3,0.286,0.225,0.199,0.364
"P09","No alcanza NBFamiliares",0.218,0.173,0.182,0.176,0.215,0.164
"P09","No sabe",0.003,0.013,0.022,0.004,0,0.086
"P10","Tiene Decidido que va a ir a votar",0.935,0.893,0.872,0.951,0.867,0.651
"P10","Tiene dudas sobre si va a ir a  votar",0.045,0.069,0.106,0.046,0.11,0.216
"P10","Tiene Decidido que no va a ir a votar",0.02,0.038,0.022,0.003,0.023,0.133
"P13","Unión por la Patria",0.717,0.357,0.129,0.03,0.043,0.087
"P13","Juntos por el Cambio ",0.104,0.365,0.41,0.564,0.508,0.304
"P13","Liberales",0.05,0.137,0.275,0.274,0.299,0.227
"P13","Izquierda",0.045,0.025,0.094,0.051,0.077,0.088
"P13","Hacemos por Nuestro país",0.032,0.051,0.034,0.005,0.029,0.04
"P13","No sabe",0.052,0.065,0.058,0.076,0.044,0.254
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.691,0.391,0.181,0.081,0.044,0.057
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.12,0.35,0.441,0.564,0.636,0.306
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.107,0.187,0.268,0.259,0.254,0.278
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.021,0.011,0.035,0.054,0.021,0.111
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.034,0.029,0.041,0,0.005,0
"P14","En blanco",0.017,0.02,0.017,0.042,0.003,0.132
"P14","No sabe",0.01,0.012,0.017,0,0.037,0.116
"P17","Totalmente seguro",0.777,0.688,0.636,0.701,0.718,0.611
"P17","Bastante seguro",0.087,0.169,0.181,0.099,0.132,0.159
"P17","Algo seguro",0.082,0.104,0.122,0.119,0.095,0.156
"P17","Para nada seguro",0.054,0.039,0.061,0.081,0.055,0.074
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.045,0.122,0.192,0.669,0.499,0.501
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.02,0.085,0.273,0.203,0.501,0.155
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.252,0.115,0.21,0.128,0,0
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.397,0.148,0.302,0,0,0.344
"P22","En blanco",0.205,0.293,0,0,0,0
"P22","No sabe",0.081,0.237,0.023,0,0,0
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.192,0.147,0.074,0.072,0.092,0.073
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.473,0.347,0.386,0.35,0.364,0.033
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.173,0.125,0.206,0.145,0.072,0.415
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0,0.012,0.01,0.048,0.083,0
"P25","En blanco",0.134,0.236,0.214,0.27,0.304,0.232
"P25","No sabe",0.028,0.133,0.11,0.115,0.085,0.247
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.367,0.102,0.165,0.174,0.041,0
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.36,0.288,0.521,0.431,0.459,0.346
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.074,0.341,0.094,0.269,0.199,0.158
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.012,0.029,0.057,0.039,0.041,0
"P28","En blanco",0.109,0.194,0.142,0.087,0.225,0.496
"P28","No sabe",0.078,0.046,0.021,0,0.035,0
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.175,0.231,0.466,0.458,0.526,0.273
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.06,0.304,0.218,0.344,0.273,0.418
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.476,0.325,0.19,0.086,0.046,0.146
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.166,0.073,0.049,0.075,0.036,0
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.099,0.022,0.043,0.004,0.072,0.091
"P36","No sabe",0.024,0.045,0.034,0.033,0.047,0.072
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.714,0.389,0.229,0.022,0.081,0.277
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.129,0.415,0.574,0.809,0.693,0.4
"P37","En blanco",0.119,0.117,0.136,0.097,0.18,0.094
"P37","No sabe",0.038,0.079,0.061,0.072,0.046,0.229
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.216,0.391,0.503,0.631,0.548,0.478
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.1,0.186,0.288,0.262,0.315,0.195
"P38","En blanco",0.517,0.324,0.13,0.012,0.068,0.12
"P38","No sabe",0.167,0.099,0.079,0.095,0.069,0.207
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.725,0.429,0.216,0.079,0.127,0.341
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.107,0.285,0.464,0.598,0.504,0.278
"P39","En blanco",0.106,0.185,0.202,0.181,0.256,0.11
"P39","No sabe",0.062,0.101,0.118,0.142,0.113,0.271
"P40","Lo votaría",0.702,0.375,0.176,0.066,0.133,0.33
"P40","Puede que lo vote",0.109,0.178,0.152,0.147,0.079,0.143
"P40","Nunca lo votaría",0.163,0.406,0.642,0.767,0.734,0.381
"P40","No sabe",0.026,0.041,0.03,0.02,0.054,0.146
"P41","Lo votaría",0.173,0.443,0.474,0.528,0.631,0.429
"P41","Puede que lo vote",0.051,0.093,0.132,0.227,0.105,0.118
"P41","Nunca lo votaría",0.745,0.409,0.346,0.173,0.217,0.274
"P41","No sabe",0.031,0.055,0.048,0.072,0.047,0.179
"P42","Lo votaría",0.1,0.217,0.364,0.304,0.388,0.212
"P42","Puede que lo vote",0.066,0.131,0.181,0.291,0.221,0.22
"P42","Nunca lo votaría",0.806,0.578,0.407,0.366,0.325,0.445
"P42","No sabe",0.028,0.074,0.048,0.039,0.066,0.123
"P43","Lo votaría",0.149,0.102,0.091,0.074,0.102,0.056
"P43","Puede que lo vote",0.403,0.237,0.11,0.079,0.055,0.172
"P43","Nunca lo votaría",0.372,0.598,0.763,0.779,0.837,0.658
"P43","No sabe",0.076,0.063,0.036,0.068,0.006,0.114
"P44","Lo votaría",0.089,0.09,0.069,0.093,0.057,0.057
"P44","Puede que lo vote",0.293,0.304,0.205,0.207,0.199,0.232
"P44","Nunca lo votaría",0.576,0.526,0.669,0.577,0.71,0.49
"P44","No sabe",0.042,0.08,0.057,0.123,0.034,0.221
"P53","Sergio Massa y Javier Milei",0.696,0.41,0.254,0.234,0.137,0.314
"P53","Patricia Bullrich y Javier Milei",0.121,0.388,0.548,0.626,0.674,0.39
"P53","Sergio Massa y Patricia Bullrich",0.183,0.202,0.198,0.14,0.189,0.296
"P54","Muy buena",0.115,0.051,0.086,0.015,0.08,0.077
"P54","Buena",0.113,0.164,0.134,0.066,0.165,0.055
"P54","Regular",0.385,0.206,0.076,0.033,0.03,0.284
"P54","Mala",0.26,0.241,0.151,0.294,0.12,0.191
"P54","Muy mala",0.127,0.338,0.553,0.592,0.605,0.393
"P55","Muy buena",0.1,0.035,0,0,0.014,0.026
"P55","Buena",0.238,0.114,0.042,0.005,0.005,0
"P55","Regular",0.368,0.244,0.104,0.054,0.025,0.302
"P55","Mala",0.171,0.201,0.192,0.313,0.166,0.244
"P55","Muy mala",0.123,0.406,0.662,0.628,0.79,0.428
"P56","Muy buena",0.213,0.089,0.055,0.045,0.023,0.114
"P56","Buena",0.335,0.239,0.103,0.157,0.129,0.02
"P56","Regular",0.295,0.372,0.356,0.394,0.278,0.493
"P56","Mala",0.108,0.181,0.257,0.236,0.215,0.148
"P56","Muy mala",0.049,0.119,0.229,0.168,0.355,0.225
"P57","Muy buena",0.132,0.086,0.035,0.027,0.029,0.097
"P57","Buena",0.326,0.3,0.197,0.15,0.179,0.241
"P57","Regular",0.42,0.388,0.479,0.573,0.399,0.518
"P57","Mala",0.096,0.162,0.189,0.202,0.179,0.064
"P57","Muy mala",0.026,0.064,0.1,0.048,0.214,0.08
"P58","Muy buena",0.202,0.145,0.032,0.016,0.041,0
"P58","Buena",0.339,0.256,0.161,0.058,0.105,0.355
"P58","Regular",0.327,0.297,0.331,0.363,0.286,0.35
"P58","Mala",0.077,0.181,0.277,0.311,0.221,0.264
"P58","Muy mala",0.055,0.121,0.199,0.252,0.347,0.031
"P59","Muy buena",0.188,0.069,0.098,0.128,0.064,0.094
"P59","Buena",0.421,0.379,0.22,0.185,0.23,0.25
"P59","Regular",0.29,0.365,0.46,0.406,0.391,0.496
"P59","Mala",0.072,0.143,0.138,0.123,0.134,0.14
"P59","Muy mala",0.029,0.044,0.084,0.158,0.181,0.02
"P60","Ha aumentado significativamente",0.193,0.106,0.064,0.049,0.043,0
"P60","Ha aumentado ligeramente",0.298,0.283,0.199,0.106,0.126,0.187
"P60","Se mantiene igual",0.311,0.311,0.271,0.232,0.186,0.412
"P60","Ha disminuido ligeramente",0.126,0.156,0.209,0.345,0.26,0.258
"P60","Ha disminuido significativamente",0.072,0.144,0.257,0.268,0.385,0.143
"P61","Muy baja",0.063,0.059,0.038,0,0.021,0
"P61","Baja",0.079,0.09,0.065,0.063,0.021,0.079
"P61","Moderada",0.114,0.148,0.059,0.035,0.009,0.262
"P61","Alta",0.399,0.194,0.185,0.246,0.074,0.118
"P61","Muy alta",0.345,0.509,0.653,0.656,0.875,0.541
"P62","Muy bajas",0.087,0.043,0.07,0.058,0.082,0.053
"P62","Bajas",0.09,0.236,0.171,0.261,0.171,0.022
"P62","Adecuadas",0.401,0.34,0.211,0.254,0.154,0.364
"P62","Altas",0.298,0.201,0.263,0.291,0.184,0.25
"P62","Muy altas",0.124,0.18,0.285,0.136,0.409,0.311
"P63","No, ninguna dificultad",0.521,0.43,0.366,0.417,0.279,0.537
"P63","Alguna dificultad ocasional",0.255,0.377,0.391,0.261,0.337,0.285
"P63","Sí, dificultades frecuentes",0.224,0.193,0.243,0.322,0.384,0.178
"P64","Sí, absolutamente",0.689,0.344,0.312,0.136,0.206,0.513
"P64","Sí, en cierta medida",0.246,0.461,0.403,0.573,0.251,0.33
"P64","No, en absoluto",0.065,0.195,0.285,0.291,0.543,0.157
"P65","Reducir la inflación",0.481,0.42,0.447,0.225,0.234,0.411
"P65","Implementar reformas fiscales",0.134,0.183,0.14,0.139,0.13,0.048
"P65","Establecer políticas de control de precios",0.27,0.135,0.055,0.095,0.113,0.143
"P65","Reducir el gasto público",0.07,0.234,0.329,0.455,0.451,0.355
"P65","Estimular la inversión extranjera",0.022,0.022,0.029,0.068,0.057,0.043
"P65","Aumentar los subsidios a los servicios públicos",0.023,0.006,0,0.018,0.015,0
"P66","Fomentar la competencia entre proveedores",0.244,0.253,0.525,0.485,0.437,0.344
"P66","Incrementar la inversión en infraestructura",0.298,0.326,0.168,0.238,0.247,0.264
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.165,0.157,0.072,0.115,0.077,0.104
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.293,0.264,0.235,0.162,0.239,0.288
"P67","Muy positiva",0.441,0.095,0.105,0.062,0.093,0.158
"P67","Positiva",0.312,0.388,0.173,0.113,0.048,0.11
"P67","Neutral",0.147,0.314,0.394,0.237,0.139,0.108
"P67","Algo negativa",0.062,0.112,0.164,0.404,0.204,0.177
"P67","Negativa",0.015,0.03,0.113,0.152,0.455,0.073
"P67","No sabe",0.023,0.061,0.051,0.032,0.061,0.374
"P68","Muy positivo",0.379,0.069,0.087,0.005,0.013,0.033
"P68","Positivo",0.359,0.372,0.143,0.027,0,0.036
"P68","Neutral",0.174,0.328,0.457,0.367,0.171,0.203
"P68","Algo negativo",0.036,0.077,0.151,0.328,0.189,0.011
"P68","Negativo",0.024,0.033,0.123,0.226,0.562,0.084
"P68","No sabe",0.028,0.121,0.039,0.047,0.065,0.633
"P69","Muy positivo",0.245,0.061,0.016,0.019,0.012,0.02
"P69","Positivo",0.293,0.361,0.036,0.056,0.011,0
"P69","Neutral",0.375,0.393,0.773,0.494,0.328,0.111
"P69","Algo negativo",0.035,0.049,0.068,0.251,0.137,0.011
"P69","Negativo",0.022,0.013,0.062,0.125,0.459,0
"P69","No sabe",0.03,0.123,0.045,0.055,0.053,0.858
"P71","Muy positivo",0.828,0.127,0.066,0.056,0.032,0.072
"P71","Positivo",0.115,0.668,0.145,0.022,0.003,0.271
"P71","Neutral",0.018,0.133,0.64,0.118,0.119,0.097
