"var","categoria","Muy positivo","Positivo","Neutral","Algo negativo","Negativo","No sabe"
"P06","Mucho",0.674,0.551,0.617,0.672,0.609,0.441
"P06","Bastante",0.255,0.33,0.261,0.182,0.321,0.22
"P06","Poco",0.065,0.082,0.107,0.14,0.053,0.227
"P06","Nada",0,0.033,0.011,0.006,0.008,0.024
"P06","No sabe",0.006,0.004,0.004,0,0.009,0.088
"P07","Siempre",0.288,0.24,0.277,0.296,0.377,0.223
"P07","Casi siempre",0.417,0.449,0.438,0.393,0.437,0.48
"P07","Casi nunca",0.239,0.266,0.24,0.266,0.142,0.279
"P07","Nunca, pero esta es una excepción",0.056,0.045,0.045,0.045,0.044,0.018
"P09","Gran excedente habitual",0.025,0.011,0.016,0.006,0.028,0.012
"P09","Gran excedente excepcional",0.011,0.029,0.028,0,0.022,0
"P09","Pequeño excedente habitual",0.132,0.129,0.159,0.082,0.062,0.081
"P09","Pequeño excedente excepcional",0.159,0.126,0.149,0.133,0.208,0.178
"P09","Alcanza gastos familia",0.124,0.187,0.145,0.164,0.159,0.223
"P09","No alcanza gastos familia",0.047,0.043,0.063,0.104,0.086,0.099
"P09","Solo NBFamiliares",0.282,0.258,0.261,0.258,0.224,0.162
"P09","No alcanza NBFamiliares",0.22,0.202,0.163,0.253,0.211,0.13
"P09","No sabe",0,0.015,0.016,0,0,0.115
"P10","Tiene Decidido que va a ir a votar",0.936,0.876,0.88,0.91,0.911,0.777
"P10","Tiene dudas sobre si va a ir a  votar",0.038,0.105,0.102,0.035,0.078,0.014
"P10","Tiene Decidido que no va a ir a votar",0.026,0.019,0.018,0.055,0.011,0.209
"P13","Unión por la Patria",0.687,0.417,0.145,0.081,0.062,0.107
"P13","Juntos por el Cambio ",0.119,0.292,0.436,0.45,0.479,0.487
"P13","Liberales",0.071,0.118,0.263,0.293,0.332,0.026
"P13","Izquierda",0.061,0.056,0.044,0.097,0.07,0
"P13","Hacemos por Nuestro país",0.024,0.042,0.035,0.022,0.03,0.031
"P13","No sabe",0.038,0.075,0.077,0.057,0.027,0.349
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.65,0.44,0.218,0.104,0.047,0.055
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.135,0.256,0.474,0.529,0.606,0.435
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.137,0.197,0.202,0.268,0.324,0.115
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.022,0.04,0.011,0.081,0.016,0.046
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.024,0.031,0.049,0,0,0
"P14","En blanco",0.026,0.018,0.026,0,0.003,0.133
