"var","categoria","Fomentar la competencia entre proveedores","Incrementar la inversión en infraestructura","Implementar políticas de subsidios focalizados en grupos vulnerables","Realizar auditorías periódicas a las empresas de servicios públicos"
"P06","Mucho",0.627,0.6,0.69,0.613
"P06","Bastante",0.258,0.314,0.25,0.257
"P06","Poco",0.098,0.062,0.045,0.111
"P06","Nada",0.007,0.019,0.009,0.019
"P06","No sabe",0.01,0.005,0.006,0
"P07","Siempre",0.299,0.227,0.221,0.283
"P07","Casi siempre",0.366,0.466,0.507,0.43
"P07","Casi nunca",0.289,0.265,0.259,0.228
"P07","Nunca, pero esta es una excepción",0.046,0.042,0.013,0.059
"P09","Gran excedente habitual",0.011,0.021,0.019,0.028
"P09","Gran excedente excepcional",0.012,0.056,0.02,0.027
"P09","Pequeño excedente habitual",0.102,0.161,0.158,0.116
"P09","Pequeño excedente excepcional",0.157,0.179,0.102,0.162
"P09","Alcanza gastos familia",0.175,0.134,0.116,0.156
"P09","No alcanza gastos familia",0.077,0.031,0.079,0.04
"P09","Solo NBFamiliares",0.263,0.248,0.221,0.286
"P09","No alcanza NBFamiliares",0.184,0.166,0.274,0.182
"P09","No sabe",0.019,0.004,0.011,0.003
"P10","Tiene Decidido que va a ir a votar",0.892,0.924,0.891,0.885
"P10","Tiene dudas sobre si va a ir a  votar",0.084,0.056,0.061,0.094
"P10","Tiene Decidido que no va a ir a votar",0.024,0.02,0.048,0.021
"P13","Unión por la Patria",0.18,0.416,0.467,0.412
"P13","Juntos por el Cambio ",0.363,0.367,0.245,0.275
"P13","Liberales",0.309,0.121,0.034,0.148
"P13","Izquierda",0.046,0.017,0.123,0.084
"P13","Hacemos por Nuestro país",0.047,0.013,0.031,0.041
"P13","No sabe",0.055,0.066,0.1,0.04
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.211,0.399,0.496,0.415
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.407,0.408,0.253,0.309
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.285,0.128,0.131,0.188
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.03,0.009,0.009,0.042
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.024,0.021,0.055,0.029
"P14","En blanco",0.025,0.011,0.056,0.005
"P14","No sabe",0.018,0.024,0,0.012
"P17","Totalmente seguro",0.682,0.724,0.656,0.709
"P17","Bastante seguro",0.166,0.133,0.192,0.115
"P17","Algo seguro",0.094,0.08,0.102,0.116
"P17","Para nada seguro",0.058,0.063,0.05,0.06
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.084,0.183,0.034,0.112
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.208,0.077,0.005,0.015
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.128,0.241,0.245,0.174
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.325,0.31,0.357,0.32
"P22","En blanco",0.115,0.167,0.264,0.249
"P22","No sabe",0.14,0.022,0.095,0.13
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.076,0.081,0.309,0.052
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.418,0.34,0.164,0.373
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.161,0.143,0.197,0.197
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.008,0.021,0.021,0.08
"P25","En blanco",0.211,0.315,0.201,0.166
"P25","No sabe",0.126,0.1,0.108,0.132
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.102,0.24,0.199,0.194
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.391,0.307,0.445,0.455
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.22,0.276,0.127,0.081
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.04,0.011,0.033,0.089
"P28","En blanco",0.214,0.123,0.196,0.16
"P28","No sabe",0.033,0.043,0,0.021
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.435,0.286,0.145,0.32
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.231,0.261,0.188,0.174
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.168,0.329,0.335,0.302
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.081,0.055,0.147,0.095
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.047,0.04,0.143,0.08
"P36","No sabe",0.038,0.029,0.042,0.029
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.247,0.412,0.539,0.455
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.505,0.44,0.314,0.39
"P37","En blanco",0.172,0.113,0.088,0.109
"P37","No sabe",0.076,0.035,0.059,0.046
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.458,0.476,0.328,0.307
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.296,0.174,0.107,0.2
"P38","En blanco",0.151,0.258,0.414,0.385
"P38","No sabe",0.095,0.092,0.151,0.108
