"var","categoria","Reducir la inflación","Implementar reformas fiscales","Establecer políticas de control de precios","Reducir el gasto público","Estimular la inversión extranjera","Aumentar los subsidios a los servicios públicos"
"P06","Mucho",0.62,0.663,0.649,0.53,0.617,0.643
"P06","Bastante",0.288,0.231,0.236,0.34,0.269,0.187
"P06","Poco",0.08,0.072,0.09,0.11,0.075,0.128
"P06","Nada",0.006,0.034,0.017,0.017,0.022,0
"P06","No sabe",0.006,0,0.008,0.003,0.017,0.042
"P07","Siempre",0.286,0.261,0.211,0.241,0.257,0.211
"P07","Casi siempre",0.401,0.434,0.482,0.434,0.332,0.449
"P07","Casi nunca",0.284,0.254,0.264,0.258,0.396,0.212
"P07","Nunca, pero esta es una excepción",0.029,0.051,0.043,0.067,0.015,0.128
"P09","Gran excedente habitual",0.019,0.028,0.019,0.015,0.012,0.048
"P09","Gran excedente excepcional",0.021,0.048,0.038,0.025,0.011,0
"P09","Pequeño excedente habitual",0.134,0.16,0.091,0.11,0.119,0.149
"P09","Pequeño excedente excepcional",0.178,0.148,0.149,0.146,0.214,0.073
"P09","Alcanza gastos familia",0.134,0.145,0.164,0.181,0.126,0.11
"P09","No alcanza gastos familia",0.054,0.025,0.065,0.072,0.075,0
"P09","Solo NBFamiliares",0.244,0.244,0.244,0.314,0.219,0.087
"P09","No alcanza NBFamiliares",0.198,0.193,0.23,0.133,0.224,0.533
"P09","No sabe",0.018,0.009,0,0.004,0,0
"P10","Tiene Decidido que va a ir a votar",0.884,0.902,0.912,0.909,0.979,0.952
"P10","Tiene dudas sobre si va a ir a  votar",0.085,0.073,0.053,0.077,0.01,0.048
"P10","Tiene Decidido que no va a ir a votar",0.031,0.025,0.035,0.014,0.011,0
"P13","Unión por la Patria",0.412,0.413,0.556,0.023,0.214,0.281
"P13","Juntos por el Cambio ",0.262,0.323,0.187,0.561,0.385,0.075
"P13","Liberales",0.146,0.157,0.083,0.319,0.247,0.156
"P13","Izquierda",0.055,0.031,0.087,0.04,0.048,0.192
"P13","Hacemos por Nuestro país",0.04,0.016,0.04,0.027,0.055,0.134
"P13","No sabe",0.085,0.06,0.047,0.03,0.051,0.162
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.431,0.388,0.595,0.044,0.255,0.374
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.296,0.316,0.213,0.603,0.449,0.118
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.162,0.244,0.083,0.298,0.208,0.341
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.035,0,0.028,0.025,0.012,0.04
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.027,0.033,0.053,0.002,0.022,0.127
"P14","En blanco",0.032,0,0.028,0.009,0.011,0
"P14","No sabe",0.017,0.019,0,0.019,0.043,0
"P17","Totalmente seguro",0.671,0.691,0.691,0.736,0.607,0.555
"P17","Bastante seguro",0.157,0.154,0.203,0.13,0.122,0.07
"P17","Algo seguro",0.101,0.08,0.059,0.11,0.216,0.181
"P17","Para nada seguro",0.071,0.075,0.047,0.024,0.055,0.194
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.14,0.169,0.04,0.306,0,0.067
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.06,0.088,0.034,0.377,0.266,0.213
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.207,0.187,0.166,0.07,0.123,0
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.3,0.411,0.323,0.03,0.452,0.574
"P22","En blanco",0.209,0.1,0.273,0.079,0.051,0
"P22","No sabe",0.084,0.045,0.164,0.138,0.108,0.146
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.068,0.169,0.241,0.048,0.091,0.275
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.341,0.269,0.299,0.411,0.325,0.449
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.181,0.224,0.178,0.158,0.102,0.276
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.016,0.006,0.117,0.027,0,0
"P25","En blanco",0.243,0.216,0.1,0.266,0.273,0
"P25","No sabe",0.151,0.116,0.065,0.09,0.209,0
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.198,0.207,0.036,0.115,0.123,0
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.34,0.206,0.329,0.536,0.47,0.18
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.195,0.285,0.247,0.094,0.212,0.345
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.109,0.028,0.041,0.017,0.131,0.237
"P28","En blanco",0.132,0.207,0.311,0.202,0.064,0.238
"P28","No sabe",0.026,0.067,0.036,0.036,0,0
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.298,0.32,0.201,0.499,0.211,0.122
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.19,0.229,0.103,0.322,0.366,0.11
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.31,0.297,0.4,0.071,0.228,0.329
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.094,0.082,0.183,0.011,0.072,0.222
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.067,0.064,0.082,0.043,0.038,0.217
"P36","No sabe",0.041,0.008,0.031,0.054,0.085,0
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.46,0.432,0.602,0.09,0.24,0.394
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.362,0.366,0.19,0.733,0.605,0.237
"P37","En blanco",0.11,0.147,0.137,0.134,0.065,0.369
"P37","No sabe",0.068,0.055,0.071,0.043,0.09,0
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.404,0.364,0.215,0.598,0.44,0.122
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.143,0.267,0.159,0.315,0.268,0.332
"P38","En blanco",0.33,0.28,0.438,0.046,0.118,0.546
"P38","No sabe",0.123,0.089,0.188,0.041,0.174,0
