"var","categoria","Muy positivo","Positivo","Neutral","Algo negativo","Negativo","No sabe"
"P06","Mucho",0.656,0.579,0.628,0.708,0.648,0.264
"P06","Bastante",0.237,0.317,0.27,0.235,0.255,0.534
"P06","Poco",0.095,0.064,0.087,0.051,0.078,0.14
"P06","Nada",0.005,0.04,0.006,0.006,0.011,0
"P06","No sabe",0.007,0,0.009,0,0.008,0.062
"P07","Siempre",0.313,0.286,0.224,0.266,0.375,0.22
"P07","Casi siempre",0.361,0.381,0.525,0.622,0.371,0.432
"P07","Casi nunca",0.267,0.268,0.224,0.068,0.224,0.294
"P07","Nunca, pero esta es una excepción",0.059,0.065,0.027,0.044,0.03,0.054
"P09","Gran excedente habitual",0.029,0.004,0.016,0.03,0.013,0.009
"P09","Gran excedente excepcional",0.019,0.01,0.033,0,0.018,0
"P09","Pequeño excedente habitual",0.175,0.14,0.109,0.142,0.097,0.075
"P09","Pequeño excedente excepcional",0.12,0.18,0.191,0.066,0.163,0.127
"P09","Alcanza gastos familia",0.128,0.148,0.114,0.236,0.134,0.308
"P09","No alcanza gastos familia",0.044,0.075,0.062,0.087,0.068,0.032
"P09","Solo NBFamiliares",0.283,0.214,0.262,0.198,0.313,0.163
"P09","No alcanza NBFamiliares",0.202,0.212,0.195,0.241,0.194,0.159
"P09","No sabe",0,0.017,0.018,0,0,0.127
"P10","Tiene Decidido que va a ir a votar",0.92,0.888,0.87,0.921,0.888,0.815
"P10","Tiene dudas sobre si va a ir a  votar",0.066,0.052,0.113,0.073,0.088,0.047
"P10","Tiene Decidido que no va a ir a votar",0.014,0.06,0.017,0.006,0.024,0.138
"P13","Unión por la Patria",0.631,0.331,0.293,0.141,0.029,0.122
"P13","Juntos por el Cambio ",0.117,0.245,0.384,0.403,0.61,0.574
"P13","Liberales",0.136,0.202,0.194,0.207,0.241,0.017
"P13","Izquierda",0.023,0.1,0.062,0.155,0.072,0
"P13","Hacemos por Nuestro país",0.034,0.024,0.029,0.034,0.032,0
"P13","No sabe",0.059,0.098,0.038,0.06,0.016,0.287
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.61,0.331,0.343,0.144,0.075,0.094
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.131,0.254,0.388,0.589,0.688,0.502
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.179,0.295,0.175,0.175,0.204,0.105
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.017,0.008,0.055,0.057,0.033,0.012
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.029,0.045,0.018,0.026,0,0
"P14","En blanco",0.023,0.038,0.007,0.009,0,0.213
"P14","No sabe",0.011,0.029,0.014,0,0,0.074
"P17","Totalmente seguro",0.72,0.616,0.758,0.739,0.685,0.623
"P17","Bastante seguro",0.111,0.172,0.131,0.128,0.181,0.087
"P17","Algo seguro",0.113,0.102,0.072,0.073,0.1,0.184
"P17","Para nada seguro",0.056,0.11,0.039,0.06,0.034,0.106
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.107,0.07,0.144,0.143,0.139,0.083
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.072,0.04,0.095,0,0.861,0.493
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.23,0.078,0.234,0.8,0,0
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.253,0.49,0.362,0.057,0,0.369
"P22","En blanco",0.207,0.155,0.114,0,0,0
"P22","No sabe",0.131,0.167,0.051,0,0,0.055
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.127,0.093,0.138,0.167,0.007,0.057
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.578,0.398,0.276,0.344,0.368,0.442
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.145,0.189,0.22,0.121,0.08,0.056
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.017,0.055,0.013,0.074,0.073,0
"P25","En blanco",0.133,0.192,0.254,0.258,0.323,0.13
"P25","No sabe",0,0.073,0.099,0.036,0.149,0.315
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.177,0.19,0.226,0.226,0.172,0
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.486,0.383,0.435,0.298,0.41,0.828
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.128,0.18,0.147,0.242,0.213,0.172
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.016,0.008,0.069,0.106,0.142,0
"P28","En blanco",0.112,0.188,0.117,0.085,0.063,0
"P28","No sabe",0.081,0.051,0.006,0.043,0,0
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.217,0.338,0.327,0.419,0.488,0.444
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.116,0.209,0.246,0.269,0.272,0.086
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.441,0.291,0.249,0.131,0.088,0.306
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.132,0.111,0.075,0.111,0,0.019
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.085,0.033,0.052,0.026,0.098,0.049
"P36","No sabe",0.009,0.018,0.051,0.044,0.054,0.096
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.625,0.362,0.356,0.139,0.095,0.223
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.163,0.436,0.467,0.689,0.722,0.531
"P37","En blanco",0.153,0.129,0.126,0.1,0.146,0
"P37","No sabe",0.059,0.073,0.051,0.072,0.037,0.246
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.232,0.363,0.458,0.454,0.681,0.566
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.194,0.24,0.188,0.305,0.242,0.093
"P38","En blanco",0.453,0.274,0.226,0.159,0.042,0.134
"P38","No sabe",0.121,0.123,0.128,0.082,0.035,0.207
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.65,0.408,0.352,0.274,0.071,0.207
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.212,0.385,0.332,0.428,0.5,0.225
"P39","En blanco",0.095,0.135,0.207,0.198,0.287,0.127
