clave	texto
encuesta_especial	Preferencias electorales: Elecciones a Intendente y PASO - Hurlingham,  Julio 2023
bajada_encuesta_especial	Encuesta Sincrónica
bajada_encuesta_especial_fecha	21/07/2023
ficha_Población objeto de estudio	Población mayor de 16 años.
ficha_Unidad de muestreo	Télefonos celulares de empresas Personal, Movistar y Claro, complementados con un 13% de teléfonos fijos para optimizar cobertura geográfica.
ficha_Ámbito	Municipio de Hurlingham
ficha_Técnicas de recolección de información	ES - Encuesta Sincrónica (IVR) a teléfonos móviles y fijos
ficha_Diseño muestral	Muestreo aleatorio estratificado por localidad. La probabilidad de selección hacia el interior de cada estrato se definió de manera proporcional al tamaño de la localidad.
ficha_Tamaño muestral	La captura de datos se llevó a cabo del 18/07/2023 al 21/07/2023 abarcando 699 casos efectivos.
ficha_Calibración de la muestra	En función de datos paramétricos censales de sexo, edad y nivel educativo.
ficha_Margen de error	+/- 3.46 %
