"var","categoria","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","No sabe"
"P08","Siempre",0.182,0.248,0.258,0.167
"P08","Casi siempre",0.333,0.35,0.341,0.394
"P08","Casi nunca",0.351,0.302,0.296,0.231
"P08","Nunca, pero esta es una excepción",0.134,0.1,0.105,0.208
"P09","Muy de acuerdo",0.605,0.09,0.032,0.058
"P09","De acuerdo",0.222,0.33,0.03,0.075
"P09","Ni de acuerdo ni en desacuerdo",0.1,0.318,0.183,0.261
"P09","En desacuerdo",0.046,0.133,0.297,0.361
"P09","Muy en desacuerdo",0.014,0.112,0.449,0.151
"P09","No sabe",0.013,0.017,0.009,0.094
"P11","De acuerdo",0.86,0.425,0.173,0.244
"P11","Ni de acuerdo ni en desacuerdo",0.098,0.35,0.218,0.213
"P11","En desacuerdo",0.031,0.185,0.522,0.22
"P11","No sabe",0.011,0.04,0.087,0.323
"P12","De acuerdo",0.923,0.58,0.211,0.406
"P12","Ni de acuerdo ni en desacuerdo",0.038,0.243,0.268,0.156
"P12","En desacuerdo",0.029,0.142,0.413,0.218
"P12","No sabe",0.01,0.035,0.108,0.22
"P13","De acuerdo",0.795,0.323,0.089,0.155
"P13","Ni de acuerdo ni en desacuerdo",0.142,0.424,0.228,0.264
"P13","En desacuerdo",0.043,0.181,0.608,0.224
"P13","No sabe",0.02,0.072,0.075,0.357
"P14","De acuerdo",0.804,0.337,0.144,0.13
"P14","Ni de acuerdo ni en desacuerdo",0.144,0.393,0.174,0.244
"P14","En desacuerdo",0.038,0.201,0.648,0.337
"P14","No sabe",0.014,0.069,0.034,0.289
"P15","De acuerdo",0.729,0.411,0.236,0.27
"P15","Ni de acuerdo ni en desacuerdo",0.193,0.308,0.135,0.202
"P15","En desacuerdo",0.061,0.222,0.576,0.207
"P15","No sabe",0.017,0.059,0.053,0.321
"P16","De acuerdo",0.88,0.551,0.227,0.39
"P16","Ni de acuerdo ni en desacuerdo",0.058,0.228,0.171,0.147
"P16","En desacuerdo",0.049,0.139,0.533,0.202
"P16","No sabe",0.013,0.082,0.069,0.261
"P17","De acuerdo",0.682,0.295,0.069,0.152
"P17","Ni de acuerdo ni en desacuerdo",0.16,0.251,0.07,0.15
"P17","En desacuerdo",0.14,0.407,0.847,0.513
"P17","No sabe",0.018,0.047,0.014,0.185
"P18","De acuerdo",0.652,0.214,0.039,0.12
"P18","Ni de acuerdo ni en desacuerdo",0.202,0.3,0.086,0.179
"P18","En desacuerdo",0.109,0.393,0.853,0.481
"P18","No sabe",0.037,0.093,0.022,0.22
"P19","De acuerdo",0.819,0.381,0.062,0.228
"P19","Ni de acuerdo ni en desacuerdo",0.075,0.187,0.087,0.1
"P19","En desacuerdo",0.096,0.391,0.843,0.494
"P19","No sabe",0.01,0.041,0.008,0.178
"P20","De acuerdo",0.762,0.368,0.055,0.138
"P20","Ni de acuerdo ni en desacuerdo",0.134,0.26,0.105,0.175
"P20","En desacuerdo",0.083,0.307,0.819,0.501
"P20","No sabe",0.021,0.065,0.021,0.186
"P21","De acuerdo",0.788,0.373,0.075,0.22
"P21","Ni de acuerdo ni en desacuerdo",0.101,0.212,0.08,0.139
"P21","En desacuerdo",0.086,0.378,0.825,0.515
"P21","No sabe",0.025,0.037,0.02,0.126
"P22","Si",0.448,0.493,0.57,0.429
"P22","No",0.364,0.175,0.181,0.163
"P22","No sabe",0.188,0.332,0.249,0.408
"P23","Si",0.641,0.252,0.108,0.147
"P23","No",0.268,0.614,0.793,0.716
"P23","No sabe",0.091,0.134,0.099,0.137
"P24","Si",0.54,0.233,0.046,0.116
"P24","No",0.358,0.602,0.845,0.693
"P24","No sabe",0.102,0.165,0.109,0.191
"P25","Si",0.611,0.239,0.089,0.126
"P25","No",0.312,0.652,0.801,0.706
"P25","No sabe",0.077,0.109,0.11,0.168
"P26","A favor",0.856,0.442,0.077,0.29
"P26","En contra",0.083,0.339,0.787,0.546
"P26","No sabe",0.061,0.219,0.136,0.164
