"var","categoria","Axel Kicillof a gobernador por Unión por la Patria","Néstor Grindetti a gobernador por Juntos por el Cambio","Carolina Piparo a gobernadora por la Libertad Avanza","El candidato a gobernador de la Izquierda","En blanco"
"P05","Mucho",0.508,0.468,0.408,0.556,0.192
"P05","Bastante",0.339,0.314,0.441,0.415,0.475
"P05","Poco",0.106,0.146,0.112,0.029,0.227
"P05","Nada",0.042,0.072,0.032,0,0.106
"P05","No sabe",0.005,0,0.007,0,0
"P06","Siempre",0.224,0.22,0.123,0.3,0.092
"P06","Casi siempre",0.293,0.387,0.429,0.319,0.158
"P06","Casi nunca",0.375,0.261,0.282,0.381,0.333
"P06","Nunca, pero esta es una excepción",0.108,0.132,0.166,0,0.417
"P09","Unión por la Patria",0.626,0.068,0.117,0.212,0
"P09","Juntos por el Cambio",0.154,0.612,0.169,0.065,0.133
"P09","De los Liberales libertarios",0.072,0.196,0.443,0.077,0
"P09","De la Izquierda",0.018,0.019,0.008,0.372,0.344
"P09","Hacemos por nuestro país",0.003,0.013,0.078,0,0.058
"P09","Otro",0.049,0.016,0.048,0.274,0.058
"P09","En blanco",0.007,0.002,0.061,0,0.264
"P09","No sabe",0.071,0.074,0.076,0,0.143
"P12_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.427,0.253,0.203,0.278,0.223
"P12_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.084,0.5,0.339,0.076,0.216
"P12_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.351,0.2,0.358,0.179,0.433
"P12_imputada","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.027,0.005,0.036,0.353,0.07
"P12_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.003,0.037,0.064,0.114,0
"P12_imputada","En blanco",0.108,0.005,0,0,0.058
"P16_imputada","Sergio Massa a presidente por Unión por la Patria",0.669,0.105,0.138,0.297,0.227
