"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala"
"P04","Gran excedente habitual",0.037,0.018,0.015,0.008,0.021
"P04","Gran excedente excepcional",0.037,0.015,0.012,0.007,0.013
"P04","Pequeño excedente habitual",0.117,0.118,0.078,0.057,0.036
"P04","Pequeño excedente excepcional",0.114,0.152,0.125,0.104,0.096
"P04","Alcanza gastos familia",0.079,0.09,0.146,0.141,0.134
"P04","No alcanza gastos familia",0.068,0.098,0.105,0.099,0.104
"P04","Solo NBFamiliares",0.22,0.289,0.287,0.264,0.234
"P04","No alcanza NBFamiliares",0.318,0.213,0.227,0.313,0.359
"P04","No sabe",0.01,0.007,0.005,0.007,0.003
"P05","Muy buena",0.264,0.044,0.035,0.064,0.088
"P05","Buena",0.241,0.179,0.061,0.067,0.072
"P05","Ni buena ni mala",0.222,0.339,0.24,0.099,0.049
"P05","Mala",0.132,0.223,0.321,0.376,0.239
"P05","Muy mala",0.141,0.215,0.343,0.394,0.552
"P06","Muy buena",0.387,0.047,0.026,0.023,0.017
"P06","Buena",0.276,0.281,0.078,0.035,0.018
"P06","Ni buena ni mala",0.115,0.281,0.308,0.131,0.045
"P06","Mala",0.096,0.173,0.243,0.409,0.097
"P06","Muy mala",0.126,0.218,0.345,0.402,0.823
"P08","Muy buena",0.342,0.038,0.015,0.004,0.018
"P08","Buena",0.285,0.411,0.137,0.077,0.062
"P08","Ni buena ni mala",0.207,0.377,0.583,0.363,0.244
"P08","Mala",0.092,0.112,0.186,0.444,0.271
"P08","Muy mala",0.074,0.062,0.079,0.112,0.405
"P09","Muy buena",0.372,0.085,0.037,0.016,0.03
"P09","Buena",0.303,0.372,0.169,0.102,0.071
"P09","Ni buena ni mala",0.112,0.273,0.407,0.272,0.182
"P09","Mala",0.123,0.146,0.233,0.389,0.242
"P09","Muy mala",0.09,0.124,0.154,0.221,0.475
"P10","Muy buena",0.582,0.11,0.031,0.026,0.034
"P10","Buena",0.257,0.639,0.198,0.075,0.06
"P10","Ni buena ni mala",0.092,0.193,0.642,0.381,0.229
"P10","Mala",0.042,0.034,0.094,0.416,0.27
"P10","Muy mala",0.027,0.024,0.035,0.102,0.407
"P11","Ha aumentado significativamente",0.35,0.116,0.039,0.031,0.028
"P11","Ha aumentado ligeramente",0.255,0.305,0.157,0.12,0.097
"P11","Se mantiene igual",0.188,0.276,0.351,0.26,0.243
"P11","Ha disminuido ligeramente",0.102,0.164,0.259,0.312,0.216
"P11","Ha disminuido significativamente",0.105,0.139,0.194,0.277,0.416
"P12","Muy baja",0.201,0.05,0.064,0.063,0.023
"P12","Baja",0.099,0.106,0.05,0.039,0.033
"P12","Moderada",0.166,0.164,0.107,0.061,0.056
"P12","Alta",0.291,0.33,0.237,0.239,0.073
"P12","Muy alta",0.243,0.35,0.542,0.598,0.815
"P13","Muy bajas",0.168,0.035,0.048,0.049,0.044
"P13","Bajas",0.078,0.118,0.115,0.097,0.076
"P13","Adecuadas",0.396,0.398,0.284,0.185,0.161
"P13","Altas",0.236,0.296,0.32,0.402,0.186
"P13","Muy altas",0.122,0.153,0.233,0.267,0.533
"P14","No, ninguna dificultad",0.525,0.405,0.26,0.2,0.203
"P14","Alguna dificultad ocasional",0.196,0.325,0.37,0.332,0.266
