"var","categoria","Gran excedente habitual","Gran excedente excepcional","Pequeño excedente habitual","Pequeño excedente excepcional","Alcanza gastos familia","No alcanza gastos familia","Solo NBFamiliares","No alcanza NBFamiliares","No sabe"
"P05","Muy buena",0.215,0.148,0.021,0.019,0.028,0.01,0.024,0.212,0.06
"P05","Buena",0.082,0.145,0.117,0.055,0.037,0.025,0.215,0.035,0.136
"P05","Ni buena ni mala",0.11,0.265,0.297,0.173,0.165,0.355,0.174,0.144,0.139
"P05","Mala",0.206,0.153,0.201,0.183,0.451,0.278,0.294,0.288,0.263
"P05","Muy mala",0.387,0.289,0.364,0.57,0.319,0.332,0.293,0.321,0.402
"P06","Muy buena",0.228,0.202,0.073,0.056,0.041,0.046,0.043,0.077,0.089
"P06","Buena",0.115,0.156,0.192,0.128,0.099,0.071,0.124,0.088,0.163
"P06","Ni buena ni mala",0.09,0.221,0.214,0.215,0.205,0.238,0.216,0.155,0.135
"P06","Mala",0.152,0.124,0.156,0.186,0.214,0.243,0.25,0.268,0.389
"P06","Muy mala",0.415,0.297,0.365,0.415,0.441,0.402,0.367,0.412,0.224
"P07","Muy buena",0.22,0.264,0.153,0.095,0.062,0.068,0.082,0.113,0.171
"P07","Buena",0.177,0.178,0.262,0.217,0.12,0.168,0.183,0.129,0.209
"P07","Ni buena ni mala",0.268,0.267,0.314,0.323,0.351,0.326,0.33,0.249,0.24
"P07","Mala",0.116,0.133,0.188,0.223,0.282,0.255,0.251,0.285,0.299
"P07","Muy mala",0.219,0.158,0.083,0.142,0.185,0.183,0.154,0.224,0.081
"P08","Muy buena",0.358,0.336,0.112,0.039,0.01,0.027,0.021,0.051,0.099
"P08","Buena",0.23,0.424,0.505,0.306,0.13,0.102,0.134,0.054,0.079
"P08","Ni buena ni mala",0.212,0.188,0.289,0.516,0.54,0.408,0.449,0.23,0.337
"P08","Mala",0.089,0.044,0.054,0.099,0.235,0.301,0.298,0.331,0.326
"P08","Muy mala",0.111,0.008,0.04,0.04,0.085,0.162,0.098,0.334,0.159
"P09","Muy buena",0.359,0.366,0.175,0.081,0.031,0.041,0.045,0.051,0.149
"P09","Buena",0.243,0.293,0.419,0.264,0.194,0.132,0.172,0.075,0.079
"P09","Ni buena ni mala",0.176,0.113,0.216,0.362,0.316,0.314,0.291,0.221,0.17
"P09","Mala",0.055,0.144,0.108,0.184,0.271,0.26,0.291,0.306,0.237
"P09","Muy mala",0.167,0.084,0.082,0.109,0.188,0.253,0.201,0.347,0.365
"P10","Muy buena",0.321,0.343,0.168,0.108,0.057,0.071,0.055,0.093,0.268
"P10","Buena",0.283,0.277,0.381,0.306,0.194,0.22,0.233,0.115,0.203
"P10","Ni buena ni mala",0.144,0.25,0.336,0.395,0.438,0.393,0.399,0.304,0.309
