"var","categoria","Muy positiva","Positiva","Neutral","Algo negativa","Negativa","No sabe"
"P04","Gran excedente habitual",0.018,0.004,0.012,0.026,0.022,0.015
"P04","Gran excedente excepcional",0.014,0.004,0.019,0.006,0.019,0
"P04","Pequeño excedente habitual",0.123,0.102,0.072,0.08,0.063,0.033
"P04","Pequeño excedente excepcional",0.15,0.157,0.113,0.141,0.101,0.098
"P04","Alcanza gastos familia",0.127,0.171,0.127,0.153,0.143,0.131
"P04","No alcanza gastos familia",0.08,0.081,0.085,0.151,0.118,0.13
"P04","Solo NBFamiliares",0.261,0.277,0.304,0.276,0.251,0.306
"P04","No alcanza NBFamiliares",0.226,0.201,0.262,0.165,0.279,0.261
"P04","No sabe",0.001,0.003,0.006,0.002,0.004,0.026
"P05","Muy buena",0.088,0.065,0.082,0.04,0.062,0.122
"P05","Buena",0.149,0.074,0.095,0.071,0.043,0.159
"P05","Ni buena ni mala",0.333,0.172,0.093,0.12,0.044,0.219
"P05","Mala",0.24,0.33,0.263,0.288,0.222,0.259
"P05","Muy mala",0.19,0.359,0.467,0.481,0.629,0.241
"P06","Muy buena",0.125,0.041,0.032,0.003,0.032,0.052
"P06","Buena",0.235,0.089,0.04,0.036,0.022,0.056
"P06","Ni buena ni mala",0.312,0.213,0.133,0.081,0.036,0.213
"P06","Mala",0.161,0.289,0.241,0.271,0.136,0.21
"P06","Muy mala",0.167,0.368,0.554,0.609,0.774,0.469
"P07","Muy buena",0.205,0.058,0.058,0.008,0.062,0.037
"P07","Buena",0.267,0.194,0.116,0.072,0.079,0.093
"P07","Ni buena ni mala",0.263,0.386,0.321,0.278,0.269,0.253
"P07","Mala",0.174,0.241,0.274,0.412,0.251,0.307
"P07","Muy mala",0.091,0.121,0.231,0.23,0.339,0.31
"P08","Muy buena",0.08,0.033,0.024,0.013,0.024,0.02
"P08","Buena",0.282,0.199,0.112,0.113,0.1,0.067
"P08","Ni buena ni mala",0.396,0.432,0.369,0.412,0.291,0.485
"P08","Mala",0.158,0.245,0.32,0.338,0.246,0.244
"P08","Muy mala",0.084,0.091,0.175,0.124,0.339,0.184
"P09","Muy buena",0.149,0.05,0.029,0.01,0.041,0.058
"P09","Buena",0.309,0.205,0.101,0.12,0.048,0.133
"P09","Ni buena ni mala",0.281,0.307,0.284,0.281,0.153,0.295
"P09","Mala",0.154,0.26,0.307,0.35,0.289,0.285
"P09","Muy mala",0.107,0.178,0.279,0.239,0.469,0.229
"P10","Muy buena",0.169,0.068,0.058,0.054,0.051,0.036
"P10","Buena",0.315,0.271,0.171,0.185,0.118,0.129
"P10","Ni buena ni mala",0.314,0.401,0.413,0.415,0.302,0.394
"P10","Mala",0.132,0.163,0.241,0.254,0.277,0.337
"P10","Muy mala",0.07,0.097,0.117,0.092,0.252,0.104
"P11","Ha aumentado significativamente",0.15,0.065,0.042,0.015,0.038,0.032
"P11","Ha aumentado ligeramente",0.263,0.215,0.113,0.104,0.084,0.116
"P11","Se mantiene igual",0.298,0.329,0.308,0.24,0.165,0.3
"P11","Ha disminuido ligeramente",0.164,0.247,0.276,0.24,0.221,0.343
"P11","Ha disminuido significativamente",0.125,0.144,0.261,0.401,0.492,0.209
"P12","Muy baja",0.083,0.057,0.066,0.071,0.058,0.056
"P12","Baja",0.072,0.055,0.035,0.031,0.014,0.108
"P12","Moderada",0.16,0.114,0.091,0.076,0.037,0.038
"P12","Alta",0.348,0.268,0.169,0.127,0.092,0.169
"P12","Muy alta",0.337,0.506,0.639,0.695,0.799,0.629
"P13","Muy bajas",0.061,0.033,0.064,0.047,0.078,0.038
"P13","Bajas",0.065,0.119,0.109,0.214,0.13,0.059
"P13","Adecuadas",0.396,0.314,0.196,0.147,0.162,0.21
"P13","Altas",0.29,0.346,0.314,0.32,0.209,0.334
"P13","Muy altas",0.188,0.188,0.317,0.272,0.421,0.359
"P14","No, ninguna dificultad",0.403,0.275,0.219,0.187,0.194,0.223
"P14","Alguna dificultad ocasional",0.29,0.372,0.349,0.362,0.273,0.369
"P14","Sí, dificultades frecuentes",0.307,0.353,0.432,0.451,0.533,0.408
"P15","Sí, absolutamente",0.686,0.421,0.291,0.286,0.234,0.431
"P15","Sí, en cierta medida",0.225,0.399,0.373,0.344,0.297,0.325
"P15","No, en absoluto",0.089,0.18,0.336,0.37,0.469,0.244
"P16","Reducir la inflación",0.472,0.435,0.401,0.389,0.235,0.357
"P16","Implementar reformas fiscales",0.098,0.116,0.082,0.064,0.08,0.096
"P16","Establecer políticas de control de precios",0.265,0.145,0.115,0.083,0.11,0.211
"P16","Reducir el gasto público",0.1,0.237,0.354,0.445,0.485,0.3
"P16","Estimular la inversión extranjera",0.039,0.059,0.037,0.019,0.059,0.017
"P16","Aumentar los subsidios a los servicios públicos",0.026,0.008,0.011,0,0.031,0.019
"P17","Fomentar la competencia entre proveedores",0.225,0.301,0.389,0.346,0.377,0.271
"P17","Incrementar la inversión en infraestructura",0.193,0.234,0.168,0.266,0.221,0.133
"P17","Implementar políticas de subsidios focalizados en grupos vulnerable",0.227,0.171,0.127,0.115,0.096,0.18
"P17","Realizar auditorías periódicas a las empresas de servicios públicos",0.355,0.294,0.316,0.273,0.306,0.416
"P18","Muy positiva",0.357,0.12,0.08,0.098,0.048,0.073
"P18","Positiva",0.269,0.27,0.141,0.149,0.083,0.093
"P18","Neutral",0.228,0.394,0.499,0.305,0.223,0.171
"P18","Algo negativa",0.066,0.102,0.119,0.217,0.175,0.113
"P18","Negativa",0.027,0.032,0.094,0.15,0.4,0.062
"P18","No sabe",0.053,0.082,0.067,0.081,0.071,0.488
"P19","Muy positivo",0.322,0.091,0.055,0.015,0.021,0.01
