"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala"
"P04","Gran excedente habitual",0.042,0.014,0.009,0.011,0.018
"P04","Gran excedente excepcional",0.022,0.018,0.017,0.006,0.01
"P04","Pequeño excedente habitual",0.019,0.09,0.111,0.05,0.075
"P04","Pequeño excedente excepcional",0.027,0.066,0.103,0.072,0.187
"P04","Alcanza gastos familia",0.043,0.049,0.106,0.193,0.113
"P04","No alcanza gastos familia",0.012,0.028,0.191,0.1,0.098
"P04","Solo NBFamiliares",0.079,0.618,0.243,0.275,0.226
"P04","No alcanza NBFamiliares",0.752,0.108,0.215,0.287,0.266
"P04","No sabe",0.004,0.009,0.005,0.006,0.007
"P06","Muy buena",0.373,0.144,0.058,0.012,0.011
"P06","Buena",0.082,0.382,0.237,0.058,0.019
"P06","Ni buena ni mala",0.103,0.202,0.522,0.17,0.062
"P06","Mala",0.215,0.119,0.144,0.49,0.106
"P06","Muy mala",0.227,0.153,0.039,0.27,0.802
"P07","Muy buena",0.345,0.235,0.119,0.046,0.04
"P07","Buena",0.098,0.294,0.307,0.131,0.104
"P07","Ni buena ni mala",0.142,0.181,0.394,0.344,0.298
"P07","Mala",0.215,0.167,0.134,0.333,0.284
"P07","Muy mala",0.2,0.123,0.046,0.146,0.274
"P08","Muy buena",0.267,0.103,0.031,0.014,0.018
"P08","Buena",0.101,0.357,0.276,0.104,0.107
"P08","Ni buena ni mala",0.171,0.336,0.538,0.419,0.334
"P08","Mala",0.238,0.133,0.12,0.372,0.259
"P08","Muy mala",0.223,0.071,0.035,0.091,0.282
"P09","Muy buena",0.251,0.173,0.096,0.029,0.016
"P09","Buena",0.092,0.3,0.346,0.144,0.096
"P09","Ni buena ni mala",0.165,0.302,0.388,0.299,0.214
"P09","Mala",0.274,0.136,0.117,0.387,0.257
"P09","Muy mala",0.218,0.089,0.053,0.141,0.417
"P10","Muy buena",0.258,0.207,0.098,0.042,0.059
"P10","Buena",0.114,0.329,0.373,0.17,0.163
"P10","Ni buena ni mala",0.219,0.283,0.398,0.428,0.355
"P10","Mala",0.227,0.128,0.08,0.266,0.228
"P10","Muy mala",0.182,0.053,0.051,0.094,0.195
"P11","Ha aumentado significativamente",0.29,0.141,0.092,0.031,0.03
"P11","Ha aumentado ligeramente",0.1,0.31,0.25,0.159,0.115
"P11","Se mantiene igual",0.24,0.294,0.43,0.297,0.214
"P11","Ha disminuido ligeramente",0.207,0.165,0.163,0.313,0.239
"P11","Ha disminuido significativamente",0.163,0.09,0.065,0.2,0.402
"P12","Muy baja",0.261,0.066,0.095,0.067,0.035
"P12","Baja",0.072,0.107,0.098,0.058,0.023
"P12","Moderada",0.161,0.233,0.214,0.059,0.04
"P12","Alta",0.2,0.362,0.38,0.287,0.074
"P12","Muy alta",0.306,0.232,0.213,0.529,0.828
"P13","Muy bajas",0.222,0.053,0.025,0.033,0.056
"P13","Bajas",0.072,0.111,0.092,0.078,0.121
"P13","Adecuadas",0.178,0.381,0.393,0.257,0.195
"P13","Altas",0.228,0.269,0.349,0.369,0.265
"P13","Muy altas",0.3,0.186,0.141,0.263,0.363
"P14","No, ninguna dificultad",0.337,0.397,0.385,0.229,0.218
"P14","Alguna dificultad ocasional",0.162,0.328,0.289,0.349,0.327
"P14","Sí, dificultades frecuentes",0.501,0.275,0.326,0.422,0.455
"P15","Sí, absolutamente",0.485,0.517,0.634,0.486,0.329
"P15","Sí, en cierta medida",0.119,0.295,0.244,0.354,0.366
"P15","No, en absoluto",0.396,0.188,0.122,0.16,0.305
"P16","Reducir la inflación",0.464,0.465,0.47,0.459,0.365
"P16","Implementar reformas fiscales",0.074,0.116,0.092,0.088,0.08
"P16","Establecer políticas de control de precios",0.152,0.259,0.312,0.153,0.07
"P16","Reducir el gasto público",0.194,0.13,0.07,0.231,0.43
"P16","Estimular la inversión extranjera",0.044,0.022,0.034,0.055,0.045
"P16","Aumentar los subsidios a los servicios públicos",0.072,0.008,0.022,0.014,0.01
"P17","Fomentar la competencia entre proveedores",0.453,0.252,0.198,0.282,0.412
"P17","Incrementar la inversión en infraestructura",0.142,0.247,0.196,0.192,0.216
"P17","Implementar políticas de subsidios focalizados en grupos vulnerable",0.135,0.167,0.319,0.164,0.082
"P17","Realizar auditorías periódicas a las empresas de servicios públicos",0.27,0.334,0.287,0.362,0.29
"P18","Muy positiva",0.326,0.295,0.253,0.156,0.079
"P18","Positiva",0.149,0.261,0.292,0.18,0.151
"P18","Neutral",0.259,0.248,0.293,0.363,0.388
"P18","Algo negativa",0.121,0.092,0.064,0.123,0.121
"P18","Negativa",0.053,0.044,0.022,0.073,0.165
"P18","No sabe",0.092,0.06,0.076,0.105,0.096
"P19","Muy positivo",0.308,0.259,0.195,0.098,0.056
"P19","Positivo",0.168,0.273,0.326,0.184,0.103
"P19","Neutral",0.227,0.266,0.302,0.387,0.424
"P19","Algo negativo",0.129,0.068,0.061,0.113,0.122
"P19","Negativo",0.078,0.045,0.023,0.078,0.169
"P19","No sabe",0.09,0.089,0.093,0.14,0.126
"P20","Muy positivo",0.261,0.189,0.127,0.084,0.034
"P20","Positivo",0.174,0.24,0.256,0.128,0.107
"P20","Neutral",0.329,0.373,0.438,0.478,0.493
"P20","Algo negativo",0.081,0.048,0.051,0.112,0.097
"P20","Negativo",0.078,0.051,0.023,0.069,0.152
"P20","No sabe",0.077,0.099,0.105,0.129,0.117
"P21","Muy positiva",0.368,0.46,0.563,0.287,0.168
"P21","Positiva",0.184,0.155,0.197,0.267,0.215
"P21","Neutral",0.265,0.229,0.122,0.245,0.321
"P21","Algo negativa",0.038,0.05,0.046,0.079,0.097
"P21","Negativa",0.078,0.041,0.023,0.081,0.171
"P21","No sabe",0.067,0.065,0.049,0.041,0.028
"P22","Muy positivo",0.475,0.513,0.543,0.278,0.161
"P22","Positivo",0.164,0.19,0.273,0.273,0.211
"P22","Neutral",0.151,0.174,0.107,0.215,0.299
"P22","Algo negativo",0.064,0.043,0.023,0.114,0.108
"P22","Negativo",0.099,0.033,0.024,0.071,0.185
"P22","No sabe",0.047,0.047,0.03,0.049,0.036
"P23","Muy positivo",0.43,0.469,0.46,0.27,0.137
"P23","Positivo",0.147,0.243,0.289,0.279,0.238
"P23","Neutral",0.161,0.178,0.172,0.261,0.37
"P23","Algo negativo",0.077,0.027,0.021,0.082,0.074
"P23","Negativo",0.125,0.047,0.023,0.052,0.145
"P23","No sabe",0.06,0.036,0.035,0.056,0.036
"P24","Muy positiva",0.279,0.38,0.309,0.185,0.088
"P24","Positiva",0.24,0.253,0.344,0.243,0.167
"P24","Neutral",0.193,0.212,0.229,0.302,0.321
"P24","Algo negativa",0.046,0.062,0.03,0.102,0.137
"P24","Negativa",0.152,0.046,0.021,0.08,0.218
"P24","No sabe",0.09,0.047,0.067,0.088,0.069
"P25","Muy positivo",0.279,0.311,0.275,0.15,0.075
"P25","Positivo",0.162,0.275,0.371,0.225,0.139
"P25","Neutral",0.262,0.228,0.211,0.32,0.313
"P25","Algo negativo",0.078,0.065,0.042,0.126,0.152
"P25","Negativo",0.136,0.048,0.03,0.09,0.234
"P25","No sabe",0.083,0.073,0.071,0.089,0.087
"P26","Muy positivo",0.261,0.233,0.222,0.146,0.072
"P26","Positivo",0.201,0.27,0.317,0.184,0.14
"P26","Neutral",0.299,0.293,0.319,0.397,0.382
"P26","Algo negativo",0.075,0.073,0.029,0.106,0.117
"P26","Negativo",0.081,0.053,0.024,0.064,0.205
"P26","No sabe",0.083,0.078,0.089,0.103,0.084
"P27","Muy positiva",0.441,0.454,0.493,0.33,0.246
"P27","Positiva",0.165,0.232,0.21,0.258,0.222
"P27","Neutral",0.194,0.147,0.197,0.201,0.26
"P27","Algo negativa",0.048,0.077,0.038,0.07,0.081
"P27","Negativa",0.096,0.037,0.016,0.086,0.15
"P27","No sabe",0.056,0.053,0.046,0.055,0.041
"P28","Muy positivo",0.491,0.473,0.481,0.297,0.221
"P28","Positivo",0.216,0.25,0.227,0.258,0.226
"P28","Neutral",0.131,0.128,0.18,0.228,0.245
"P28","Algo negativo",0.044,0.065,0.039,0.089,0.108
"P28","Negativo",0.082,0.024,0.012,0.08,0.163
"P28","No sabe",0.036,0.06,0.061,0.048,0.037
"P29","Muy positivo",0.513,0.368,0.439,0.292,0.203
"P29","Positivo",0.202,0.24,0.191,0.194,0.197
"P29","Neutral",0.176,0.254,0.272,0.328,0.347
"P29","Algo negativo",0.025,0.035,0.038,0.053,0.072
"P29","Negativo",0.063,0.041,0.009,0.074,0.136
"P29","No sabe",0.021,0.062,0.051,0.059,0.045
