"var","categoria","Muy positivo","Positivo","Neutral","Algo negativo","Negativo","No sabe"
"P04","Gran excedente habitual",0.033,0.004,0.009,0.018,0.033,0.005
"P04","Gran excedente excepcional",0.009,0.019,0.008,0.016,0.006,0.013
"P04","Pequeño excedente habitual",0.117,0.112,0.111,0.058,0.088,0.055
"P04","Pequeño excedente excepcional",0.177,0.158,0.133,0.116,0.129,0.105
"P04","Alcanza gastos familia",0.104,0.141,0.172,0.175,0.14,0.121
"P04","No alcanza gastos familia",0.073,0.075,0.088,0.085,0.084,0.156
"P04","Solo NBFamiliares",0.257,0.279,0.256,0.315,0.25,0.292
"P04","No alcanza NBFamiliares",0.228,0.206,0.222,0.217,0.266,0.226
"P04","No sabe",0.002,0.006,0.001,0,0.004,0.027
"P05","Muy buena",0.142,0.082,0.069,0.07,0.062,0.077
"P05","Buena",0.169,0.147,0.091,0.091,0.055,0.097
"P05","Ni buena ni mala",0.273,0.292,0.168,0.061,0.042,0.187
"P05","Mala",0.246,0.23,0.285,0.304,0.151,0.298
"P05","Muy mala",0.17,0.249,0.387,0.474,0.69,0.341
"P06","Muy buena",0.172,0.08,0.036,0.028,0.023,0.047
"P06","Buena",0.253,0.194,0.082,0.022,0.019,0.075
"P06","Ni buena ni mala",0.293,0.32,0.169,0.129,0.008,0.153
"P06","Mala",0.19,0.171,0.246,0.231,0.163,0.302
"P06","Muy mala",0.092,0.235,0.467,0.59,0.787,0.423
"P07","Muy buena",0.29,0.116,0.073,0.052,0.055,0.066
"P07","Buena",0.261,0.276,0.16,0.083,0.084,0.121
"P07","Ni buena ni mala",0.269,0.305,0.304,0.25,0.324,0.321
"P07","Mala",0.128,0.2,0.271,0.37,0.207,0.285
"P07","Muy mala",0.052,0.103,0.192,0.245,0.33,0.207
"P08","Muy buena",0.148,0.033,0.024,0.028,0.039,0.01
"P08","Buena",0.312,0.273,0.152,0.098,0.13,0.136
"P08","Ni buena ni mala",0.361,0.382,0.428,0.325,0.283,0.461
"P08","Mala",0.118,0.21,0.234,0.375,0.263,0.277
"P08","Muy mala",0.061,0.102,0.162,0.174,0.285,0.116
"P09","Muy buena",0.209,0.086,0.054,0.03,0.038,0.028
"P09","Buena",0.341,0.267,0.144,0.095,0.095,0.154
"P09","Ni buena ni mala",0.251,0.327,0.298,0.228,0.19,0.283
"P09","Mala",0.12,0.191,0.265,0.327,0.236,0.363
"P09","Muy mala",0.079,0.129,0.239,0.32,0.441,0.172
"P10","Muy buena",0.238,0.113,0.066,0.067,0.07,0.036
"P10","Buena",0.33,0.332,0.201,0.121,0.149,0.208
"P10","Ni buena ni mala",0.295,0.335,0.405,0.368,0.35,0.389
"P10","Mala",0.082,0.137,0.215,0.308,0.21,0.262
"P10","Muy mala",0.055,0.083,0.113,0.136,0.221,0.105
"P11","Ha aumentado significativamente",0.223,0.121,0.043,0.03,0.028,0.034
"P11","Ha aumentado ligeramente",0.295,0.262,0.15,0.08,0.103,0.126
"P11","Se mantiene igual",0.279,0.318,0.326,0.28,0.176,0.32
"P11","Ha disminuido ligeramente",0.122,0.191,0.228,0.289,0.248,0.303
"P11","Ha disminuido significativamente",0.081,0.108,0.253,0.321,0.445,0.217
"P12","Muy baja",0.132,0.078,0.035,0.123,0.03,0.083
"P12","Baja",0.061,0.103,0.036,0.011,0.022,0.069
"P12","Moderada",0.181,0.151,0.092,0.087,0.062,0.09
"P12","Alta",0.351,0.302,0.214,0.157,0.091,0.202
"P12","Muy alta",0.275,0.366,0.623,0.622,0.795,0.556
"P13","Muy bajas",0.098,0.04,0.038,0.085,0.091,0.062
"P13","Bajas",0.086,0.106,0.114,0.107,0.143,0.079
"P13","Adecuadas",0.394,0.362,0.271,0.216,0.143,0.268
"P13","Altas",0.282,0.28,0.296,0.316,0.204,0.31
"P13","Muy altas",0.14,0.212,0.281,0.276,0.419,0.281
"P14","No, ninguna dificultad",0.408,0.329,0.286,0.234,0.207,0.239
"P14","Alguna dificultad ocasional",0.313,0.301,0.345,0.284,0.286,0.385
"P14","Sí, dificultades frecuentes",0.279,0.37,0.369,0.482,0.507,0.376
"P15","Sí, absolutamente",0.717,0.554,0.383,0.315,0.223,0.392
"P15","Sí, en cierta medida",0.205,0.315,0.362,0.305,0.273,0.379
"P15","No, en absoluto",0.078,0.131,0.255,0.38,0.504,0.229
"P16","Reducir la inflación",0.546,0.478,0.372,0.346,0.239,0.428
"P16","Implementar reformas fiscales",0.092,0.098,0.107,0.111,0.072,0.071
"P16","Establecer políticas de control de precios",0.263,0.221,0.145,0.144,0.108,0.16
"P16","Reducir el gasto público",0.067,0.129,0.304,0.339,0.527,0.287
"P16","Estimular la inversión extranjera",0.016,0.041,0.051,0.06,0.045,0.039
"P16","Aumentar los subsidios a los servicios públicos",0.016,0.033,0.021,0,0.009,0.015
"P17","Fomentar la competencia entre proveedores",0.285,0.244,0.323,0.328,0.452,0.329
"P17","Incrementar la inversión en infraestructura",0.192,0.196,0.206,0.237,0.198,0.146
"P17","Implementar políticas de subsidios focalizados en grupos vulnerable",0.224,0.268,0.142,0.105,0.049,0.201
"P17","Realizar auditorías periódicas a las empresas de servicios públicos",0.299,0.292,0.329,0.33,0.301,0.324
"P18","Muy positiva",0.469,0.209,0.122,0.096,0.077,0.091
"P18","Positiva",0.233,0.315,0.199,0.195,0.092,0.108
"P18","Neutral",0.186,0.297,0.444,0.315,0.292,0.28
"P18","Algo negativa",0.072,0.077,0.102,0.163,0.135,0.067
"P18","Negativa",0.012,0.029,0.076,0.17,0.348,0.082
"P18","No sabe",0.028,0.073,0.057,0.061,0.056,0.372
