"var","categoria","Muy positiva","Positiva","Neutral","Algo negativa","Negativa","No sabe"
"P04","Gran excedente habitual",0.023,0.006,0.004,0.025,0.018,0.02
"P04","Gran excedente excepcional",0.013,0.011,0.007,0.028,0.003,0.023
"P04","Pequeño excedente habitual",0.126,0.098,0.079,0.105,0.088,0.027
"P04","Pequeño excedente excepcional",0.171,0.164,0.109,0.147,0.084,0.06
"P04","Alcanza gastos familia",0.137,0.17,0.142,0.13,0.155,0.161
"P04","No alcanza gastos familia",0.078,0.077,0.1,0.097,0.087,0.187
"P04","Solo NBFamiliares",0.237,0.313,0.272,0.275,0.288,0.213
"P04","No alcanza NBFamiliares",0.211,0.153,0.286,0.191,0.274,0.292
"P04","No sabe",0.004,0.008,0.001,0.002,0.003,0.017
"P05","Muy buena",0.102,0.06,0.073,0.059,0.086,0.094
"P05","Buena",0.146,0.117,0.078,0.131,0.046,0.125
"P05","Ni buena ni mala",0.264,0.177,0.174,0.108,0.034,0.179
"P05","Mala",0.239,0.294,0.241,0.269,0.243,0.295
"P05","Muy mala",0.249,0.352,0.434,0.433,0.591,0.307
"P06","Muy buena",0.124,0.042,0.026,0.04,0.012,0.033
"P06","Buena",0.216,0.105,0.047,0.038,0.023,0.1
"P06","Ni buena ni mala",0.256,0.226,0.173,0.097,0.044,0.162
"P06","Mala",0.186,0.229,0.246,0.275,0.186,0.234
"P06","Muy mala",0.218,0.398,0.508,0.55,0.735,0.471
"P07","Muy buena",0.21,0.074,0.046,0.051,0.047,0.058
"P07","Buena",0.262,0.194,0.111,0.142,0.073,0.047
"P07","Ni buena ni mala",0.246,0.364,0.343,0.281,0.278,0.26
"P07","Mala",0.183,0.246,0.262,0.311,0.228,0.336
"P07","Muy mala",0.099,0.122,0.238,0.215,0.374,0.299
"P08","Muy buena",0.096,0.012,0.023,0.037,0.019,0.017
"P08","Buena",0.297,0.173,0.122,0.183,0.104,0.077
"P08","Ni buena ni mala",0.36,0.439,0.388,0.373,0.299,0.48
"P08","Mala",0.137,0.281,0.289,0.227,0.293,0.271
"P08","Muy mala",0.11,0.095,0.178,0.18,0.285,0.155
"P09","Muy buena",0.156,0.044,0.037,0.049,0.028,0.019
"P09","Buena",0.305,0.158,0.125,0.133,0.079,0.106
"P09","Ni buena ni mala",0.255,0.332,0.3,0.262,0.148,0.344
"P09","Mala",0.144,0.305,0.277,0.245,0.295,0.342
"P09","Muy mala",0.14,0.161,0.261,0.311,0.45,0.189
"P10","Muy buena",0.186,0.055,0.06,0.067,0.057,0.038
"P10","Buena",0.322,0.243,0.168,0.187,0.111,0.133
"P10","Ni buena ni mala",0.295,0.389,0.456,0.365,0.318,0.405
"P10","Mala",0.108,0.237,0.19,0.269,0.275,0.296
"P10","Muy mala",0.089,0.076,0.126,0.112,0.239,0.128
"P11","Ha aumentado significativamente",0.171,0.043,0.032,0.026,0.04,0.024
"P11","Ha aumentado ligeramente",0.256,0.197,0.122,0.107,0.091,0.106
"P11","Se mantiene igual",0.284,0.313,0.327,0.282,0.21,0.332
"P11","Ha disminuido ligeramente",0.15,0.24,0.266,0.248,0.252,0.308
"P11","Ha disminuido significativamente",0.139,0.207,0.253,0.337,0.407,0.23
"P12","Muy baja",0.078,0.047,0.09,0.052,0.04,0.099
"P12","Baja",0.061,0.057,0.036,0.02,0.026,0.119
"P12","Moderada",0.148,0.132,0.098,0.083,0.043,0.05
"P12","Alta",0.324,0.238,0.15,0.172,0.118,0.224
"P12","Muy alta",0.389,0.526,0.626,0.673,0.773,0.508
"P13","Muy bajas",0.062,0.031,0.054,0.106,0.08,0.092
"P13","Bajas",0.101,0.1,0.112,0.09,0.158,0.078
"P13","Adecuadas",0.385,0.306,0.206,0.291,0.154,0.184
"P13","Altas",0.276,0.297,0.298,0.27,0.228,0.302
"P13","Muy altas",0.176,0.266,0.33,0.243,0.38,0.344
"P14","No, ninguna dificultad",0.388,0.258,0.218,0.306,0.284,0.209
"P14","Alguna dificultad ocasional",0.3,0.373,0.346,0.317,0.22,0.32
"P14","Sí, dificultades frecuentes",0.312,0.369,0.436,0.377,0.496,0.471
"P15","Sí, absolutamente",0.617,0.403,0.378,0.244,0.234,0.405
"P15","Sí, en cierta medida",0.25,0.389,0.304,0.393,0.321,0.377
"P15","No, en absoluto",0.133,0.208,0.318,0.363,0.445,0.218
"P16","Reducir la inflación",0.466,0.404,0.376,0.367,0.293,0.398
"P16","Implementar reformas fiscales",0.1,0.123,0.073,0.068,0.099,0.11
"P16","Establecer políticas de control de precios",0.224,0.165,0.15,0.17,0.077,0.164
