"var","categoria","Muy positivo","Positivo","Neutral","Algo negativo","Negativo","No sabe"
"P04","Gran excedente habitual",0.013,0.005,0.015,0.023,0.018,0.041
"P04","Gran excedente excepcional",0.014,0.009,0.012,0.009,0.017,0.004
"P04","Pequeño excedente habitual",0.098,0.108,0.107,0.071,0.058,0.026
"P04","Pequeño excedente excepcional",0.141,0.145,0.142,0.139,0.1,0.078
"P04","Alcanza gastos familia",0.14,0.148,0.153,0.15,0.109,0.109
"P04","No alcanza gastos familia",0.089,0.084,0.079,0.099,0.14,0.103
"P04","Solo NBFamiliares",0.277,0.296,0.264,0.271,0.239,0.345
"P04","No alcanza NBFamiliares",0.226,0.202,0.221,0.236,0.316,0.278
"P04","No sabe",0.002,0.003,0.007,0.002,0.003,0.016
"P05","Muy buena",0.116,0.046,0.048,0.099,0.115,0.11
"P05","Buena",0.17,0.102,0.07,0.047,0.058,0.088
"P05","Ni buena ni mala",0.302,0.22,0.123,0.065,0.052,0.156
"P05","Mala",0.242,0.289,0.256,0.348,0.158,0.344
"P05","Muy mala",0.17,0.343,0.503,0.441,0.617,0.302
"P06","Muy buena",0.136,0.033,0.018,0.073,0.027,0.085
"P06","Buena",0.221,0.115,0.051,0.017,0.028,0.073
"P06","Ni buena ni mala",0.306,0.233,0.123,0.094,0.017,0.219
"P06","Mala",0.19,0.254,0.219,0.258,0.155,0.231
"P06","Muy mala",0.147,0.365,0.589,0.558,0.773,0.392
"P07","Muy buena",0.206,0.06,0.051,0.087,0.066,0.11
"P07","Buena",0.264,0.198,0.126,0.101,0.07,0.159
"P07","Ni buena ni mala",0.249,0.334,0.34,0.286,0.242,0.311
"P07","Mala",0.195,0.262,0.262,0.308,0.239,0.285
"P07","Muy mala",0.086,0.146,0.221,0.218,0.383,0.135
"P08","Muy buena",0.09,0.021,0.016,0.057,0.021,0.046
"P08","Buena",0.278,0.19,0.145,0.095,0.094,0.08
"P08","Ni buena ni mala",0.383,0.413,0.391,0.325,0.309,0.48
"P08","Mala",0.174,0.266,0.264,0.369,0.239,0.231
"P08","Muy mala",0.075,0.11,0.184,0.154,0.337,0.163
"P09","Muy buena",0.153,0.039,0.039,0.057,0.039,0.06
"P09","Buena",0.291,0.198,0.139,0.075,0.061,0.155
"P09","Ni buena ni mala",0.287,0.331,0.248,0.293,0.141,0.337
"P09","Mala",0.161,0.255,0.292,0.305,0.276,0.241
"P09","Muy mala",0.108,0.177,0.282,0.27,0.483,0.207
"P10","Muy buena",0.178,0.073,0.051,0.097,0.049,0.063
"P10","Buena",0.305,0.261,0.203,0.099,0.138,0.164
"P10","Ni buena ni mala",0.321,0.392,0.4,0.39,0.285,0.393
"P10","Mala",0.12,0.184,0.24,0.239,0.284,0.254
"P10","Muy mala",0.076,0.09,0.106,0.175,0.244,0.126
"P11","Ha aumentado significativamente",0.156,0.066,0.027,0.059,0.025,0.081
"P11","Ha aumentado ligeramente",0.257,0.23,0.121,0.089,0.082,0.081
"P11","Se mantiene igual",0.309,0.312,0.287,0.267,0.17,0.373
"P11","Ha disminuido ligeramente",0.16,0.233,0.278,0.247,0.232,0.25
"P11","Ha disminuido significativamente",0.118,0.159,0.287,0.338,0.491,0.215
