"var","categoria","Seguro lo votaria","Quizás lo votaría","Nunca lo votaría"
"P04","Tengo trabajo estable",0.412,0.45,0.5
"P04","Realizo changas o trabajos de vez en cuando",0.206,0.183,0.153
"P04","No tengo trabajo",0.204,0.234,0.162
"P04","Soy jubilado o pensionado",0.178,0.133,0.185
"P05","Derecha",0.341,0.269,0.235
"P05","Centro derecha",0.178,0.301,0.31
"P05","Centro izquierda",0.078,0.081,0.128
"P05","Izquierda",0.026,0.043,0.044
"P05","No sabe",0.377,0.306,0.283
"P06","Alta",0.33,0.247,0.247
"P06","Media",0.317,0.314,0.327
"P06","Baja",0.353,0.439,0.426
"P07","Estoy de acuerdo",0.273,0.221,0.321
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.492,0.579,0.456
"P07","No estoy de acuerdo",0.188,0.157,0.163
"P07","No sabe",0.047,0.043,0.06
"P12","A Horacio Rodriguez Larreta",0.367,0.184,0.216
"P12","A Mauricio Macri",0.325,0.419,0.312
"P12","A Patricia Bullrich",0.212,0.234,0.286
"P12","A Facundo Manes",0.066,0.087,0.093
"P12","A Gerardo Morales",0.03,0.076,0.093
"P14","Lo votaría",0.556,0.458,0.48
"P14","Puede que lo vote",0.24,0.343,0.23
"P14","Nunca lo votaría",0.177,0.167,0.253
"P14","No sabe",0.027,0.032,0.037
"P15","Lo votaría",0.07,0.037,0.035
"P15","Puede que lo vote",0.071,0.093,0.057
"P15","Nunca lo votaría",0.812,0.825,0.883
"P15","No sabe",0.047,0.045,0.025
"P16","Lo votaría",0.055,0.037,0.027
"P16","Puede que lo vote",0.068,0.098,0.052
"P16","Nunca lo votaría",0.841,0.832,0.902
"P16","No sabe",0.036,0.033,0.019
"P17","La votaría",0.061,0.039,0.032
"P17","Puede que la vote",0.03,0.081,0.032
"P17","Nunca la votaría",0.897,0.87,0.93
"P17","No sabe",0.012,0.01,0.006
"P18","Lo votaría",0.439,0.336,0.342
"P18","Puede que lo vote",0.279,0.369,0.392
"P18","Nunca lo votaría",0.244,0.228,0.239
"P18","No sabe",0.038,0.067,0.027
"P19","Lo votaría",0.178,0.185,0.191
"P19","Puede que lo vote",0.272,0.397,0.295
"P19","Nunca lo votaría",0.45,0.321,0.443
"P19","No sabe",0.1,0.097,0.071
"P20","La votaría",0.458,0.494,0.527
"P20","Puede que la vote",0.24,0.262,0.216
"P20","Nunca la votaría",0.22,0.19,0.229
"P20","No sabe",0.082,0.054,0.028
"P21","Lo votaría",0.281,0.057,0.036
"P21","Puede que lo vote",0.259,0.541,0.095
"P21","Nunca lo votaría",0.393,0.282,0.84
"P21","No sabe",0.067,0.12,0.029
"P22","La votaría",0.36,0.263,0.271
"P22","Puede que la vote",0.277,0.389,0.362
"P22","Nunca la votaría",0.332,0.263,0.317
"P22","No sabe",0.031,0.085,0.05
"P23","Lo votaría",0.09,0.042,0.02
"P23","Puede que lo vote",0.06,0.063,0.052
"P23","Nunca lo votaría",0.807,0.848,0.904
"P23","No sabe",0.043,0.047,0.024
"P24","Lo votaría",0.188,0.074,0.097
"P24","Puede que lo vote",0.228,0.287,0.28
"P24","Nunca lo votaría",0.453,0.518,0.528
"P24","No sabe",0.131,0.121,0.095
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.462,0.523,0.511
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.301,0.237,0.25
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.001,0.021,0.006
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.018,0.034,0.036
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.133,0.062,0.018
"P25","Otros candidatos",0.085,0.123,0.179
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.015,0.084,0.071
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.604,0.646,0.674
"P29","Javier Milei – José Luis Espert por los liberales",0.183,0.094,0.039
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.095,0.06,0.027
"P29","Otro candidato",0.103,0.116,0.189
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.516,0.54,0.577
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.025,0.059,0.049
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.264,0.157,0.046
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.007,0.017,0.015
"P31","Otro candidato",0.188,0.227,0.313
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.058,0.072,0.09
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.623,0.701,0.698
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.19,0.084,0.028
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.003,0,0.012
"P33","Otro candidato",0.126,0.143,0.172
"P35","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.061,0.057,0.072
"P35","Mauricio Macri presidente – María Eugenia Vidal vice",0.782,0.786,0.803
"P35","No sabe",0.157,0.157,0.125
"P36","Alberto Fernández presidente – Daniel Scioli vice",0.028,0.038,0.048
"P36","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.741,0.719,0.745
