"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.062,0.06,0.064,0.043,0.066,0.055,0.086,0.098,0.051,0.039,0.06,0.062,0.035,0.067,0.164,0.015,0.046,6
"Buena",0.169,0.173,0.166,0.117,0.172,0.207,0.181,0.187,0.162,0.16,0.157,0.164,0.2,0.177,0.275,0.131,0.163,6
"Ni buena ni mala",0.187,0.17,0.201,0.214,0.19,0.168,0.166,0.229,0.181,0.15,0.169,0.233,0.182,0.181,0.319,0.07,0.163,6
"Mala",0.121,0.128,0.115,0.143,0.112,0.107,0.133,0.127,0.118,0.12,0.121,0.138,0.144,0.112,0.107,0.076,0.127,6
"Muy mala",0.451,0.463,0.44,0.473,0.45,0.454,0.419,0.342,0.476,0.529,0.487,0.392,0.412,0.452,0.131,0.706,0.501,6
"No sabe",0.01,0.006,0.014,0.01,0.01,0.009,0.015,0.017,0.012,0.002,0.006,0.011,0.027,0.011,0.004,0.002,0,6
"Positiva",0.231,0.233,0.23,0.16,0.238,0.262,0.267,0.285,0.213,0.199,0.217,0.226,0.235,0.244,0.439,0.146,0.209,4
"Neutra",0.187,0.17,0.201,0.214,0.19,0.168,0.166,0.229,0.181,0.15,0.169,0.233,0.182,0.181,0.319,0.07,0.163,4
"Negativa",0.572,0.591,0.555,0.616,0.562,0.561,0.552,0.469,0.594,0.649,0.608,0.53,0.556,0.564,0.238,0.782,0.628,4
"No sabe",0.01,0.006,0.014,0.01,0.01,0.009,0.015,0.017,0.012,0.002,0.006,0.011,0.027,0.011,0.004,0.002,0,4
