"var","categoria","Todos los días","Entre 4 y 6 días a la semana","Entre 1 y 3 días a la semana","Raramente","Nunca"
"P04","Gran excedente habitual",0.034,0.007,0.011,0.007,0.007
"P04","Gran excedente excepcional",0.015,0.002,0.002,0.005,0.005
"P04","Pequeño excedente habitual",0.089,0.052,0.056,0.035,0.038
"P04","Pequeño excedente excepcional",0.065,0.074,0.072,0.045,0.028
"P04","Alcanza gastos familia",0.168,0.168,0.162,0.114,0.069
"P04","No alcanza gastos familia",0.106,0.114,0.177,0.174,0.2
"P04","Solo NBFamiliares",0.224,0.353,0.279,0.261,0.171
"P04","No alcanza NBFamiliares",0.261,0.216,0.219,0.344,0.443
"P04","No sabe",0.038,0.014,0.022,0.015,0.039
"P05","Todos los días",0.291,0.172,0.162,0.199,0.197
"P05","Entre 4 y 6 días a la semana",0.23,0.409,0.295,0.243,0.175
"P05","Entre 1 y 3 días a la semana",0.258,0.287,0.395,0.318,0.269
"P05","Raramente",0.164,0.108,0.125,0.198,0.218
"P05","Nunca",0.057,0.024,0.023,0.042,0.141
"P06","Todos los días",0.243,0.076,0.057,0.068,0.073
"P06","Entre 4 y 6 días a la semana",0.252,0.375,0.237,0.16,0.117
"P06","Entre 1 y 3 días a la semana",0.312,0.353,0.492,0.396,0.233
"P06","Raramente",0.13,0.177,0.18,0.314,0.386
"P06","Nunca",0.063,0.019,0.034,0.062,0.191
"P07","Todos los días",0.275,0.078,0.048,0.066,0.066
"P07","Entre 4 y 6 días a la semana",0.227,0.334,0.229,0.164,0.132
"P07","Entre 1 y 3 días a la semana",0.335,0.41,0.522,0.431,0.266
"P07","Raramente",0.119,0.136,0.178,0.294,0.361
"P07","Nunca",0.044,0.042,0.023,0.045,0.175
"P08","Todos los días",0.317,0.053,0.016,0.02,0.019
"P08","Entre 4 y 6 días a la semana",0.153,0.249,0.061,0.038,0.033
"P08","Entre 1 y 3 días a la semana",0.204,0.255,0.342,0.117,0.044
"P08","Raramente",0.245,0.331,0.441,0.57,0.19
"P08","Nunca",0.081,0.112,0.14,0.255,0.714
"P10","Todos los días",0.441,0.151,0.156,0.138,0.134
"P10","Entre 4 y 6 días a la semana",0.125,0.397,0.181,0.139,0.091
"P10","Entre 1 y 3 días a la semana",0.185,0.252,0.453,0.233,0.147
"P10","Raramente",0.16,0.16,0.177,0.424,0.289
"P10","Nunca",0.089,0.04,0.033,0.066,0.339
"P11","Todos los días",0.507,0.342,0.283,0.185,0.17
"P11","Entre 4 y 6 días a la semana",0.176,0.298,0.195,0.136,0.077
"P11","Entre 1 y 3 días a la semana",0.152,0.223,0.319,0.265,0.18
"P11","Raramente",0.127,0.106,0.168,0.346,0.243
"P11","Nunca",0.038,0.031,0.035,0.068,0.33
"P12","Todos los días",0.208,0.062,0.051,0.05,0.061
"P12","Entre 4 y 6 días a la semana",0.105,0.182,0.106,0.085,0.083
"P12","Entre 1 y 3 días a la semana",0.226,0.309,0.386,0.282,0.24
"P12","Raramente",0.309,0.337,0.376,0.47,0.342
"P12","Nunca",0.152,0.11,0.081,0.113,0.274
"P13","Todos los días",0.61,0.343,0.249,0.184,0.181
"P13","Entre 4 y 6 días a la semana",0.201,0.358,0.266,0.216,0.14
"P13","Entre 1 y 3 días a la semana",0.083,0.218,0.372,0.303,0.251
"P13","Raramente",0.09,0.069,0.1,0.259,0.245
"P13","Nunca",0.016,0.012,0.013,0.038,0.183
"P14","Todos los días",0.271,0.119,0.105,0.099,0.129
"P14","Entre 4 y 6 días a la semana",0.257,0.317,0.222,0.206,0.175
"P14","Entre 1 y 3 días a la semana",0.251,0.386,0.435,0.374,0.264
"P14","Raramente",0.133,0.154,0.207,0.264,0.252
"P14","Nunca",0.088,0.024,0.031,0.057,0.18
"P15","Menos de un vaso al día",0.165,0.126,0.06,0.079,0.104
"P15","De 1 a 4 vasos al día",0.347,0.422,0.349,0.322,0.283
"P15","Más de 4 vasos al día",0.422,0.421,0.525,0.522,0.518
"P15","No consume agua",0.066,0.031,0.066,0.077,0.095
"P16","Agua embotellada/mineral",0.271,0.179,0.154,0.13,0.126
"P16","Agua de la canilla filtrada",0.255,0.352,0.314,0.298,0.268
"P16","Agua de la canilla directamente",0.328,0.342,0.401,0.449,0.489
"P16","Agua de bidón",0.106,0.122,0.127,0.113,0.098
"P16","No consume agua",0.04,0.005,0.004,0.01,0.019
"P17","Todos los días",0.143,0.056,0.06,0.057,0.058
"P17","Entre 4 y 6 días a la semana",0.117,0.134,0.084,0.077,0.082
"P17","Entre 1 y 3 días a la semana",0.192,0.222,0.273,0.17,0.161
"P17","Raramente",0.31,0.332,0.353,0.339,0.207
"P17","Nunca",0.238,0.256,0.23,0.357,0.492
"P18","Vino",0.272,0.228,0.254,0.225,0.191
"P18","Cerveza",0.216,0.203,0.204,0.131,0.066
"P18","Destilados (whisky, vodka, ron, etc.)",0.088,0.07,0.09,0.04,0.023
"P18","Espumantes",0.051,0.062,0.047,0.06,0.042
"P18","Otros",0.068,0.145,0.091,0.121,0.165
"P18","No consume bebidas alcohólicas",0.305,0.292,0.314,0.423,0.513
"P19","Todos los días",0.376,0.165,0.1,0.07,0.068
"P19","Entre 4 y 6 días a la semana",0.132,0.177,0.113,0.087,0.04
"P19","Entre 1 y 3 días a la semana",0.166,0.235,0.256,0.137,0.059
"P19","Raramente",0.22,0.304,0.374,0.468,0.315
"P19","Nunca",0.106,0.119,0.157,0.238,0.518
"P20","Todos los días",0.614,0.488,0.508,0.51,0.473
"P20","Entre 4 y 6 días a la semana",0.092,0.153,0.097,0.081,0.079
"P20","Entre 1 y 3 días a la semana",0.089,0.081,0.141,0.082,0.091
"P20","Raramente",0.092,0.153,0.152,0.19,0.157
"P20","Nunca",0.113,0.125,0.102,0.137,0.2
"P21","Todos los días",0.67,0.566,0.471,0.479,0.439
"P21","Entre 4 y 6 días a la semana",0.118,0.177,0.193,0.178,0.12
"P21","Entre 1 y 3 días a la semana",0.075,0.121,0.174,0.144,0.105
"P21","Raramente",0.081,0.086,0.119,0.148,0.178
"P21","Nunca",0.056,0.05,0.043,0.051,0.158
"P22","Asado",0.45,0.423,0.385,0.419,0.41
"P22","Pizza",0.089,0.095,0.119,0.077,0.063
"P22","Milanesa",0.167,0.168,0.198,0.146,0.1
"P22","Pastas",0.105,0.131,0.129,0.097,0.103
"P22","Empanadas",0.045,0.047,0.041,0.049,0.039
"P22","Hamburguesa",0.026,0.024,0.01,0.005,0.014
"P22","Ensaladas (de cualquier tipo)",0.03,0.029,0.044,0.072,0.064
"P22","Guiso (de lentejas, de arroz, locro o similares)",0.05,0.055,0.047,0.084,0.104
"P22","Polenta o similares (de cualquier tipo)",0.01,0.006,0.017,0.026,0.052
"P22","Ninguno de los anteriores",0.028,0.022,0.01,0.025,0.051
"P23","Asado",0.237,0.125,0.101,0.103,0.097
"P23","Pizza",0.103,0.125,0.069,0.047,0.039
"P23","Milanesa",0.264,0.229,0.254,0.165,0.11
"P23","Pastas",0.164,0.203,0.206,0.185,0.14
"P23","Empanadas",0.037,0.037,0.053,0.033,0.022
"P23","Hamburguesa",0.024,0.034,0.013,0.018,0.024
"P23","Ensaladas (de cualquier tipo)",0.046,0.063,0.075,0.133,0.132
"P23","Guiso (de lentejas, de arroz, locro o similares)",0.048,0.086,0.108,0.151,0.158
"P23","Polenta o similares (de cualquier tipo)",0.029,0.037,0.053,0.084,0.14
"P23","Ninguno de los anteriores",0.048,0.061,0.068,0.081,0.138
"P24","Helado",0.39,0.325,0.283,0.221,0.16
"P24","Tortas, tartas dulces y masas",0.202,0.177,0.176,0.135,0.087
"P24","Ensalada de frutas",0.116,0.166,0.164,0.181,0.179
"P24","Flan, budín de pan y similares",0.081,0.117,0.132,0.132,0.12
"P24","Dulce de batata, membrillo o similares",0.074,0.063,0.081,0.075,0.102
"P24","Facturas de todo tipo",0.036,0.052,0.035,0.039,0.024
"P24","Postres lácteos caseros o envasados de cualquier tipo",0.012,0.023,0.02,0.034,0.036
"P24","Gelatina",0.007,0.01,0.035,0.053,0.07
"P24","Panqueques, wafles y similares",0.024,0.029,0.013,0.027,0.032
"P24","Ninguno de los anteriores",0.058,0.038,0.061,0.103,0.19
"P25","Helado",0.289,0.148,0.112,0.091,0.061
"P25","Tortas, tartas dulces y masas",0.256,0.22,0.167,0.105,0.062
"P25","Ensalada de frutas",0.066,0.094,0.111,0.098,0.103
"P25","Flan, budín de pan y similares",0.056,0.104,0.061,0.059,0.04
"P25","Dulce de batata, membrillo o similares",0.087,0.105,0.114,0.123,0.066
"P25","Facturas de todo tipo",0.083,0.118,0.134,0.058,0.033
"P25","Postres lácteos caseros o envasados de cualquier tipo",0.016,0.019,0.024,0.042,0.018
"P25","Gelatina",0.009,0.028,0.03,0.067,0.047
"P25","Panqueques, wafles y similares",0.001,0.006,0.014,0.012,0.034
"P25","Ninguno de los anteriores",0.137,0.158,0.233,0.345,0.536
"P26","Vegetariano",0.079,0.048,0.043,0.045,0.04
"P26","Vegano",0.084,0.053,0.046,0.032,0.035
"P26","Dieta baja en carnes rojas",0.141,0.17,0.146,0.139,0.116
"P26","Dieta baja en carbohidratos",0.075,0.078,0.088,0.106,0.1
"P26","Dieta baja en azúcares",0.077,0.086,0.121,0.141,0.179
"P26","Kosher o Alal",0.024,0.038,0.028,0.01,0.021
"P26","Ninguna restricción alimentaria",0.52,0.527,0.528,0.527,0.509
"P27","Si",0.571,0.551,0.597,0.501,0.507
"P27","Parcialmente",0.178,0.21,0.195,0.185,0.119
"P27","No",0.251,0.239,0.208,0.314,0.374
"P28","Si",0.795,0.699,0.712,0.708,0.753
"P28","Si, pero solo en algunos de ellos",0.157,0.251,0.24,0.246,0.224
"P28","No",0.048,0.05,0.048,0.046,0.023
"P29","Si",0.608,0.659,0.647,0.593,0.632
"P29","No",0.392,0.341,0.353,0.407,0.368
"P30","Muy de acuerdo",0.594,0.591,0.572,0.51,0.6
"P30","Parcialmente de acuerdo",0.246,0.319,0.341,0.345,0.26
"P30","No",0.16,0.09,0.087,0.145,0.14
"P31","Bajo peso",0.18,0.067,0.076,0.091,0.127
"P31","Sobrepeso",0.246,0.339,0.301,0.249,0.225
"P31","Obesidad",0.102,0.105,0.112,0.113,0.14
"P31","Normal",0.406,0.437,0.439,0.465,0.418
"P31","No sabe",0.066,0.052,0.072,0.082,0.09
"P32","Diabetes",0.142,0.08,0.081,0.095,0.147
"P32","Hipertensión",0.193,0.171,0.189,0.171,0.189
"P32","Enfermedades cardiovasculares",0.04,0.059,0.064,0.051,0.053
"P32","Celiaquía",0.061,0.089,0.07,0.085,0.101
"P32","Ninguna",0.474,0.539,0.529,0.506,0.418
"P32","No sabe",0.09,0.062,0.067,0.092,0.092
"P33","Todos los días",0.11,0.026,0.026,0.025,0.056
"P33","Entre 4 y 6 días a la semana",0.096,0.049,0.061,0.037,0.048
"P33","Entre 1 y 3 días a la semana",0.175,0.133,0.148,0.078,0.044
"P33","Raramente",0.309,0.383,0.338,0.314,0.183
"P33","Nunca",0.31,0.409,0.427,0.546,0.669
"P34","Todos los días",0.101,0.018,0.005,0.008,0.017
"P34","Entre 4 y 6 días a la semana",0.087,0.04,0.01,0.015,0.019
"P34","Entre 1 y 3 días a la semana",0.181,0.168,0.164,0.073,0.043
"P34","Raramente",0.341,0.407,0.384,0.348,0.13
