"var","categoria","Si","Si, pero solo en algunos de ellos","No"
"P04","Gran excedente habitual",0.014,0.004,0.002
"P04","Gran excedente excepcional",0.009,0.001,0
"P04","Pequeño excedente habitual",0.067,0.045,0.051
"P04","Pequeño excedente excepcional",0.076,0.052,0.057
"P04","Alcanza gastos familia",0.195,0.137,0.111
"P04","No alcanza gastos familia",0.14,0.18,0.134
"P04","Solo NBFamiliares",0.26,0.333,0.304
"P04","No alcanza NBFamiliares",0.228,0.229,0.323
"P04","No sabe",0.011,0.019,0.018
"P05","Todos los días",0.191,0.18,0.21
"P05","Entre 4 y 6 días a la semana",0.298,0.311,0.28
"P05","Entre 1 y 3 días a la semana",0.322,0.342,0.278
"P05","Raramente",0.154,0.15,0.21
"P05","Nunca",0.035,0.017,0.022
"P06","Todos los días",0.08,0.042,0.149
"P06","Entre 4 y 6 días a la semana",0.236,0.251,0.304
"P06","Entre 1 y 3 días a la semana",0.43,0.434,0.279
"P06","Raramente",0.203,0.235,0.226
"P06","Nunca",0.051,0.038,0.042
"P07","Todos los días",0.072,0.049,0.105
"P07","Entre 4 y 6 días a la semana",0.213,0.181,0.29
"P07","Entre 1 y 3 días a la semana",0.467,0.532,0.324
"P07","Raramente",0.201,0.206,0.248
"P07","Nunca",0.047,0.032,0.033
"P08","Todos los días",0.038,0.035,0.112
"P08","Entre 4 y 6 días a la semana",0.071,0.068,0.13
"P08","Entre 1 y 3 días a la semana",0.209,0.214,0.171
"P08","Raramente",0.458,0.434,0.287
"P08","Nunca",0.224,0.249,0.3
"P09","Todos los días",0.098,0.059,0.094
"P09","Entre 4 y 6 días a la semana",0.149,0.164,0.171
"P09","Entre 1 y 3 días a la semana",0.283,0.293,0.304
"P09","Raramente",0.358,0.381,0.375
"P09","Nunca",0.112,0.103,0.056
"P10","Todos los días",0.203,0.175,0.223
"P10","Entre 4 y 6 días a la semana",0.2,0.171,0.221
"P10","Entre 1 y 3 días a la semana",0.296,0.348,0.196
"P10","Raramente",0.244,0.258,0.261
"P10","Nunca",0.057,0.048,0.099
"P11","Todos los días",0.324,0.249,0.351
"P11","Entre 4 y 6 días a la semana",0.186,0.169,0.189
"P11","Entre 1 y 3 días a la semana",0.25,0.293,0.155
"P11","Raramente",0.191,0.234,0.213
"P11","Nunca",0.049,0.055,0.092
"P12","Todos los días",0.075,0.045,0.105
"P12","Entre 4 y 6 días a la semana",0.099,0.101,0.115
"P12","Entre 1 y 3 días a la semana",0.328,0.352,0.266
"P12","Raramente",0.396,0.421,0.409
"P12","Nunca",0.102,0.081,0.105
"P13","Todos los días",0.276,0.237,0.316
"P13","Entre 4 y 6 días a la semana",0.254,0.267,0.189
"P13","Entre 1 y 3 días a la semana",0.291,0.288,0.299
"P13","Raramente",0.142,0.177,0.169
"P13","Nunca",0.037,0.031,0.027
"P14","Todos los días",0.123,0.091,0.178
"P14","Entre 4 y 6 días a la semana",0.228,0.246,0.237
"P14","Entre 1 y 3 días a la semana",0.422,0.408,0.302
"P14","Raramente",0.179,0.218,0.254
"P14","Nunca",0.048,0.037,0.029
"P15","Menos de un vaso al día",0.079,0.069,0.119
"P15","De 1 a 4 vasos al día",0.344,0.37,0.218
"P15","Más de 4 vasos al día",0.525,0.505,0.539
"P15","No consume agua",0.052,0.056,0.124
"P16","Agua embotellada/mineral",0.174,0.126,0.143
"P16","Agua de la canilla filtrada",0.303,0.29,0.192
"P16","Agua de la canilla directamente",0.393,0.458,0.567
"P16","Agua de bidón",0.119,0.121,0.08
"P16","No consume agua",0.011,0.005,0.018
"P17","Todos los días",0.079,0.027,0.107
"P17","Entre 4 y 6 días a la semana",0.089,0.111,0.09
"P17","Entre 1 y 3 días a la semana",0.227,0.223,0.214
"P17","Raramente",0.329,0.348,0.295
"P17","Nunca",0.276,0.291,0.294
"P18","Vino",0.261,0.229,0.362
"P18","Cerveza",0.18,0.197,0.216
"P18","Destilados (whisky, vodka, ron, etc.)",0.066,0.049,0.051
"P18","Espumantes",0.046,0.066,0.011
"P18","Otros",0.113,0.097,0.06
"P18","No consume bebidas alcohólicas",0.334,0.362,0.3
"P19","Todos los días",0.128,0.099,0.152
"P19","Entre 4 y 6 días a la semana",0.113,0.092,0.082
"P19","Entre 1 y 3 días a la semana",0.194,0.158,0.203
"P19","Raramente",0.336,0.441,0.346
"P19","Nunca",0.229,0.21,0.217
"P20","Todos los días",0.51,0.533,0.49
"P20","Entre 4 y 6 días a la semana",0.095,0.098,0.109
"P20","Entre 1 y 3 días a la semana",0.11,0.086,0.105
"P20","Raramente",0.138,0.146,0.111
"P20","Nunca",0.147,0.137,0.185
"P21","Todos los días",0.556,0.483,0.457
"P21","Entre 4 y 6 días a la semana",0.158,0.208,0.156
"P21","Entre 1 y 3 días a la semana",0.128,0.157,0.16
"P21","Raramente",0.11,0.122,0.166
"P21","Nunca",0.048,0.03,0.061
"P22","Asado",0.442,0.412,0.412
"P22","Pizza",0.091,0.095,0.125
"P22","Milanesa",0.163,0.13,0.153
"P22","Pastas",0.102,0.122,0.078
"P22","Empanadas",0.046,0.043,0.02
"P22","Hamburguesa",0.013,0.016,0
"P22","Ensaladas (de cualquier tipo)",0.063,0.06,0.048
"P22","Guiso (de lentejas, de arroz, locro o similares)",0.047,0.085,0.085
"P22","Polenta o similares (de cualquier tipo)",0.015,0.019,0.052
"P22","Ninguno de los anteriores",0.018,0.018,0.027
"P23","Asado",0.116,0.12,0.14
"P23","Pizza",0.075,0.088,0.074
"P23","Milanesa",0.226,0.171,0.219
"P23","Pastas",0.204,0.187,0.185
"P23","Empanadas",0.038,0.028,0.029
"P23","Hamburguesa",0.021,0.017,0.028
"P23","Ensaladas (de cualquier tipo)",0.109,0.098,0.105
"P23","Guiso (de lentejas, de arroz, locro o similares)",0.089,0.134,0.066
"P23","Polenta o similares (de cualquier tipo)",0.053,0.065,0.104
"P23","Ninguno de los anteriores",0.069,0.092,0.05
"P24","Helado",0.299,0.223,0.282
"P24","Tortas, tartas dulces y masas",0.167,0.152,0.106
"P24","Ensalada de frutas",0.153,0.166,0.237
"P24","Flan, budín de pan y similares",0.123,0.124,0.117
"P24","Dulce de batata, membrillo o similares",0.062,0.095,0.088
"P24","Facturas de todo tipo",0.036,0.028,0.026
"P24","Postres lácteos caseros o envasados de cualquier tipo",0.029,0.025,0.021
"P24","Gelatina",0.032,0.071,0.014
"P24","Panqueques, wafles y similares",0.018,0.016,0.06
"P24","Ninguno de los anteriores",0.081,0.1,0.049
"P25","Helado",0.147,0.091,0.138
"P25","Tortas, tartas dulces y masas",0.168,0.109,0.134
"P25","Ensalada de frutas",0.084,0.092,0.142
"P25","Flan, budín de pan y similares",0.056,0.061,0.111
"P25","Dulce de batata, membrillo o similares",0.087,0.147,0.172
"P25","Facturas de todo tipo",0.1,0.107,0.04
"P25","Postres lácteos caseros o envasados de cualquier tipo",0.027,0.03,0.017
"P25","Gelatina",0.042,0.056,0.048
"P25","Panqueques, wafles y similares",0.012,0.012,0.005
"P25","Ninguno de los anteriores",0.277,0.295,0.193
"P26","Vegetariano",0.057,0.04,0.119
"P26","Vegano",0.041,0.075,0.099
"P26","Dieta baja en carnes rojas",0.111,0.112,0.139
"P26","Dieta baja en carbohidratos",0.096,0.118,0.116
"P26","Dieta baja en azúcares",0.123,0.149,0.094
"P26","Kosher o Alal",0.024,0.027,0.004
"P26","Ninguna restricción alimentaria",0.548,0.479,0.429
"P29","Si",0.644,0.58,0.531
"P29","No",0.356,0.42,0.469
"P30","Muy de acuerdo",0.565,0.547,0.48
"P30","Parcialmente de acuerdo",0.301,0.374,0.398
"P30","No",0.134,0.079,0.122
"P31","Bajo peso",0.126,0.083,0.087
"P31","Sobrepeso",0.296,0.349,0.299
"P31","Obesidad",0.073,0.057,0.094
"P31","Normal",0.449,0.432,0.401
"P31","No sabe",0.056,0.079,0.119
"P32","Diabetes",0.1,0.109,0.102
"P32","Hipertensión",0.184,0.21,0.212
"P32","Enfermedades cardiovasculares",0.045,0.059,0.094
"P32","Celiaquía",0.086,0.085,0.019
"P32","Ninguna",0.527,0.462,0.531
"P32","No sabe",0.058,0.075,0.042
"P33","Todos los días",0.032,0.042,0.109
"P33","Entre 4 y 6 días a la semana",0.049,0.071,0.025
"P33","Entre 1 y 3 días a la semana",0.129,0.101,0.138
"P33","Raramente",0.351,0.287,0.211
"P33","Nunca",0.439,0.499,0.517
"P34","Todos los días",0.017,0.016,0.051
"P34","Entre 4 y 6 días a la semana",0.022,0.027,0.014
"P34","Entre 1 y 3 días a la semana",0.135,0.112,0.092
"P34","Raramente",0.37,0.325,0.305
"P34","Nunca",0.456,0.52,0.538
"P35","Todos los días",0.639,0.653,0.573
"P35","Entre 4 y 6 días a la semana",0.16,0.157,0.207
"P35","Entre 1 y 3 días a la semana",0.063,0.075,0.057
"P35","Raramente",0.053,0.054,0.043
"P35","Nunca",0.085,0.061,0.12
"P36","Menos de 1 comida al día",0.184,0.178,0.166
"P36","1 comida",0.266,0.302,0.353
"P36","2 comidas",0.27,0.285,0.228
"P36","3 comidas",0.134,0.097,0.101
"P36","4 comidas",0.127,0.123,0.152
"P36","Más de 4 comidas",0.019,0.015,0
"P37","Precio",0.279,0.267,0.26
"P37","Calidad",0.196,0.138,0.251
"P37","Cantidad de sellos presentes en el producto",0.05,0.087,0.11
"P37","Precio y calidad",0.323,0.299,0.237
"P37","Precio y cantidad de sellos presentes en el producto",0.048,0.081,0.03
"P37","Calidad y cantidad de sellos presentes en el producto",0.009,0.018,0.022
"P37","Precio, calidad y cantidad de sellos presentes en el producto",0.062,0.08,0.06
"P37","Compra sin ningún tipo de consideración",0.033,0.03,0.03
"P38","Menos de 1 vez a la semana",0.213,0.169,0.125
"P38","1 vez a la semana",0.25,0.308,0.479
"P38","Entre 1 a 4 veces a la semana",0.298,0.267,0.192
