"var","categoria","Gran excedente habitual","Gran excedente excepcional","Pequeño excedente habitual","Pequeño excedente excepcional","Alcanza gastos familia","No alcanza gastos familia","Solo NBFamiliares","No alcanza NBFamiliares","No sabe"
"P05","Todos los días",0.491,0.42,0.322,0.285,0.217,0.117,0.113,0.257,0.182
"P05","Entre 4 y 6 días a la semana",0.215,0.314,0.352,0.284,0.335,0.188,0.397,0.155,0.183
"P05","Entre 1 y 3 días a la semana",0.121,0.266,0.228,0.26,0.248,0.461,0.345,0.287,0.289
"P05","Raramente",0.074,0,0.056,0.046,0.18,0.164,0.127,0.231,0.183
"P05","Nunca",0.099,0,0.042,0.125,0.02,0.07,0.018,0.07,0.163
"P06","Todos los días",0.338,0.332,0.168,0.147,0.102,0.081,0.063,0.079,0.185
"P06","Entre 4 y 6 días a la semana",0.302,0.145,0.35,0.329,0.295,0.158,0.23,0.148,0.204
"P06","Entre 1 y 3 días a la semana",0.198,0.474,0.403,0.384,0.44,0.397,0.437,0.309,0.234
"P06","Raramente",0.094,0.039,0.038,0.113,0.127,0.297,0.234,0.353,0.237
"P06","Nunca",0.068,0.01,0.041,0.027,0.036,0.067,0.036,0.111,0.14
"P07","Todos los días",0.301,0.268,0.107,0.111,0.087,0.096,0.065,0.078,0.132
"P07","Entre 4 y 6 días a la semana",0.258,0.117,0.248,0.307,0.231,0.157,0.211,0.188,0.227
"P07","Entre 1 y 3 días a la semana",0.335,0.591,0.498,0.454,0.525,0.407,0.457,0.327,0.235
"P07","Raramente",0.025,0.024,0.108,0.121,0.127,0.288,0.232,0.314,0.274
"P07","Nunca",0.081,0,0.039,0.007,0.03,0.052,0.035,0.093,0.132
"P08","Todos los días",0.267,0.07,0.086,0.033,0.028,0.05,0.037,0.065,0.103
"P08","Entre 4 y 6 días a la semana",0.084,0.104,0.078,0.094,0.065,0.066,0.115,0.077,0.07
"P08","Entre 1 y 3 días a la semana",0.169,0.251,0.245,0.285,0.258,0.17,0.222,0.121,0.219
"P08","Raramente",0.385,0.339,0.448,0.475,0.485,0.438,0.423,0.391,0.323
"P08","Nunca",0.095,0.236,0.143,0.113,0.164,0.276,0.203,0.346,0.285
"P09","Todos los días",0.298,0.29,0.174,0.11,0.118,0.061,0.08,0.082,0.164
"P09","Entre 4 y 6 días a la semana",0.1,0.077,0.156,0.192,0.183,0.101,0.194,0.104,0.092
"P09","Entre 1 y 3 días a la semana",0.248,0.116,0.288,0.32,0.302,0.269,0.262,0.181,0.252
"P09","Raramente",0.262,0.376,0.278,0.311,0.329,0.406,0.378,0.437,0.254
"P09","Nunca",0.092,0.141,0.104,0.067,0.068,0.163,0.086,0.196,0.238
