"var","categoria","Bajo peso","Sobrepeso","Obesidad","Normal","No sabe"
"P04","Gran excedente habitual",0.009,0.011,0.003,0.011,0.013
"P04","Gran excedente excepcional",0.016,0.004,0,0.005,0.001
"P04","Pequeño excedente habitual",0.039,0.059,0.035,0.061,0.022
"P04","Pequeño excedente excepcional",0.033,0.066,0.052,0.076,0.037
"P04","Alcanza gastos familia",0.118,0.167,0.088,0.168,0.112
"P04","No alcanza gastos familia",0.154,0.146,0.209,0.172,0.116
"P04","Solo NBFamiliares",0.267,0.271,0.259,0.261,0.264
"P04","No alcanza NBFamiliares",0.343,0.266,0.344,0.229,0.379
"P04","No sabe",0.021,0.01,0.01,0.017,0.056
"P05","Todos los días",0.207,0.178,0.203,0.207,0.186
"P05","Entre 4 y 6 días a la semana",0.247,0.274,0.251,0.303,0.24
"P05","Entre 1 y 3 días a la semana",0.308,0.33,0.327,0.323,0.257
"P05","Raramente",0.197,0.188,0.154,0.128,0.262
"P05","Nunca",0.041,0.03,0.065,0.039,0.055
"P06","Todos los días",0.115,0.068,0.087,0.075,0.06
"P06","Entre 4 y 6 días a la semana",0.225,0.23,0.19,0.231,0.193
"P06","Entre 1 y 3 días a la semana",0.357,0.478,0.327,0.414,0.347
"P06","Raramente",0.211,0.188,0.321,0.229,0.3
"P06","Nunca",0.092,0.036,0.075,0.051,0.1
"P07","Todos los días",0.108,0.082,0.07,0.065,0.078
"P07","Entre 4 y 6 días a la semana",0.219,0.212,0.217,0.21,0.184
"P07","Entre 1 y 3 días a la semana",0.366,0.48,0.342,0.461,0.387
"P07","Raramente",0.205,0.196,0.296,0.224,0.294
"P07","Nunca",0.102,0.03,0.075,0.04,0.057
"P08","Todos los días",0.086,0.037,0.051,0.026,0.021
"P08","Entre 4 y 6 días a la semana",0.066,0.077,0.109,0.081,0.079
"P08","Entre 1 y 3 días a la semana",0.195,0.22,0.238,0.163,0.172
"P08","Raramente",0.397,0.45,0.345,0.465,0.422
"P08","Nunca",0.256,0.216,0.257,0.265,0.306
"P09","Todos los días",0.164,0.078,0.078,0.08,0.077
"P09","Entre 4 y 6 días a la semana",0.1,0.179,0.132,0.142,0.101
"P09","Entre 1 y 3 días a la semana",0.215,0.297,0.264,0.266,0.26
"P09","Raramente",0.362,0.347,0.378,0.399,0.418
"P09","Nunca",0.159,0.099,0.148,0.113,0.144
"P10","Todos los días",0.233,0.162,0.1,0.208,0.098
"P10","Entre 4 y 6 días a la semana",0.149,0.2,0.161,0.201,0.152
"P10","Entre 1 y 3 días a la semana",0.212,0.306,0.262,0.293,0.279
"P10","Raramente",0.273,0.263,0.343,0.248,0.381
"P10","Nunca",0.133,0.069,0.134,0.05,0.09
"P11","Todos los días",0.29,0.288,0.165,0.297,0.234
"P11","Entre 4 y 6 días a la semana",0.126,0.212,0.131,0.184,0.138
"P11","Entre 1 y 3 días a la semana",0.237,0.25,0.3,0.259,0.241
"P11","Raramente",0.241,0.201,0.282,0.196,0.326
"P11","Nunca",0.106,0.049,0.122,0.064,0.061
"P12","Todos los días",0.141,0.069,0.059,0.049,0.087
"P12","Entre 4 y 6 días a la semana",0.108,0.102,0.079,0.119,0.083
"P12","Entre 1 y 3 días a la semana",0.302,0.296,0.315,0.355,0.258
"P12","Raramente",0.295,0.434,0.389,0.379,0.452
"P12","Nunca",0.154,0.099,0.158,0.098,0.12
"P13","Todos los días",0.347,0.289,0.22,0.244,0.269
"P13","Entre 4 y 6 días a la semana",0.251,0.246,0.208,0.245,0.209
"P13","Entre 1 y 3 días a la semana",0.222,0.288,0.317,0.32,0.216
"P13","Raramente",0.124,0.149,0.185,0.168,0.22
"P13","Nunca",0.056,0.028,0.07,0.023,0.086
"P14","Todos los días",0.221,0.108,0.161,0.093,0.105
"P14","Entre 4 y 6 días a la semana",0.206,0.236,0.234,0.223,0.256
"P14","Entre 1 y 3 días a la semana",0.322,0.4,0.347,0.428,0.302
"P14","Raramente",0.187,0.218,0.206,0.205,0.239
"P14","Nunca",0.064,0.038,0.052,0.051,0.098
"P15","Menos de un vaso al día",0.162,0.054,0.111,0.07,0.12
"P15","De 1 a 4 vasos al día",0.311,0.348,0.288,0.348,0.399
"P15","Más de 4 vasos al día",0.439,0.537,0.514,0.533,0.414
"P15","No consume agua",0.088,0.061,0.087,0.049,0.067
"P16","Agua embotellada/mineral",0.166,0.177,0.136,0.143,0.133
"P16","Agua de la canilla filtrada",0.303,0.293,0.303,0.314,0.263
"P16","Agua de la canilla directamente",0.421,0.404,0.462,0.413,0.452
"P16","Agua de bidón",0.079,0.124,0.079,0.124,0.122
"P16","No consume agua",0.031,0.002,0.02,0.006,0.03
"P17","Todos los días",0.149,0.062,0.054,0.051,0.067
"P17","Entre 4 y 6 días a la semana",0.141,0.094,0.091,0.079,0.047
"P17","Entre 1 y 3 días a la semana",0.153,0.203,0.274,0.207,0.122
"P17","Raramente",0.29,0.366,0.264,0.337,0.344
"P17","Nunca",0.267,0.275,0.317,0.326,0.42
