"var","categoria","Hipermercado/Supermercado","Almacenes","Productores locales/mercados de cercanía/Ferias","Vía pública","No sabe"
"P04","Gran excedente habitual",0.014,0.001,0.008,0.005,0.007
"P04","Gran excedente excepcional",0.008,0.002,0.004,0,0.005
"P04","Pequeño excedente habitual",0.066,0.045,0.07,0.012,0.012
"P04","Pequeño excedente excepcional",0.072,0.053,0.07,0.063,0.03
"P04","Alcanza gastos familia",0.174,0.121,0.172,0.111,0.07
"P04","No alcanza gastos familia",0.153,0.175,0.161,0.223,0.197
"P04","Solo NBFamiliares",0.262,0.278,0.265,0.179,0.274
"P04","No alcanza NBFamiliares",0.235,0.316,0.239,0.371,0.343
"P04","No sabe",0.016,0.009,0.011,0.036,0.062
"P05","Todos los días",0.182,0.213,0.191,0.312,0.16
"P05","Entre 4 y 6 días a la semana",0.291,0.255,0.341,0.16,0.216
"P05","Entre 1 y 3 días a la semana",0.332,0.297,0.319,0.286,0.354
"P05","Raramente",0.164,0.19,0.116,0.187,0.174
"P05","Nunca",0.031,0.045,0.033,0.055,0.096
"P06","Todos los días",0.088,0.084,0.06,0.12,0.052
"P06","Entre 4 y 6 días a la semana",0.249,0.203,0.207,0.146,0.17
"P06","Entre 1 y 3 días a la semana",0.411,0.383,0.46,0.324,0.388
"P06","Raramente",0.206,0.272,0.233,0.295,0.247
"P06","Nunca",0.046,0.058,0.04,0.115,0.143
"P07","Todos los días",0.078,0.083,0.054,0.106,0.088
"P07","Entre 4 y 6 días a la semana",0.217,0.219,0.202,0.181,0.124
"P07","Entre 1 y 3 días a la semana",0.46,0.38,0.5,0.304,0.405
"P07","Raramente",0.203,0.259,0.207,0.34,0.312
"P07","Nunca",0.042,0.059,0.037,0.069,0.071
"P08","Todos los días",0.035,0.048,0.038,0.018,0.076
"P08","Entre 4 y 6 días a la semana",0.064,0.088,0.1,0.066,0.036
"P08","Entre 1 y 3 días a la semana",0.194,0.196,0.191,0.214,0.136
"P08","Raramente",0.487,0.371,0.44,0.341,0.412
"P08","Nunca",0.22,0.297,0.231,0.361,0.34
"P09","Todos los días",0.095,0.095,0.068,0.058,0.099
"P09","Entre 4 y 6 días a la semana",0.144,0.145,0.158,0.041,0.122
"P09","Entre 1 y 3 días a la semana",0.274,0.234,0.3,0.357,0.229
"P09","Raramente",0.383,0.366,0.38,0.363,0.391
"P09","Nunca",0.104,0.16,0.094,0.181,0.159
"P10","Todos los días",0.206,0.15,0.186,0.068,0.191
"P10","Entre 4 y 6 días a la semana",0.189,0.174,0.24,0.095,0.158
"P10","Entre 1 y 3 días a la semana",0.278,0.293,0.276,0.284,0.217
"P10","Raramente",0.269,0.305,0.241,0.32,0.289
"P10","Nunca",0.058,0.078,0.057,0.233,0.145
"P11","Todos los días",0.33,0.222,0.284,0.114,0.262
"P11","Entre 4 y 6 días a la semana",0.192,0.142,0.173,0.189,0.163
"P11","Entre 1 y 3 días a la semana",0.23,0.298,0.275,0.261,0.199
"P11","Raramente",0.195,0.247,0.209,0.351,0.269
"P11","Nunca",0.053,0.091,0.059,0.085,0.107
"P12","Todos los días",0.074,0.045,0.063,0.063,0.12
"P12","Entre 4 y 6 días a la semana",0.091,0.099,0.144,0.129,0.064
"P12","Entre 1 y 3 días a la semana",0.323,0.302,0.337,0.37,0.328
"P12","Raramente",0.398,0.423,0.365,0.369,0.379
"P12","Nunca",0.114,0.131,0.091,0.069,0.109
"P13","Todos los días",0.272,0.301,0.212,0.16,0.295
"P13","Entre 4 y 6 días a la semana",0.254,0.211,0.241,0.241,0.235
"P13","Entre 1 y 3 días a la semana",0.292,0.281,0.303,0.409,0.174
"P13","Raramente",0.149,0.158,0.211,0.133,0.233
"P13","Nunca",0.033,0.049,0.033,0.057,0.063
"P14","Todos los días",0.116,0.112,0.084,0.127,0.211
"P14","Entre 4 y 6 días a la semana",0.194,0.283,0.243,0.245,0.262
"P14","Entre 1 y 3 días a la semana",0.432,0.336,0.43,0.349,0.258
"P14","Raramente",0.214,0.213,0.193,0.17,0.211
"P14","Nunca",0.044,0.056,0.05,0.109,0.058
"P15","Menos de un vaso al día",0.087,0.066,0.055,0.122,0.18
"P15","De 1 a 4 vasos al día",0.335,0.398,0.327,0.245,0.264
"P15","Más de 4 vasos al día",0.527,0.466,0.559,0.584,0.494
"P15","No consume agua",0.051,0.07,0.059,0.049,0.062
"P16","Agua embotellada/mineral",0.193,0.117,0.114,0.107,0.171
"P16","Agua de la canilla filtrada",0.301,0.348,0.297,0.182,0.312
"P16","Agua de la canilla directamente",0.387,0.405,0.469,0.578,0.403
"P16","Agua de bidón",0.109,0.124,0.113,0.123,0.071
"P16","No consume agua",0.01,0.006,0.007,0.01,0.043
"P17","Todos los días",0.077,0.057,0.049,0.076,0.109
"P17","Entre 4 y 6 días a la semana",0.083,0.106,0.078,0.036,0.111
"P17","Entre 1 y 3 días a la semana",0.209,0.176,0.198,0.291,0.226
"P17","Raramente",0.326,0.351,0.374,0.313,0.189
"P17","Nunca",0.305,0.31,0.301,0.284,0.365
"P18","Vino",0.26,0.235,0.248,0.197,0.177
"P18","Cerveza",0.164,0.19,0.145,0.146,0.125
"P18","Destilados (whisky, vodka, ron, etc.)",0.059,0.039,0.086,0.06,0.045
"P18","Espumantes",0.047,0.047,0.068,0.04,0.034
"P18","Otros",0.112,0.101,0.113,0.17,0.213
"P18","No consume bebidas alcohólicas",0.358,0.388,0.34,0.387,0.406
"P19","Todos los días",0.128,0.12,0.09,0.087,0.119
"P19","Entre 4 y 6 días a la semana",0.108,0.12,0.084,0.051,0.081
"P19","Entre 1 y 3 días a la semana",0.187,0.168,0.191,0.171,0.206
"P19","Raramente",0.36,0.374,0.401,0.549,0.354
"P19","Nunca",0.217,0.218,0.234,0.142,0.24
"P20","Todos los días",0.498,0.533,0.51,0.404,0.513
"P20","Entre 4 y 6 días a la semana",0.095,0.107,0.077,0.089,0.094
"P20","Entre 1 y 3 días a la semana",0.108,0.08,0.129,0.171,0.088
"P20","Raramente",0.152,0.15,0.147,0.233,0.21
"P20","Nunca",0.147,0.13,0.137,0.103,0.095
"P21","Todos los días",0.549,0.482,0.511,0.417,0.514
"P21","Entre 4 y 6 días a la semana",0.163,0.172,0.182,0.211,0.223
"P21","Entre 1 y 3 días a la semana",0.134,0.138,0.138,0.131,0.112
"P21","Raramente",0.111,0.141,0.11,0.162,0.104
"P21","Nunca",0.043,0.067,0.059,0.079,0.047
"P22","Asado",0.428,0.393,0.405,0.426,0.438
"P22","Pizza",0.09,0.116,0.075,0.113,0.079
"P22","Milanesa",0.173,0.146,0.174,0.149,0.104
"P22","Pastas",0.099,0.117,0.088,0.043,0.14
"P22","Empanadas",0.048,0.049,0.046,0.009,0.066
"P22","Hamburguesa",0.009,0.016,0.025,0.013,0.002
"P22","Ensaladas (de cualquier tipo)",0.068,0.042,0.076,0.033,0.02
"P22","Guiso (de lentejas, de arroz, locro o similares)",0.055,0.071,0.072,0.118,0.059
"P22","Polenta o similares (de cualquier tipo)",0.01,0.035,0.016,0.059,0.04
"P22","Ninguno de los anteriores",0.02,0.015,0.023,0.037,0.052
"P23","Asado",0.121,0.11,0.077,0.106,0.173
"P23","Pizza",0.072,0.069,0.068,0.111,0.053
"P23","Milanesa",0.23,0.18,0.199,0.159,0.077
"P23","Pastas",0.202,0.213,0.135,0.111,0.188
"P23","Empanadas",0.032,0.05,0.051,0.018,0.039
"P23","Hamburguesa",0.016,0.027,0.034,0,0.01
"P23","Ensaladas (de cualquier tipo)",0.114,0.102,0.13,0.055,0.053
"P23","Guiso (de lentejas, de arroz, locro o similares)",0.106,0.106,0.147,0.153,0.121
"P23","Polenta o similares (de cualquier tipo)",0.04,0.075,0.082,0.197,0.091
"P23","Ninguno de los anteriores",0.067,0.068,0.077,0.09,0.195
"P24","Helado",0.276,0.255,0.219,0.123,0.242
"P24","Tortas, tartas dulces y masas",0.147,0.148,0.142,0.268,0.2
"P24","Ensalada de frutas",0.169,0.176,0.222,0.208,0.102
"P24","Flan, budín de pan y similares",0.136,0.128,0.118,0.062,0.076
"P24","Dulce de batata, membrillo o similares",0.066,0.097,0.077,0.061,0.086
"P24","Facturas de todo tipo",0.035,0.042,0.035,0.053,0.025
"P24","Postres lácteos caseros o envasados de cualquier tipo",0.034,0.021,0.027,0.021,0.007
"P24","Gelatina",0.034,0.029,0.042,0.056,0.072
"P24","Panqueques, wafles y similares",0.021,0.018,0.012,0.054,0.039
"P24","Ninguno de los anteriores",0.082,0.086,0.106,0.094,0.151
"P25","Helado",0.126,0.094,0.1,0.112,0.115
"P25","Tortas, tartas dulces y masas",0.164,0.179,0.096,0.044,0.06
"P25","Ensalada de frutas",0.088,0.104,0.138,0.147,0.102
"P25","Flan, budín de pan y similares",0.07,0.046,0.058,0.043,0.036
"P25","Dulce de batata, membrillo o similares",0.093,0.118,0.127,0.108,0.097
"P25","Facturas de todo tipo",0.092,0.067,0.104,0.083,0.145
"P25","Postres lácteos caseros o envasados de cualquier tipo",0.033,0.022,0.037,0,0.004
"P25","Gelatina",0.041,0.03,0.058,0.08,0.061
"P25","Panqueques, wafles y similares",0.012,0.01,0.017,0.028,0.007
"P25","Ninguno de los anteriores",0.281,0.33,0.265,0.355,0.373
"P26","Vegetariano",0.051,0.026,0.044,0.038,0.046
"P26","Vegano",0.039,0.058,0.037,0.024,0.024
"P26","Dieta baja en carnes rojas",0.137,0.143,0.168,0.165,0.163
"P26","Dieta baja en carbohidratos",0.1,0.081,0.074,0.092,0.047
"P26","Dieta baja en azúcares",0.128,0.128,0.139,0.146,0.087
"P26","Kosher o Alal",0.025,0.021,0.02,0.033,0.006
"P26","Ninguna restricción alimentaria",0.52,0.543,0.518,0.502,0.627
"P27","Si",0.605,0.5,0.503,0.446,0.442
"P27","Parcialmente",0.192,0.156,0.182,0.14,0.172
"P27","No",0.203,0.344,0.315,0.414,0.386
"P28","Si",0.763,0.716,0.662,0.649,0.64
"P28","Si, pero solo en algunos de ellos",0.193,0.252,0.288,0.325,0.341
"P28","No",0.044,0.032,0.05,0.026,0.019
"P29","Si",0.633,0.606,0.682,0.582,0.602
"P29","No",0.367,0.394,0.318,0.418,0.398
"P30","Muy de acuerdo",0.555,0.549,0.615,0.544,0.563
"P30","Parcialmente de acuerdo",0.32,0.304,0.285,0.297,0.375
"P30","No",0.125,0.147,0.1,0.159,0.062
"P31","Bajo peso",0.099,0.109,0.069,0.056,0.08
"P31","Sobrepeso",0.289,0.251,0.271,0.207,0.182
"P31","Obesidad",0.092,0.126,0.121,0.161,0.169
"P31","Normal",0.468,0.431,0.468,0.458,0.344
"P31","No sabe",0.052,0.083,0.071,0.118,0.225
"P32","Diabetes",0.11,0.108,0.076,0.055,0.066
"P32","Hipertensión",0.193,0.172,0.186,0.135,0.077
"P32","Enfermedades cardiovasculares",0.055,0.029,0.07,0.09,0.078
"P32","Celiaquía",0.082,0.07,0.096,0.11,0.092
"P32","Ninguna",0.509,0.514,0.507,0.457,0.547
"P32","No sabe",0.051,0.107,0.065,0.153,0.14
"P33","Todos los días",0.035,0.032,0.021,0.026,0.081
"P33","Entre 4 y 6 días a la semana",0.042,0.063,0.07,0.037,0.019
"P33","Entre 1 y 3 días a la semana",0.12,0.098,0.128,0.098,0.035
"P33","Raramente",0.325,0.317,0.301,0.224,0.342
"P33","Nunca",0.478,0.49,0.48,0.615,0.523
"P34","Todos los días",0.02,0.011,0.011,0.012,0.031
"P34","Entre 4 y 6 días a la semana",0.02,0.035,0.024,0.021,0.006
"P34","Entre 1 y 3 días a la semana",0.122,0.11,0.131,0.14,0.064
"P34","Raramente",0.349,0.34,0.337,0.248,0.368
"P34","Nunca",0.489,0.504,0.497,0.579,0.531
"P35","Todos los días",0.639,0.607,0.659,0.587,0.601
"P35","Entre 4 y 6 días a la semana",0.172,0.146,0.1,0.099,0.117
"P35","Entre 1 y 3 días a la semana",0.065,0.06,0.092,0.106,0.075
"P35","Raramente",0.057,0.074,0.071,0.123,0.087
"P35","Nunca",0.067,0.113,0.078,0.085,0.12
"P36","Menos de 1 comida al día",0.182,0.169,0.196,0.204,0.273
"P36","1 comida",0.281,0.379,0.299,0.308,0.281
"P36","2 comidas",0.276,0.241,0.272,0.315,0.167
"P36","3 comidas",0.12,0.121,0.124,0.129,0.183
"P36","4 comidas",0.128,0.083,0.087,0.029,0.089
"P36","Más de 4 comidas",0.013,0.007,0.022,0.015,0.007
"P37","Precio",0.295,0.329,0.237,0.414,0.343
"P37","Calidad",0.213,0.203,0.134,0.117,0.14
"P37","Cantidad de sellos presentes en el producto",0.05,0.058,0.097,0.078,0.075
"P37","Precio y calidad",0.311,0.284,0.306,0.233,0.192
"P37","Precio y cantidad de sellos presentes en el producto",0.04,0.031,0.065,0.029,0.035
"P37","Calidad y cantidad de sellos presentes en el producto",0.01,0.01,0.013,0.034,0.028
"P37","Precio, calidad y cantidad de sellos presentes en el producto",0.056,0.036,0.093,0.052,0.075
"P37","Compra sin ningún tipo de consideración",0.025,0.049,0.055,0.043,0.112
"P38","Menos de 1 vez a la semana",0.287,0.144,0.113,0.183,0.124
"P38","1 vez a la semana",0.272,0.368,0.214,0.169,0.201
"P38","Entre 1 a 4 veces a la semana",0.248,0.201,0.471,0.079,0.128
"P38","Más de 4 veces a la semana",0.135,0.219,0.154,0.477,0.131
"P38","No sabe",0.058,0.068,0.048,0.092,0.416
