"var","categoria","Helado","Tortas, tartas dulces y masas","Ensalada de frutas","Flan, budín de pan y similares","Dulce de batata, membrillo o similares","Facturas de todo tipo","Postres lácteos caseros o envasados de cualquier tipo","Gelatina","Panqueques, wafles y similares","Ninguno de los anteriores"
"P04","Gran excedente habitual",0.007,0.01,0.015,0.004,0.007,0,0.006,0.029,0.034,0.005
"P04","Gran excedente excepcional",0.004,0.01,0.003,0.002,0.016,0.005,0.027,0,0.001,0
"P04","Pequeño excedente habitual",0.06,0.034,0.068,0.055,0.03,0.082,0.055,0.015,0.08,0.053
"P04","Pequeño excedente excepcional",0.085,0.065,0.048,0.06,0.033,0.049,0.053,0.009,0.037,0.051
"P04","Alcanza gastos familia",0.175,0.111,0.156,0.139,0.112,0.068,0.171,0.07,0.1,0.152
"P04","No alcanza gastos familia",0.148,0.176,0.152,0.15,0.178,0.185,0.16,0.242,0.051,0.198
"P04","Solo NBFamiliares",0.248,0.298,0.289,0.239,0.25,0.364,0.318,0.331,0.228,0.219
"P04","No alcanza NBFamiliares",0.256,0.271,0.254,0.34,0.364,0.244,0.21,0.28,0.462,0.284
"P04","No sabe",0.017,0.025,0.015,0.011,0.01,0.003,0,0.024,0.007,0.038
"P05","Todos los días",0.208,0.192,0.202,0.173,0.202,0.112,0.261,0.153,0.268,0.181
"P05","Entre 4 y 6 días a la semana",0.284,0.274,0.304,0.301,0.245,0.251,0.37,0.303,0.261,0.185
"P05","Entre 1 y 3 días a la semana",0.315,0.334,0.322,0.306,0.336,0.349,0.193,0.288,0.199,0.352
"P05","Raramente",0.167,0.164,0.14,0.175,0.159,0.198,0.151,0.231,0.238,0.183
"P05","Nunca",0.026,0.036,0.032,0.045,0.058,0.09,0.025,0.025,0.034,0.099
"P06","Todos los días",0.096,0.046,0.106,0.063,0.073,0.091,0.063,0.009,0.037,0.062
"P06","Entre 4 y 6 días a la semana",0.258,0.238,0.218,0.196,0.178,0.218,0.165,0.174,0.183,0.194
"P06","Entre 1 y 3 días a la semana",0.395,0.445,0.419,0.418,0.384,0.354,0.475,0.4,0.289,0.365
"P06","Raramente",0.19,0.22,0.208,0.266,0.276,0.3,0.228,0.298,0.384,0.277
"P06","Nunca",0.061,0.051,0.049,0.057,0.089,0.037,0.069,0.119,0.107,0.102
"P07","Todos los días",0.097,0.049,0.102,0.078,0.06,0.072,0.059,0.017,0.131,0.057
"P07","Entre 4 y 6 días a la semana",0.222,0.219,0.249,0.179,0.181,0.128,0.155,0.15,0.17,0.178
"P07","Entre 1 y 3 días a la semana",0.478,0.449,0.422,0.46,0.423,0.442,0.428,0.38,0.311,0.394
"P07","Raramente",0.163,0.229,0.19,0.255,0.268,0.326,0.287,0.358,0.193,0.274
"P07","Nunca",0.04,0.054,0.037,0.028,0.068,0.032,0.071,0.095,0.195,0.097
"P08","Todos los días",0.07,0.034,0.03,0.04,0.018,0.044,0.005,0.007,0.04,0.027
"P08","Entre 4 y 6 días a la semana",0.091,0.084,0.076,0.077,0.104,0.065,0.062,0.042,0.108,0.066
"P08","Entre 1 y 3 días a la semana",0.204,0.292,0.207,0.165,0.133,0.225,0.141,0.074,0.178,0.138
"P08","Raramente",0.439,0.377,0.44,0.461,0.403,0.397,0.544,0.508,0.464,0.39
"P08","Nunca",0.196,0.213,0.247,0.257,0.342,0.269,0.248,0.369,0.21,0.379
"P09","Todos los días",0.132,0.118,0.06,0.057,0.083,0.085,0.039,0.016,0.087,0.058
"P09","Entre 4 y 6 días a la semana",0.181,0.168,0.143,0.136,0.117,0.2,0.123,0.035,0.174,0.062
