"var","categoria","Diabetes","Hipertensión","Enfermedades cardiovasculares","Celiaquía","Ninguna","No sabe"
"P04","Gran excedente habitual",0.021,0.005,0.007,0.007,0.01,0.003
"P04","Gran excedente excepcional",0,0.003,0.002,0.005,0.005,0.014
"P04","Pequeño excedente habitual",0.04,0.044,0.022,0.086,0.061,0.027
"P04","Pequeño excedente excepcional",0.052,0.06,0.03,0.086,0.074,0.035
"P04","Alcanza gastos familia",0.154,0.129,0.153,0.154,0.171,0.065
"P04","No alcanza gastos familia",0.18,0.182,0.194,0.132,0.155,0.189
"P04","Solo NBFamiliares",0.237,0.305,0.254,0.233,0.26,0.232
"P04","No alcanza NBFamiliares",0.286,0.263,0.33,0.277,0.246,0.408
"P04","No sabe",0.03,0.009,0.008,0.02,0.018,0.027
"P05","Todos los días",0.223,0.164,0.155,0.253,0.205,0.163
"P05","Entre 4 y 6 días a la semana",0.227,0.325,0.289,0.344,0.267,0.211
"P05","Entre 1 y 3 días a la semana",0.296,0.332,0.373,0.255,0.343,0.232
"P05","Raramente",0.189,0.151,0.163,0.111,0.15,0.294
"P05","Nunca",0.065,0.028,0.02,0.037,0.035,0.1
"P06","Todos los días",0.113,0.07,0.059,0.131,0.067,0.085
"P06","Entre 4 y 6 días a la semana",0.204,0.238,0.244,0.198,0.229,0.13
"P06","Entre 1 y 3 días a la semana",0.427,0.42,0.379,0.398,0.421,0.363
"P06","Raramente",0.2,0.239,0.272,0.215,0.221,0.321
"P06","Nunca",0.056,0.033,0.046,0.058,0.062,0.101
"P07","Todos los días",0.138,0.079,0.09,0.088,0.065,0.043
"P07","Entre 4 y 6 días a la semana",0.225,0.189,0.156,0.172,0.227,0.176
"P07","Entre 1 y 3 días a la semana",0.349,0.475,0.482,0.481,0.438,0.397
"P07","Raramente",0.221,0.22,0.239,0.193,0.226,0.308
"P07","Nunca",0.067,0.037,0.033,0.066,0.044,0.076
"P08","Todos los días",0.061,0.034,0.034,0.056,0.036,0.011
"P08","Entre 4 y 6 días a la semana",0.077,0.063,0.101,0.064,0.086,0.063
"P08","Entre 1 y 3 días a la semana",0.189,0.208,0.246,0.177,0.18,0.195
"P08","Raramente",0.373,0.421,0.315,0.494,0.469,0.405
"P08","Nunca",0.3,0.274,0.304,0.209,0.229,0.326
"P09","Todos los días",0.124,0.094,0.064,0.065,0.082,0.097
"P09","Entre 4 y 6 días a la semana",0.114,0.135,0.152,0.155,0.152,0.11
"P09","Entre 1 y 3 días a la semana",0.219,0.281,0.312,0.229,0.282,0.221
"P09","Raramente",0.366,0.364,0.358,0.402,0.385,0.437
"P09","Nunca",0.177,0.126,0.114,0.149,0.099,0.135
"P10","Todos los días",0.243,0.19,0.152,0.167,0.182,0.094
"P10","Entre 4 y 6 días a la semana",0.171,0.193,0.178,0.246,0.173,0.169
"P10","Entre 1 y 3 días a la semana",0.261,0.286,0.33,0.306,0.295,0.218
"P10","Raramente",0.245,0.273,0.258,0.228,0.281,0.358
"P10","Nunca",0.08,0.058,0.082,0.053,0.069,0.161
"P11","Todos los días",0.352,0.277,0.222,0.274,0.283,0.165
"P11","Entre 4 y 6 días a la semana",0.092,0.197,0.193,0.187,0.185,0.118
"P11","Entre 1 y 3 días a la semana",0.242,0.252,0.276,0.272,0.265,0.253
"P11","Raramente",0.241,0.224,0.227,0.168,0.211,0.298
"P11","Nunca",0.073,0.05,0.082,0.099,0.056,0.166
"P12","Todos los días",0.105,0.072,0.122,0.078,0.056,0.017
"P12","Entre 4 y 6 días a la semana",0.111,0.096,0.09,0.133,0.115,0.05
"P12","Entre 1 y 3 días a la semana",0.291,0.281,0.402,0.411,0.329,0.296
"P12","Raramente",0.339,0.434,0.31,0.305,0.396,0.463
"P12","Nunca",0.154,0.117,0.076,0.073,0.104,0.174
"P13","Todos los días",0.318,0.27,0.313,0.193,0.25,0.317
"P13","Entre 4 y 6 días a la semana",0.279,0.214,0.18,0.241,0.24,0.228
"P13","Entre 1 y 3 días a la semana",0.202,0.315,0.268,0.331,0.317,0.236
"P13","Raramente",0.152,0.171,0.179,0.186,0.161,0.161
"P13","Nunca",0.049,0.03,0.06,0.049,0.032,0.058
"P14","Todos los días",0.156,0.089,0.186,0.136,0.093,0.203
"P14","Entre 4 y 6 días a la semana",0.238,0.197,0.221,0.274,0.236,0.202
"P14","Entre 1 y 3 días a la semana",0.316,0.416,0.335,0.418,0.417,0.318
"P14","Raramente",0.228,0.248,0.242,0.124,0.202,0.211
"P14","Nunca",0.062,0.05,0.016,0.048,0.052,0.066
"P15","Menos de un vaso al día",0.064,0.059,0.1,0.111,0.086,0.08
"P15","De 1 a 4 vasos al día",0.341,0.372,0.308,0.258,0.339,0.42
"P15","Más de 4 vasos al día",0.514,0.503,0.515,0.583,0.528,0.403
"P15","No consume agua",0.081,0.066,0.077,0.048,0.047,0.097
"P16","Agua embotellada/mineral",0.166,0.171,0.123,0.168,0.148,0.128
"P16","Agua de la canilla filtrada",0.27,0.27,0.271,0.357,0.328,0.23
"P16","Agua de la canilla directamente",0.413,0.418,0.467,0.374,0.415,0.476
"P16","Agua de bidón",0.114,0.138,0.095,0.1,0.102,0.156
"P16","No consume agua",0.037,0.003,0.044,0.001,0.007,0.01
"P17","Todos los días",0.135,0.073,0.074,0.059,0.052,0.048
"P17","Entre 4 y 6 días a la semana",0.067,0.107,0.089,0.113,0.08,0.069
