"var","categoria","Muy de acuerdo","Parcialmente de acuerdo","No"
"P04","Gran excedente habitual",0.014,0.009,0.006
"P04","Gran excedente excepcional",0.007,0.004,0.012
"P04","Pequeño excedente habitual",0.068,0.043,0.074
"P04","Pequeño excedente excepcional",0.073,0.065,0.076
"P04","Alcanza gastos familia",0.195,0.164,0.125
"P04","No alcanza gastos familia",0.143,0.161,0.15
"P04","Solo NBFamiliares",0.28,0.298,0.243
"P04","No alcanza NBFamiliares",0.204,0.246,0.305
"P04","No sabe",0.016,0.01,0.009
"P05","Todos los días",0.212,0.169,0.125
"P05","Entre 4 y 6 días a la semana",0.3,0.32,0.252
"P05","Entre 1 y 3 días a la semana",0.298,0.352,0.372
"P05","Raramente",0.161,0.132,0.198
"P05","Nunca",0.029,0.027,0.053
"P06","Todos los días",0.089,0.046,0.083
"P06","Entre 4 y 6 días a la semana",0.26,0.247,0.142
"P06","Entre 1 y 3 días a la semana",0.416,0.459,0.378
"P06","Raramente",0.183,0.216,0.332
"P06","Nunca",0.052,0.032,0.065
"P07","Todos los días",0.078,0.045,0.077
"P07","Entre 4 y 6 días a la semana",0.217,0.193,0.217
"P07","Entre 1 y 3 días a la semana",0.471,0.529,0.353
"P07","Raramente",0.19,0.197,0.301
"P07","Nunca",0.044,0.036,0.052
"P08","Todos los días",0.043,0.015,0.078
"P08","Entre 4 y 6 días a la semana",0.065,0.074,0.108
"P08","Entre 1 y 3 días a la semana",0.21,0.229,0.148
"P08","Raramente",0.465,0.439,0.386
"P08","Nunca",0.217,0.243,0.28
"P09","Todos los días",0.092,0.066,0.115
"P09","Entre 4 y 6 días a la semana",0.161,0.151,0.113
"P09","Entre 1 y 3 días a la semana",0.297,0.306,0.209
"P09","Raramente",0.334,0.39,0.437
"P09","Nunca",0.116,0.087,0.126
"P10","Todos los días",0.233,0.147,0.168
"P10","Entre 4 y 6 días a la semana",0.2,0.212,0.122
"P10","Entre 1 y 3 días a la semana",0.28,0.35,0.297
"P10","Raramente",0.233,0.229,0.351
"P10","Nunca",0.054,0.062,0.062
"P11","Todos los días",0.347,0.27,0.236
"P11","Entre 4 y 6 días a la semana",0.183,0.195,0.143
"P11","Entre 1 y 3 días a la semana",0.234,0.276,0.311
"P11","Raramente",0.181,0.223,0.224
"P11","Nunca",0.055,0.036,0.086
"P12","Todos los días",0.075,0.065,0.056
"P12","Entre 4 y 6 días a la semana",0.109,0.088,0.102
"P12","Entre 1 y 3 días a la semana",0.339,0.346,0.264
"P12","Raramente",0.382,0.417,0.423
"P12","Nunca",0.095,0.084,0.155
"P13","Todos los días",0.273,0.248,0.314
"P13","Entre 4 y 6 días a la semana",0.267,0.252,0.212
"P13","Entre 1 y 3 días a la semana",0.27,0.319,0.321
"P13","Raramente",0.151,0.152,0.121
"P13","Nunca",0.039,0.029,0.032
"P14","Todos los días",0.116,0.126,0.112
"P14","Entre 4 y 6 días a la semana",0.232,0.247,0.182
"P14","Entre 1 y 3 días a la semana",0.411,0.402,0.447
"P14","Raramente",0.195,0.186,0.203
"P14","Nunca",0.046,0.039,0.056
"P15","Menos de un vaso al día",0.083,0.064,0.108
"P15","De 1 a 4 vasos al día",0.339,0.368,0.315
"P15","Más de 4 vasos al día",0.529,0.496,0.534
"P15","No consume agua",0.049,0.072,0.043
"P16","Agua embotellada/mineral",0.171,0.151,0.149
"P16","Agua de la canilla filtrada",0.313,0.276,0.257
"P16","Agua de la canilla directamente",0.386,0.441,0.487
"P16","Agua de bidón",0.12,0.122,0.102
"P16","No consume agua",0.01,0.01,0.005
"P17","Todos los días",0.073,0.053,0.086
"P17","Entre 4 y 6 días a la semana",0.098,0.09,0.09
"P17","Entre 1 y 3 días a la semana",0.202,0.273,0.215
"P17","Raramente",0.361,0.3,0.283
"P17","Nunca",0.266,0.284,0.326
"P18","Vino",0.266,0.243,0.267
"P18","Cerveza",0.199,0.176,0.161
"P18","Destilados (whisky, vodka, ron, etc.)",0.054,0.081,0.046
"P18","Espumantes",0.048,0.049,0.035
"P18","Otros",0.103,0.116,0.109
"P18","No consume bebidas alcohólicas",0.33,0.335,0.382
"P19","Todos los días",0.119,0.13,0.104
"P19","Entre 4 y 6 días a la semana",0.11,0.109,0.082
"P19","Entre 1 y 3 días a la semana",0.201,0.173,0.162
"P19","Raramente",0.346,0.383,0.379
"P19","Nunca",0.224,0.205,0.273
"P20","Todos los días",0.535,0.472,0.512
"P20","Entre 4 y 6 días a la semana",0.095,0.114,0.063
"P20","Entre 1 y 3 días a la semana",0.103,0.094,0.136
"P20","Raramente",0.141,0.15,0.107
"P20","Nunca",0.126,0.17,0.182
"P21","Todos los días",0.545,0.539,0.463
"P21","Entre 4 y 6 días a la semana",0.172,0.167,0.178
"P21","Entre 1 y 3 días a la semana",0.128,0.144,0.142
"P21","Raramente",0.119,0.11,0.12
"P21","Nunca",0.036,0.04,0.097
"P22","Asado",0.431,0.443,0.418
"P22","Pizza",0.089,0.093,0.123
"P22","Milanesa",0.151,0.163,0.139
"P22","Pastas",0.114,0.095,0.106
"P22","Empanadas",0.038,0.049,0.065
"P22","Hamburguesa",0.017,0.005,0.02
"P22","Ensaladas (de cualquier tipo)",0.065,0.067,0.036
"P22","Guiso (de lentejas, de arroz, locro o similares)",0.054,0.058,0.051
"P22","Polenta o similares (de cualquier tipo)",0.018,0.015,0.026
"P22","Ninguno de los anteriores",0.023,0.012,0.016
"P23","Asado",0.124,0.109,0.1
"P23","Pizza",0.078,0.07,0.104
"P23","Milanesa",0.223,0.219,0.152
"P23","Pastas",0.199,0.188,0.242
"P23","Empanadas",0.037,0.03,0.044
"P23","Hamburguesa",0.019,0.019,0.03
"P23","Ensaladas (de cualquier tipo)",0.111,0.111,0.08
"P23","Guiso (de lentejas, de arroz, locro o similares)",0.091,0.109,0.094
"P23","Polenta o similares (de cualquier tipo)",0.042,0.07,0.102
"P23","Ninguno de los anteriores",0.076,0.075,0.052
"P24","Helado",0.298,0.263,0.234
"P24","Tortas, tartas dulces y masas",0.152,0.159,0.215
"P24","Ensalada de frutas",0.175,0.145,0.127
"P24","Flan, budín de pan y similares",0.119,0.126,0.119
"P24","Dulce de batata, membrillo o similares",0.067,0.079,0.067
"P24","Facturas de todo tipo",0.032,0.034,0.043
"P24","Postres lácteos caseros o envasados de cualquier tipo",0.026,0.027,0.039
"P24","Gelatina",0.043,0.04,0.03
"P24","Panqueques, wafles y similares",0.016,0.029,0.011
"P24","Ninguno de los anteriores",0.072,0.098,0.115
"P25","Helado",0.127,0.136,0.151
"P25","Tortas, tartas dulces y masas",0.177,0.128,0.096
"P25","Ensalada de frutas",0.102,0.08,0.054
"P25","Flan, budín de pan y similares",0.057,0.06,0.05
"P25","Dulce de batata, membrillo o similares",0.09,0.139,0.08
"P25","Facturas de todo tipo",0.104,0.096,0.094
"P25","Postres lácteos caseros o envasados de cualquier tipo",0.027,0.029,0.026
"P25","Gelatina",0.048,0.042,0.039
"P25","Panqueques, wafles y similares",0.013,0.013,0.006
"P25","Ninguno de los anteriores",0.255,0.277,0.404
"P26","Vegetariano",0.072,0.035,0.035
"P26","Vegano",0.049,0.049,0.051
"P26","Dieta baja en carnes rojas",0.112,0.113,0.111
"P26","Dieta baja en carbohidratos",0.091,0.13,0.073
"P26","Dieta baja en azúcares",0.136,0.129,0.09
"P26","Kosher o Alal",0.022,0.025,0.03
