"var","categoria","Todos los días","Entre 4 y 6 días a la semana","Entre 1 y 3 días a la semana","Raramente","Nunca"
"P04","Gran excedente habitual",0.01,0.059,0.012,0.007,0.007
"P04","Gran excedente excepcional",0,0.054,0.004,0.006,0.003
"P04","Pequeño excedente habitual",0.092,0.087,0.122,0.062,0.03
"P04","Pequeño excedente excepcional",0.064,0.089,0.16,0.072,0.033
"P04","Alcanza gastos familia",0.127,0.166,0.224,0.189,0.105
"P04","No alcanza gastos familia",0.157,0.143,0.152,0.2,0.15
"P04","Solo NBFamiliares",0.063,0.131,0.185,0.266,0.285
"P04","No alcanza NBFamiliares",0.414,0.271,0.118,0.186,0.368
"P04","No sabe",0.073,0,0.023,0.012,0.019
"P05","Todos los días",0.19,0.306,0.213,0.22,0.176
"P05","Entre 4 y 6 días a la semana",0.195,0.312,0.308,0.312,0.249
"P05","Entre 1 y 3 días a la semana",0.247,0.241,0.305,0.3,0.342
"P05","Raramente",0.204,0.135,0.132,0.146,0.181
"P05","Nunca",0.164,0.006,0.042,0.022,0.052
"P06","Todos los días",0.342,0.223,0.1,0.07,0.065
"P06","Entre 4 y 6 días a la semana",0.082,0.402,0.317,0.254,0.171
"P06","Entre 1 y 3 días a la semana",0.228,0.35,0.488,0.437,0.384
"P06","Raramente",0.265,0.021,0.07,0.211,0.295
"P06","Nunca",0.083,0.004,0.025,0.028,0.085
"P07","Todos los días",0.423,0.103,0.081,0.065,0.07
"P07","Entre 4 y 6 días a la semana",0.146,0.324,0.322,0.232,0.163
"P07","Entre 1 y 3 días a la semana",0.161,0.4,0.485,0.485,0.41
"P07","Raramente",0.19,0.111,0.086,0.198,0.287
"P07","Nunca",0.08,0.062,0.026,0.02,0.07
"P08","Todos los días",0.465,0.132,0.064,0.028,0.02
"P08","Entre 4 y 6 días a la semana",0.082,0.274,0.109,0.079,0.062
"P08","Entre 1 y 3 días a la semana",0.152,0.218,0.433,0.22,0.115
"P08","Raramente",0.229,0.241,0.344,0.548,0.398
"P08","Nunca",0.072,0.135,0.05,0.125,0.405
"P09","Todos los días",0.5,0.315,0.136,0.088,0.051
"P09","Entre 4 y 6 días a la semana",0.141,0.238,0.207,0.172,0.104
"P09","Entre 1 y 3 días a la semana",0.074,0.115,0.374,0.3,0.231
"P09","Raramente",0.169,0.234,0.238,0.393,0.422
"P09","Nunca",0.116,0.098,0.045,0.047,0.192
"P10","Todos los días",0.441,0.362,0.196,0.206,0.141
"P10","Entre 4 y 6 días a la semana",0.134,0.198,0.286,0.225,0.134
"P10","Entre 1 y 3 días a la semana",0.145,0.158,0.309,0.319,0.259
"P10","Raramente",0.164,0.243,0.173,0.21,0.353
"P10","Nunca",0.116,0.039,0.036,0.04,0.113
"P11","Todos los días",0.443,0.485,0.383,0.314,0.214
"P11","Entre 4 y 6 días a la semana",0.156,0.172,0.234,0.206,0.137
"P11","Entre 1 y 3 días a la semana",0.155,0.118,0.228,0.267,0.264
"P11","Raramente",0.149,0.202,0.105,0.189,0.273
"P11","Nunca",0.097,0.023,0.05,0.024,0.112
"P12","Todos los días",0.36,0.131,0.079,0.065,0.05
"P12","Entre 4 y 6 días a la semana",0.163,0.136,0.109,0.103,0.103
"P12","Entre 1 y 3 días a la semana",0.153,0.276,0.376,0.329,0.315
"P12","Raramente",0.208,0.366,0.363,0.436,0.378
"P12","Nunca",0.116,0.091,0.073,0.067,0.154
"P13","Todos los días",0.575,0.392,0.261,0.245,0.263
"P13","Entre 4 y 6 días a la semana",0.04,0.284,0.287,0.264,0.208
"P13","Entre 1 y 3 días a la semana",0.178,0.256,0.321,0.312,0.282
"P13","Raramente",0.148,0.067,0.125,0.155,0.19
"P13","Nunca",0.059,0.001,0.006,0.024,0.057
"P14","Todos los días",0.342,0.251,0.108,0.092,0.118
"P14","Entre 4 y 6 días a la semana",0.16,0.184,0.253,0.251,0.214
"P14","Entre 1 y 3 días a la semana",0.269,0.356,0.483,0.419,0.355
"P14","Raramente",0.146,0.187,0.138,0.209,0.235
"P14","Nunca",0.083,0.022,0.018,0.029,0.078
"P15","Menos de un vaso al día",0.381,0.07,0.072,0.066,0.082
"P15","De 1 a 4 vasos al día",0.332,0.348,0.365,0.348,0.342
"P15","Más de 4 vasos al día",0.253,0.531,0.544,0.531,0.506
"P15","No consume agua",0.034,0.051,0.019,0.055,0.07
"P16","Agua embotellada/mineral",0.387,0.298,0.187,0.159,0.127
"P16","Agua de la canilla filtrada",0.128,0.277,0.32,0.322,0.301
"P16","Agua de la canilla directamente",0.306,0.31,0.317,0.38,0.47
"P16","Agua de bidón",0.054,0.115,0.169,0.13,0.093
"P16","No consume agua",0.125,0,0.007,0.009,0.009
"P17","Todos los días",0.424,0.196,0.08,0.067,0.042
"P17","Entre 4 y 6 días a la semana",0.123,0.169,0.14,0.085,0.069
"P17","Entre 1 y 3 días a la semana",0.117,0.23,0.303,0.238,0.157
"P17","Raramente",0.193,0.246,0.343,0.37,0.312
"P17","Nunca",0.143,0.159,0.134,0.24,0.42
"P18","Vino",0.415,0.321,0.307,0.26,0.203
"P18","Cerveza",0.117,0.178,0.241,0.201,0.123
"P18","Destilados (whisky, vodka, ron, etc.)",0.216,0.044,0.133,0.051,0.039
"P18","Espumantes",0.031,0.034,0.072,0.062,0.039
"P18","Otros",0.079,0.152,0.096,0.111,0.121
"P18","No consume bebidas alcohólicas",0.142,0.271,0.151,0.315,0.475
"P19","Todos los días",0.342,0.364,0.173,0.113,0.086
"P19","Entre 4 y 6 días a la semana",0.153,0.188,0.076,0.135,0.078
"P19","Entre 1 y 3 días a la semana",0.221,0.116,0.321,0.238,0.113
"P19","Raramente",0.175,0.199,0.283,0.382,0.421
"P19","Nunca",0.109,0.133,0.147,0.132,0.302
