"var","categoria","Menos de 1 vez a la semana","1 vez a la semana","Entre 1 a 4 veces a la semana","Más de 4 veces a la semana","No sabe"
"P04","Gran excedente habitual",0.01,0.003,0.013,0.011,0.012
"P04","Gran excedente excepcional",0.002,0.003,0.008,0.002,0.018
"P04","Pequeño excedente habitual",0.044,0.056,0.07,0.06,0.023
"P04","Pequeño excedente excepcional",0.042,0.057,0.081,0.09,0.03
"P04","Alcanza gastos familia",0.091,0.139,0.231,0.164,0.06
"P04","No alcanza gastos familia",0.167,0.188,0.165,0.13,0.164
"P04","Solo NBFamiliares",0.234,0.281,0.243,0.275,0.309
"P04","No alcanza NBFamiliares",0.377,0.262,0.181,0.254,0.353
"P04","No sabe",0.033,0.011,0.008,0.014,0.031
"P05","Todos los días",0.184,0.18,0.216,0.206,0.185
"P05","Entre 4 y 6 días a la semana",0.228,0.277,0.365,0.278,0.157
"P05","Entre 1 y 3 días a la semana",0.302,0.346,0.314,0.302,0.342
"P05","Raramente",0.255,0.161,0.08,0.163,0.216
"P05","Nunca",0.031,0.036,0.025,0.051,0.1
"P06","Todos los días",0.097,0.07,0.065,0.104,0.076
"P06","Entre 4 y 6 días a la semana",0.175,0.228,0.261,0.247,0.141
"P06","Entre 1 y 3 días a la semana",0.33,0.421,0.482,0.383,0.386
"P06","Raramente",0.305,0.233,0.165,0.214,0.306
"P06","Nunca",0.093,0.048,0.027,0.052,0.091
"P07","Todos los días",0.067,0.091,0.066,0.089,0.064
"P07","Entre 4 y 6 días a la semana",0.199,0.201,0.235,0.217,0.145
"P07","Entre 1 y 3 días a la semana",0.349,0.443,0.53,0.448,0.322
"P07","Raramente",0.327,0.204,0.145,0.218,0.373
"P07","Nunca",0.058,0.061,0.024,0.028,0.096
"P08","Todos los días",0.045,0.043,0.033,0.044,0.033
"P08","Entre 4 y 6 días a la semana",0.064,0.067,0.084,0.067,0.112
"P08","Entre 1 y 3 días a la semana",0.163,0.19,0.225,0.213,0.132
"P08","Raramente",0.447,0.4,0.463,0.471,0.4
"P08","Nunca",0.281,0.3,0.195,0.205,0.323
"P09","Todos los días",0.089,0.08,0.088,0.105,0.08
"P09","Entre 4 y 6 días a la semana",0.09,0.14,0.184,0.14,0.145
"P09","Entre 1 y 3 días a la semana",0.202,0.288,0.346,0.25,0.176
"P09","Raramente",0.451,0.353,0.324,0.388,0.422
"P09","Nunca",0.168,0.139,0.058,0.117,0.177
"P10","Todos los días",0.125,0.169,0.234,0.196,0.171
"P10","Entre 4 y 6 días a la semana",0.164,0.193,0.237,0.175,0.094
"P10","Entre 1 y 3 días a la semana",0.218,0.315,0.311,0.284,0.205
"P10","Raramente",0.364,0.237,0.189,0.308,0.393
"P10","Nunca",0.129,0.086,0.029,0.037,0.137
"P11","Todos los días",0.22,0.277,0.378,0.252,0.197
"P11","Entre 4 y 6 días a la semana",0.121,0.175,0.208,0.197,0.15
"P11","Entre 1 y 3 días a la semana",0.26,0.272,0.229,0.301,0.194
"P11","Raramente",0.291,0.211,0.149,0.209,0.321
"P11","Nunca",0.108,0.065,0.036,0.041,0.138
"P12","Todos los días",0.095,0.064,0.055,0.069,0.036
"P12","Entre 4 y 6 días a la semana",0.073,0.093,0.12,0.126,0.099
"P12","Entre 1 y 3 días a la semana",0.235,0.35,0.375,0.327,0.264
"P12","Raramente",0.415,0.374,0.384,0.4,0.48
"P12","Nunca",0.182,0.119,0.066,0.078,0.121
"P13","Todos los días",0.255,0.265,0.264,0.279,0.286
"P13","Entre 4 y 6 días a la semana",0.216,0.234,0.278,0.224,0.205
"P13","Entre 1 y 3 días a la semana",0.273,0.306,0.295,0.32,0.196
