"var","categoria","Asado","Pizza","Milanesa","Pastas","Empanadas","Hamburguesa","Ensaladas (de cualquier tipo)","Guiso (de lentejas, de arroz, locro o similares)","Polenta o similares (de cualquier tipo)","Ninguno de los anteriores"
"P04","Gran excedente habitual",0.029,0.002,0.01,0.004,0.011,0.029,0.021,0.004,0,0.01
"P04","Gran excedente excepcional",0.029,0.004,0.003,0.001,0,0,0.007,0,0,0.002
"P04","Pequeño excedente habitual",0.077,0.027,0.07,0.041,0.068,0.101,0.083,0.022,0.001,0.05
"P04","Pequeño excedente excepcional",0.072,0.039,0.085,0.056,0.071,0.079,0.082,0.027,0.01,0.056
"P04","Alcanza gastos familia",0.152,0.163,0.212,0.12,0.124,0.093,0.18,0.074,0.046,0.125
"P04","No alcanza gastos familia",0.113,0.131,0.169,0.128,0.16,0.161,0.146,0.219,0.198,0.23
"P04","Solo NBFamiliares",0.232,0.331,0.273,0.297,0.258,0.351,0.257,0.293,0.192,0.209
"P04","No alcanza NBFamiliares",0.27,0.295,0.167,0.347,0.286,0.174,0.218,0.341,0.513,0.268
"P04","No sabe",0.026,0.008,0.011,0.006,0.022,0.012,0.006,0.02,0.04,0.05
"P05","Todos los días",0.232,0.138,0.193,0.172,0.219,0.101,0.343,0.167,0.097,0.181
"P05","Entre 4 y 6 días a la semana",0.308,0.332,0.299,0.275,0.299,0.278,0.324,0.263,0.124,0.193
"P05","Entre 1 y 3 días a la semana",0.296,0.338,0.331,0.344,0.344,0.294,0.191,0.36,0.328,0.325
"P05","Raramente",0.116,0.156,0.164,0.169,0.115,0.117,0.127,0.186,0.345,0.216
"P05","Nunca",0.048,0.036,0.013,0.04,0.023,0.21,0.015,0.024,0.106,0.085
"P06","Todos los días",0.185,0.067,0.087,0.056,0.074,0.108,0.055,0.052,0.005,0.054
"P06","Entre 4 y 6 días a la semana",0.261,0.233,0.318,0.171,0.203,0.206,0.212,0.202,0.089,0.156
"P06","Entre 1 y 3 días a la semana",0.389,0.35,0.463,0.389,0.506,0.342,0.434,0.415,0.287,0.377
"P06","Raramente",0.124,0.28,0.12,0.298,0.168,0.312,0.226,0.28,0.482,0.275
"P06","Nunca",0.041,0.07,0.012,0.086,0.049,0.032,0.073,0.051,0.137,0.138
"P07","Todos los días",0.191,0.088,0.072,0.045,0.05,0.132,0.062,0.073,0.036,0.068
"P07","Entre 4 y 6 días a la semana",0.231,0.248,0.264,0.197,0.204,0.129,0.204,0.197,0.092,0.14
"P07","Entre 1 y 3 días a la semana",0.385,0.458,0.499,0.444,0.465,0.329,0.47,0.39,0.343,0.442
"P07","Raramente",0.146,0.161,0.153,0.267,0.214,0.267,0.21,0.282,0.421,0.246
"P07","Nunca",0.047,0.045,0.012,0.047,0.067,0.143,0.054,0.058,0.108,0.104
"P08","Todos los días",0.127,0.063,0.031,0.016,0.012,0.143,0.026,0.034,0.012,0.012
"P08","Entre 4 y 6 días a la semana",0.109,0.134,0.084,0.078,0.073,0.1,0.049,0.091,0.063,0.07
"P08","Entre 1 y 3 días a la semana",0.22,0.203,0.305,0.183,0.324,0.282,0.107,0.108,0.102,0.118
"P08","Raramente",0.364,0.406,0.434,0.495,0.344,0.245,0.482,0.455,0.311,0.467
"P08","Nunca",0.18,0.194,0.146,0.228,0.247,0.23,0.336,0.312,0.512,0.333
"P09","Todos los días",0.18,0.134,0.117,0.079,0.087,0.104,0.041,0.035,0.037,0.053
"P09","Entre 4 y 6 días a la semana",0.156,0.266,0.168,0.16,0.144,0.242,0.092,0.103,0.076,0.113
"P09","Entre 1 y 3 días a la semana",0.226,0.265,0.333,0.29,0.367,0.165,0.195,0.231,0.196,0.226
"P09","Raramente",0.333,0.262,0.313,0.376,0.328,0.34,0.505,0.467,0.444,0.388
"P09","Nunca",0.105,0.073,0.069,0.095,0.074,0.149,0.167,0.164,0.247,0.22
"P10","Todos los días",0.277,0.091,0.212,0.144,0.193,0.13,0.298,0.078,0.037,0.146
"P10","Entre 4 y 6 días a la semana",0.227,0.289,0.21,0.128,0.17,0.143,0.23,0.137,0.058,0.189
"P10","Entre 1 y 3 días a la semana",0.218,0.226,0.347,0.333,0.321,0.227,0.2,0.346,0.207,0.245
"P10","Raramente",0.22,0.318,0.196,0.309,0.258,0.323,0.211,0.338,0.478,0.285
"P10","Nunca",0.058,0.076,0.035,0.086,0.058,0.177,0.061,0.101,0.22,0.135
"P11","Todos los días",0.358,0.251,0.337,0.235,0.302,0.183,0.354,0.167,0.045,0.233
"P11","Entre 4 y 6 días a la semana",0.191,0.218,0.21,0.144,0.157,0.141,0.173,0.162,0.086,0.181
"P11","Entre 1 y 3 días a la semana",0.185,0.226,0.269,0.289,0.282,0.273,0.243,0.265,0.275,0.226
"P11","Raramente",0.183,0.239,0.15,0.269,0.168,0.29,0.172,0.28,0.425,0.245
"P11","Nunca",0.083,0.066,0.034,0.063,0.091,0.113,0.058,0.126,0.169,0.115
"P12","Todos los días",0.144,0.043,0.072,0.054,0.073,0.065,0.066,0.029,0.049,0.041
"P12","Entre 4 y 6 días a la semana",0.111,0.164,0.075,0.097,0.077,0.065,0.121,0.153,0.087,0.073
"P12","Entre 1 y 3 días a la semana",0.301,0.262,0.327,0.33,0.375,0.191,0.349,0.375,0.262,0.198
"P12","Raramente",0.358,0.372,0.43,0.401,0.415,0.408,0.358,0.328,0.446,0.494
"P12","Nunca",0.086,0.159,0.096,0.118,0.06,0.271,0.106,0.115,0.156,0.194
"P13","Todos los días",0.313,0.286,0.239,0.35,0.309,0.289,0.153,0.249,0.128,0.219
"P13","Entre 4 y 6 días a la semana",0.236,0.316,0.257,0.264,0.207,0.346,0.196,0.246,0.15,0.177
"P13","Entre 1 y 3 días a la semana",0.244,0.27,0.333,0.246,0.255,0.213,0.357,0.274,0.374,0.267
"P13","Raramente",0.168,0.103,0.145,0.12,0.216,0.124,0.234,0.178,0.269,0.264
"P13","Nunca",0.039,0.025,0.026,0.02,0.013,0.028,0.06,0.053,0.079,0.073
"P14","Todos los días",0.171,0.128,0.106,0.135,0.147,0.094,0.095,0.134,0.104,0.069
"P14","Entre 4 y 6 días a la semana",0.231,0.237,0.199,0.246,0.23,0.24,0.185,0.302,0.23,0.177
"P14","Entre 1 y 3 días a la semana",0.364,0.387,0.441,0.391,0.334,0.316,0.414,0.354,0.339,0.265
"P14","Raramente",0.173,0.18,0.22,0.181,0.243,0.215,0.251,0.169,0.238,0.361
"P14","Nunca",0.061,0.068,0.034,0.047,0.046,0.135,0.055,0.041,0.089,0.128
"P15","Menos de un vaso al día",0.168,0.116,0.056,0.08,0.06,0.1,0.051,0.091,0.102,0.093
"P15","De 1 a 4 vasos al día",0.344,0.374,0.346,0.371,0.305,0.423,0.292,0.347,0.34,0.248
"P15","Más de 4 vasos al día",0.425,0.443,0.531,0.487,0.625,0.405,0.594,0.505,0.478,0.532
"P15","No consume agua",0.063,0.067,0.067,0.062,0.01,0.072,0.063,0.057,0.08,0.127
"P16","Agua embotellada/mineral",0.255,0.166,0.18,0.13,0.155,0.096,0.142,0.135,0.049,0.139
"P16","Agua de la canilla filtrada",0.306,0.392,0.34,0.304,0.286,0.331,0.354,0.253,0.17,0.254
"P16","Agua de la canilla directamente",0.326,0.301,0.353,0.461,0.423,0.413,0.366,0.486,0.669,0.464
"P16","Agua de bidón",0.106,0.097,0.124,0.096,0.127,0.15,0.134,0.118,0.091,0.112
"P16","No consume agua",0.007,0.044,0.003,0.009,0.009,0.01,0.004,0.008,0.021,0.031
"P17","Todos los días",0.136,0.056,0.082,0.038,0.069,0.018,0.068,0.052,0.042,0.039
"P17","Entre 4 y 6 días a la semana",0.156,0.13,0.104,0.078,0.087,0.115,0.077,0.059,0.043,0.075
"P17","Entre 1 y 3 días a la semana",0.273,0.209,0.238,0.22,0.256,0.147,0.165,0.138,0.158,0.171
"P17","Raramente",0.266,0.402,0.338,0.336,0.399,0.359,0.33,0.303,0.28,0.27
"P17","Nunca",0.169,0.203,0.238,0.328,0.189,0.361,0.36,0.448,0.477,0.445
"P18","Vino",0.322,0.241,0.301,0.231,0.227,0.131,0.259,0.154,0.092,0.194
"P18","Cerveza",0.201,0.23,0.179,0.176,0.209,0.211,0.104,0.137,0.106,0.111
"P18","Destilados (whisky, vodka, ron, etc.)",0.106,0.082,0.057,0.051,0.076,0.066,0.061,0.037,0.04,0.039
"P18","Espumantes",0.074,0.057,0.042,0.047,0.085,0.077,0.044,0.062,0.052,0.036
"P18","Otros",0.081,0.109,0.115,0.127,0.146,0.115,0.099,0.125,0.157,0.115
"P18","No consume bebidas alcohólicas",0.216,0.281,0.306,0.368,0.257,0.4,0.433,0.485,0.553,0.505
"P19","Todos los días",0.282,0.125,0.136,0.101,0.126,0.078,0.058,0.082,0.037,0.062
"P19","Entre 4 y 6 días a la semana",0.126,0.179,0.15,0.091,0.07,0.179,0.05,0.099,0.056,0.082
"P19","Entre 1 y 3 días a la semana",0.171,0.21,0.227,0.185,0.273,0.166,0.139,0.141,0.102,0.131
"P19","Raramente",0.265,0.374,0.345,0.39,0.336,0.404,0.386,0.455,0.47,0.423
"P19","Nunca",0.156,0.112,0.142,0.233,0.195,0.173,0.367,0.223,0.335,0.302
"P20","Todos los días",0.583,0.566,0.507,0.553,0.418,0.496,0.512,0.449,0.485,0.42
"P20","Entre 4 y 6 días a la semana",0.084,0.14,0.116,0.082,0.068,0.146,0.086,0.092,0.138,0.062
"P20","Entre 1 y 3 días a la semana",0.084,0.069,0.127,0.093,0.141,0.042,0.088,0.109,0.069,0.099
"P20","Raramente",0.12,0.133,0.145,0.155,0.246,0.141,0.15,0.194,0.182,0.221
"P20","Nunca",0.129,0.092,0.105,0.117,0.127,0.175,0.164,0.156,0.126,0.198
"P21","Todos los días",0.623,0.523,0.491,0.494,0.461,0.491,0.575,0.454,0.364,0.507
"P21","Entre 4 y 6 días a la semana",0.15,0.184,0.201,0.156,0.222,0.085,0.141,0.176,0.186,0.137
"P21","Entre 1 y 3 días a la semana",0.065,0.125,0.164,0.155,0.168,0.129,0.129,0.134,0.162,0.135
"P21","Raramente",0.088,0.12,0.113,0.147,0.105,0.152,0.113,0.148,0.211,0.124
"P21","Nunca",0.074,0.048,0.031,0.048,0.044,0.143,0.042,0.088,0.077,0.097
"P22","Asado",0.855,0.332,0.413,0.33,0.256,0.408,0.358,0.31,0.361,0.381
"P22","Pizza",0.045,0.292,0.075,0.079,0.146,0.053,0.051,0.074,0.103,0.061
"P22","Milanesa",0.033,0.132,0.346,0.15,0.11,0.111,0.094,0.132,0.103,0.142
"P22","Pastas",0.018,0.082,0.067,0.282,0.082,0.019,0.083,0.105,0.075,0.109
"P22","Empanadas",0.018,0.101,0.027,0.036,0.279,0.081,0.029,0.022,0.031,0.044
"P22","Hamburguesa",0,0.005,0.004,0.004,0.009,0.21,0.008,0.022,0.011,0.016
"P22","Ensaladas (de cualquier tipo)",0.01,0.012,0.028,0.03,0.065,0.04,0.279,0.042,0.028,0.036
"P22","Guiso (de lentejas, de arroz, locro o similares)",0.017,0.019,0.03,0.052,0.029,0.054,0.042,0.261,0.106,0.059
"P22","Polenta o similares (de cualquier tipo)",0,0.007,0.007,0.015,0.002,0.011,0.029,0.026,0.159,0.008
"P22","Ninguno de los anteriores",0.004,0.018,0.003,0.022,0.022,0.013,0.027,0.006,0.023,0.144
"P24","Helado",0.46,0.306,0.293,0.258,0.234,0.142,0.22,0.16,0.128,0.2
"P24","Tortas, tartas dulces y masas",0.156,0.339,0.181,0.132,0.115,0.092,0.099,0.117,0.113,0.137
