"var","categoria","Precio","Calidad","Cantidad de sellos presentes en el producto","Precio y calidad","Precio y cantidad de sellos presentes en el producto","Calidad y cantidad de sellos presentes en el producto","Precio, calidad y cantidad de sellos presentes en el producto","Compra sin ningún tipo de consideración"
"P04","Gran excedente habitual",0.001,0.019,0.005,0.012,0.007,0,0.013,0.011
"P04","Gran excedente excepcional",0,0.005,0.004,0.007,0.034,0,0,0
"P04","Pequeño excedente habitual",0.007,0.065,0.024,0.092,0.071,0.051,0.089,0.069
"P04","Pequeño excedente excepcional",0.019,0.064,0.056,0.098,0.12,0.079,0.088,0.053
"P04","Alcanza gastos familia",0.054,0.205,0.121,0.209,0.154,0.305,0.212,0.103
"P04","No alcanza gastos familia",0.163,0.149,0.139,0.158,0.238,0.171,0.158,0.282
"P04","Solo NBFamiliares",0.289,0.241,0.304,0.261,0.224,0.141,0.263,0.192
"P04","No alcanza NBFamiliares",0.45,0.23,0.337,0.154,0.142,0.208,0.154,0.248
"P04","No sabe",0.017,0.022,0.01,0.009,0.01,0.045,0.023,0.042
"P05","Todos los días",0.161,0.252,0.191,0.207,0.202,0.286,0.248,0.074
"P05","Entre 4 y 6 días a la semana",0.195,0.302,0.352,0.344,0.315,0.24,0.288,0.164
"P05","Entre 1 y 3 días a la semana",0.355,0.286,0.283,0.318,0.251,0.236,0.358,0.295
"P05","Raramente",0.243,0.131,0.119,0.112,0.165,0.05,0.091,0.315
"P05","Nunca",0.046,0.029,0.055,0.019,0.067,0.188,0.015,0.152
"P06","Todos los días",0.068,0.097,0.127,0.089,0.08,0.051,0.051,0.024
"P06","Entre 4 y 6 días a la semana",0.155,0.279,0.25,0.264,0.212,0.238,0.205,0.159
"P06","Entre 1 y 3 días a la semana",0.35,0.418,0.403,0.45,0.521,0.371,0.449,0.314
"P06","Raramente",0.355,0.184,0.16,0.163,0.14,0.164,0.219,0.346
"P06","Nunca",0.072,0.022,0.06,0.034,0.047,0.176,0.076,0.157
"P07","Todos los días",0.068,0.114,0.112,0.066,0.084,0.174,0.036,0.022
"P07","Entre 4 y 6 días a la semana",0.16,0.274,0.295,0.205,0.259,0.225,0.201,0.097
"P07","Entre 1 y 3 días a la semana",0.355,0.398,0.414,0.534,0.498,0.3,0.49,0.456
"P07","Raramente",0.347,0.181,0.155,0.164,0.144,0.219,0.189,0.342
"P07","Nunca",0.07,0.033,0.024,0.031,0.015,0.082,0.084,0.083
"P08","Todos los días",0.042,0.049,0.081,0.027,0.011,0.123,0.006,0.067
"P08","Entre 4 y 6 días a la semana",0.061,0.105,0.137,0.059,0.116,0.096,0.069,0.042
"P08","Entre 1 y 3 días a la semana",0.139,0.233,0.235,0.224,0.233,0.194,0.144,0.126
"P08","Raramente",0.445,0.383,0.385,0.485,0.439,0.321,0.506,0.343
"P08","Nunca",0.313,0.23,0.162,0.205,0.201,0.266,0.275,0.422
"P09","Todos los días",0.071,0.137,0.045,0.094,0.075,0.25,0.063,0.061
"P09","Entre 4 y 6 días a la semana",0.131,0.162,0.2,0.132,0.163,0.118,0.142,0.065
"P09","Entre 1 y 3 días a la semana",0.223,0.274,0.329,0.302,0.293,0.143,0.305,0.208
"P09","Raramente",0.416,0.315,0.341,0.381,0.377,0.363,0.347,0.498
"P09","Nunca",0.159,0.112,0.085,0.091,0.092,0.126,0.143,0.168
"P10","Todos los días",0.108,0.246,0.144,0.209,0.281,0.387,0.228,0.045
"P10","Entre 4 y 6 días a la semana",0.135,0.205,0.228,0.205,0.248,0.239,0.233,0.142
"P10","Entre 1 y 3 días a la semana",0.26,0.256,0.303,0.327,0.248,0.125,0.313,0.212
"P10","Raramente",0.363,0.234,0.309,0.219,0.207,0.218,0.178,0.419
"P10","Nunca",0.134,0.059,0.016,0.04,0.016,0.031,0.048,0.182
"P11","Todos los días",0.177,0.367,0.263,0.309,0.387,0.402,0.388,0.154
"P11","Entre 4 y 6 días a la semana",0.138,0.2,0.143,0.2,0.156,0.178,0.196,0.128
"P11","Entre 1 y 3 días a la semana",0.246,0.188,0.317,0.308,0.27,0.117,0.257,0.255
"P11","Raramente",0.313,0.195,0.241,0.16,0.164,0.214,0.1,0.291
"P11","Nunca",0.126,0.05,0.036,0.023,0.023,0.089,0.059,0.172
"P12","Todos los días",0.061,0.085,0.069,0.06,0.062,0.151,0.053,0.092
"P12","Entre 4 y 6 días a la semana",0.081,0.122,0.13,0.107,0.168,0.067,0.129,0.07
"P12","Entre 1 y 3 días a la semana",0.27,0.311,0.375,0.35,0.304,0.412,0.424,0.309
"P12","Raramente",0.437,0.385,0.323,0.399,0.427,0.266,0.344,0.283
"P12","Nunca",0.151,0.097,0.103,0.084,0.039,0.104,0.05,0.246
"P13","Todos los días",0.289,0.27,0.213,0.264,0.212,0.324,0.284,0.231
"P13","Entre 4 y 6 días a la semana",0.238,0.222,0.246,0.256,0.281,0.154,0.241,0.174
"P13","Entre 1 y 3 días a la semana",0.244,0.31,0.351,0.315,0.265,0.322,0.295,0.278
"P13","Raramente",0.186,0.156,0.124,0.146,0.219,0.137,0.145,0.216
"P13","Nunca",0.043,0.042,0.066,0.019,0.023,0.063,0.035,0.101
"P14","Todos los días",0.138,0.112,0.111,0.101,0.08,0.166,0.104,0.112
"P14","Entre 4 y 6 días a la semana",0.236,0.215,0.277,0.231,0.226,0.304,0.247,0.182
"P14","Entre 1 y 3 días a la semana",0.352,0.389,0.416,0.437,0.345,0.353,0.448,0.272
"P14","Raramente",0.219,0.243,0.139,0.197,0.242,0.113,0.151,0.25
"P14","Nunca",0.055,0.041,0.057,0.034,0.107,0.064,0.05,0.184
"P15","Menos de un vaso al día",0.127,0.049,0.061,0.066,0.035,0.141,0.041,0.128
"P15","De 1 a 4 vasos al día",0.336,0.326,0.484,0.36,0.313,0.324,0.272,0.325
"P15","Más de 4 vasos al día",0.469,0.553,0.393,0.541,0.573,0.474,0.624,0.477
"P15","No consume agua",0.068,0.072,0.062,0.033,0.079,0.061,0.063,0.07
"P16","Agua embotellada/mineral",0.128,0.259,0.112,0.153,0.074,0.272,0.099,0.056
"P16","Agua de la canilla filtrada",0.276,0.354,0.338,0.307,0.289,0.271,0.36,0.2
"P16","Agua de la canilla directamente",0.491,0.297,0.48,0.386,0.523,0.322,0.336,0.587
"P16","Agua de bidón",0.091,0.086,0.061,0.149,0.106,0.119,0.195,0.089
"P16","No consume agua",0.014,0.004,0.009,0.005,0.008,0.016,0.01,0.068
"P17","Todos los días",0.067,0.087,0.066,0.057,0.081,0.18,0.046,0.051
"P17","Entre 4 y 6 días a la semana",0.057,0.112,0.147,0.089,0.137,0.07,0.083,0.066
"P17","Entre 1 y 3 días a la semana",0.144,0.242,0.242,0.232,0.203,0.221,0.226,0.15
"P17","Raramente",0.347,0.314,0.267,0.35,0.352,0.201,0.36,0.257
"P17","Nunca",0.385,0.245,0.278,0.272,0.227,0.328,0.285,0.476
"P18","Vino",0.205,0.251,0.228,0.266,0.271,0.222,0.325,0.162
"P18","Cerveza",0.13,0.176,0.147,0.198,0.213,0.188,0.177,0.151
"P18","Destilados (whisky, vodka, ron, etc.)",0.036,0.073,0.106,0.075,0.063,0.038,0.023,0.011
"P18","Espumantes",0.064,0.045,0.067,0.033,0.094,0.044,0.011,0.049
"P18","Otros",0.126,0.123,0.123,0.109,0.1,0.08,0.124,0.067
"P18","No consume bebidas alcohólicas",0.439,0.332,0.329,0.319,0.259,0.428,0.34,0.56
"P19","Todos los días",0.112,0.148,0.1,0.118,0.13,0.214,0.063,0.055
"P19","Entre 4 y 6 días a la semana",0.083,0.141,0.092,0.102,0.181,0.041,0.045,0.14
"P19","Entre 1 y 3 días a la semana",0.182,0.183,0.278,0.213,0.044,0.122,0.117,0.119
"P19","Raramente",0.414,0.327,0.327,0.366,0.401,0.355,0.399,0.438
"P19","Nunca",0.209,0.201,0.203,0.201,0.244,0.268,0.376,0.248
"P20","Todos los días",0.554,0.424,0.493,0.507,0.516,0.57,0.485,0.56
"P20","Entre 4 y 6 días a la semana",0.098,0.102,0.101,0.089,0.054,0.097,0.101,0.062
"P20","Entre 1 y 3 días a la semana",0.085,0.114,0.146,0.125,0.065,0.056,0.115,0.052
"P20","Raramente",0.15,0.214,0.117,0.145,0.202,0.179,0.168,0.077
"P20","Nunca",0.113,0.146,0.143,0.134,0.163,0.098,0.131,0.249
"P21","Todos los días",0.434,0.57,0.511,0.555,0.55,0.474,0.578,0.468
"P21","Entre 4 y 6 días a la semana",0.197,0.137,0.144,0.188,0.201,0.169,0.124,0.171
"P21","Entre 1 y 3 días a la semana",0.145,0.116,0.181,0.133,0.11,0.217,0.123,0.112
"P21","Raramente",0.146,0.138,0.133,0.09,0.05,0.098,0.109,0.153
"P21","Nunca",0.078,0.039,0.031,0.034,0.089,0.042,0.066,0.096
"P22","Asado",0.413,0.472,0.372,0.413,0.54,0.297,0.288,0.336
"P22","Pizza",0.131,0.075,0.045,0.087,0.089,0.125,0.09,0.018
"P22","Milanesa",0.146,0.158,0.23,0.179,0.109,0.137,0.124,0.131
"P22","Pastas",0.08,0.124,0.133,0.103,0.094,0.111,0.143,0.115
"P22","Empanadas",0.052,0.04,0.066,0.041,0.022,0.057,0.059,0.082
"P22","Hamburguesa",0.014,0.015,0.002,0.009,0,0.01,0.024,0.036
"P22","Ensaladas (de cualquier tipo)",0.045,0.057,0.018,0.071,0.075,0.112,0.09,0.046
"P22","Guiso (de lentejas, de arroz, locro o similares)",0.059,0.036,0.087,0.067,0.03,0.124,0.138,0.118
"P22","Polenta o similares (de cualquier tipo)",0.039,0.007,0.006,0.012,0.029,0,0.006,0.062
"P22","Ninguno de los anteriores",0.021,0.016,0.041,0.018,0.012,0.027,0.038,0.056
"P23","Asado",0.083,0.169,0.101,0.113,0.196,0.195,0.079,0.034
"P23","Pizza",0.09,0.071,0.117,0.053,0.049,0.041,0.065,0.012
"P23","Milanesa",0.146,0.247,0.201,0.249,0.24,0.224,0.117,0.109
"P23","Pastas",0.194,0.192,0.233,0.204,0.105,0.045,0.153,0.144
"P23","Empanadas",0.041,0.038,0.05,0.042,0.02,0.034,0.037,0.037
"P23","Hamburguesa",0.021,0.009,0.02,0.016,0.036,0.01,0.007,0.095
