"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Helado",0.118,0.13,0.109,0.131,0.124,0.112,0.103,0.123,0.111,0.123,0.153,0.147,0.077,0.104,0.052,0.117,0.117,0.128,0.105,0.122
"Tortas, tartas dulces y masas",0.146,0.155,0.137,0.16,0.173,0.127,0.096,0.12,0.149,0.169,0.145,0.183,0.113,0.136,0.125,0.132,0.138,0.183,0.148,0.113
"Ensalada de frutas",0.099,0.094,0.103,0.085,0.071,0.119,0.145,0.092,0.087,0.122,0.094,0.108,0.093,0.101,0.082,0.082,0.109,0.095,0.086,0.108
"Flan, budín de pan y similares",0.064,0.08,0.049,0.064,0.066,0.057,0.066,0.087,0.053,0.054,0.053,0.075,0.049,0.047,0.03,0.045,0.081,0.098,0.085,0.031
"Dulce de batata, membrillo o similares",0.108,0.116,0.1,0.061,0.084,0.125,0.185,0.115,0.111,0.095,0.138,0.09,0.147,0.118,0.067,0.154,0.069,0.105,0.093,0.076
"Facturas de todo tipo",0.086,0.094,0.079,0.108,0.106,0.066,0.046,0.08,0.089,0.087,0.096,0.068,0.104,0.082,0.079,0.089,0.107,0.062,0.078,0.089
"Postres lácteos caseros o envasados de cualquier tipo",0.029,0.027,0.03,0.015,0.03,0.031,0.036,0.035,0.024,0.029,0.032,0.018,0.03,0.013,0.053,0.039,0.034,0.048,0.031,0.024
"Gelatina",0.044,0.036,0.051,0.025,0.046,0.046,0.06,0.044,0.048,0.039,0.046,0.028,0.06,0.066,0.027,0.052,0.037,0.02,0.051,0.045
"Panqueques, wafles y similares",0.013,0.015,0.012,0.014,0.018,0.011,0.008,0.018,0.013,0.01,0.017,0.009,0.023,0.003,0.064,0.005,0.007,0.015,0.011,0.033
"Ninguno de los anteriores",0.293,0.253,0.33,0.337,0.282,0.306,0.255,0.286,0.315,0.272,0.226,0.274,0.304,0.33,0.421,0.285,0.301,0.246,0.312,0.359
