"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Helado",0.26,0.279,0.242,0.276,0.258,0.275,0.225,0.236,0.256,0.289,0.295,0.272,0.258,0.267,0.291,0.188,0.306,0.203,0.245,0.204
"Tortas, tartas dulces y masas",0.152,0.126,0.175,0.156,0.179,0.14,0.102,0.126,0.162,0.166,0.141,0.151,0.155,0.174,0.111,0.128,0.148,0.149,0.179,0.132
"Ensalada de frutas",0.168,0.166,0.171,0.153,0.148,0.183,0.21,0.169,0.171,0.165,0.165,0.167,0.169,0.173,0.183,0.185,0.197,0.143,0.133,0.168
"Flan, budín de pan y similares",0.124,0.141,0.108,0.121,0.139,0.123,0.094,0.143,0.126,0.1,0.107,0.155,0.111,0.137,0.125,0.104,0.088,0.13,0.131,0.142
"Dulce de batata, membrillo o similares",0.078,0.076,0.08,0.075,0.061,0.081,0.117,0.092,0.067,0.079,0.062,0.056,0.11,0.073,0.046,0.149,0.067,0.094,0.056,0.085
"Facturas de todo tipo",0.038,0.044,0.032,0.048,0.038,0.031,0.034,0.038,0.032,0.045,0.044,0.04,0.054,0.023,0.013,0.056,0.032,0.027,0.034,0.037
"Postres lácteos caseros o envasados de cualquier tipo",0.027,0.026,0.027,0.011,0.023,0.035,0.043,0.024,0.031,0.025,0.036,0.023,0.018,0.021,0.018,0.016,0.026,0.045,0.043,0.02
"Gelatina",0.04,0.038,0.042,0.038,0.041,0.035,0.048,0.049,0.04,0.031,0.041,0.02,0.044,0.035,0.008,0.084,0.029,0.091,0.031,0.036
"Panqueques, wafles y similares",0.024,0.021,0.027,0.03,0.03,0.015,0.017,0.033,0.018,0.023,0.019,0.029,0.014,0.017,0.106,0.008,0.027,0.003,0.037,0.047
"Ninguno de los anteriores",0.089,0.083,0.096,0.092,0.083,0.082,0.11,0.09,0.097,0.077,0.09,0.087,0.067,0.08,0.099,0.082,0.08,0.115,0.111,0.129
