"var","categoria","Todos los días","Entre 4 y 6 días a la semana","Entre 1 y 3 días a la semana","Raramente","Nunca"
"P04","Gran excedente habitual",0.023,0.017,0.005,0.004,0.009
"P04","Gran excedente excepcional",0.012,0.011,0.001,0.001,0
"P04","Pequeño excedente habitual",0.076,0.065,0.047,0.024,0.038
"P04","Pequeño excedente excepcional",0.097,0.085,0.058,0.024,0.017
"P04","Alcanza gastos familia",0.235,0.183,0.134,0.07,0.048
"P04","No alcanza gastos familia",0.126,0.127,0.181,0.182,0.193
"P04","Solo NBFamiliares",0.24,0.31,0.319,0.241,0.149
"P04","No alcanza NBFamiliares",0.166,0.195,0.243,0.426,0.5
"P04","No sabe",0.025,0.007,0.012,0.028,0.046
"P05","Todos los días",0.427,0.201,0.118,0.148,0.128
"P05","Entre 4 y 6 días a la semana",0.308,0.481,0.26,0.168,0.148
"P05","Entre 1 y 3 días a la semana",0.17,0.229,0.467,0.355,0.21
"P05","Raramente",0.072,0.07,0.132,0.275,0.298
"P05","Nunca",0.023,0.019,0.023,0.054,0.216
"P06","Todos los días",0.194,0.073,0.045,0.057,0.078
"P06","Entre 4 y 6 días a la semana",0.246,0.386,0.206,0.128,0.098
"P06","Entre 1 y 3 días a la semana",0.367,0.372,0.51,0.356,0.183
"P06","Raramente",0.137,0.142,0.209,0.391,0.377
"P06","Nunca",0.056,0.027,0.03,0.068,0.264
"P07","Todos los días",0.19,0.06,0.049,0.057,0.089
"P07","Entre 4 y 6 días a la semana",0.25,0.352,0.183,0.135,0.12
"P07","Entre 1 y 3 días a la semana",0.411,0.449,0.531,0.381,0.192
"P07","Raramente",0.112,0.112,0.216,0.374,0.345
"P07","Nunca",0.037,0.027,0.021,0.053,0.254
"P08","Todos los días",0.106,0.048,0.028,0.04,0.046
"P08","Entre 4 y 6 días a la semana",0.064,0.154,0.071,0.072,0.049
"P08","Entre 1 y 3 días a la semana",0.198,0.237,0.249,0.142,0.073
"P08","Raramente",0.414,0.411,0.468,0.441,0.292
"P08","Nunca",0.218,0.15,0.184,0.305,0.54
"P09","Todos los días",0.237,0.065,0.062,0.052,0.088
"P09","Entre 4 y 6 días a la semana",0.124,0.314,0.129,0.08,0.062
"P09","Entre 1 y 3 días a la semana",0.227,0.253,0.411,0.156,0.089
"P09","Raramente",0.309,0.3,0.327,0.577,0.274
"P09","Nunca",0.103,0.068,0.071,0.135,0.487
"P11","Todos los días",0.664,0.309,0.19,0.106,0.081
"P11","Entre 4 y 6 días a la semana",0.154,0.373,0.148,0.113,0.042
"P11","Entre 1 y 3 días a la semana",0.11,0.211,0.449,0.215,0.112
"P11","Raramente",0.06,0.086,0.183,0.473,0.269
"P11","Nunca",0.012,0.021,0.03,0.093,0.496
"P12","Todos los días",0.168,0.066,0.042,0.04,0.05
"P12","Entre 4 y 6 días a la semana",0.124,0.192,0.086,0.079,0.045
"P12","Entre 1 y 3 días a la semana",0.37,0.338,0.366,0.226,0.142
"P12","Raramente",0.276,0.339,0.427,0.505,0.309
"P12","Nunca",0.062,0.065,0.079,0.15,0.454
"P13","Todos los días",0.386,0.267,0.232,0.218,0.235
"P13","Entre 4 y 6 días a la semana",0.188,0.337,0.267,0.202,0.157
"P13","Entre 1 y 3 días a la semana",0.255,0.254,0.334,0.291,0.197
"P13","Raramente",0.132,0.125,0.147,0.238,0.243
"P13","Nunca",0.039,0.017,0.02,0.051,0.168
"P14","Todos los días",0.214,0.098,0.089,0.105,0.154
"P14","Entre 4 y 6 días a la semana",0.227,0.314,0.229,0.194,0.146
"P14","Entre 1 y 3 días a la semana",0.352,0.387,0.449,0.32,0.238
"P14","Raramente",0.174,0.174,0.2,0.299,0.225
"P14","Nunca",0.033,0.027,0.033,0.082,0.237
"P15","Menos de un vaso al día",0.109,0.086,0.063,0.101,0.133
"P15","De 1 a 4 vasos al día",0.287,0.378,0.368,0.341,0.28
"P15","Más de 4 vasos al día",0.562,0.493,0.52,0.46,0.446
"P15","No consume agua",0.042,0.043,0.049,0.098,0.141
"P16","Agua embotellada/mineral",0.239,0.182,0.135,0.108,0.151
"P16","Agua de la canilla filtrada",0.301,0.303,0.324,0.307,0.219
"P16","Agua de la canilla directamente",0.317,0.368,0.427,0.466,0.506
"P16","Agua de bidón",0.131,0.142,0.11,0.108,0.071
"P16","No consume agua",0.012,0.005,0.004,0.011,0.053
"P17","Todos los días",0.119,0.073,0.053,0.041,0.059
"P17","Entre 4 y 6 días a la semana",0.085,0.132,0.088,0.075,0.081
"P17","Entre 1 y 3 días a la semana",0.257,0.228,0.21,0.18,0.126
"P17","Raramente",0.263,0.332,0.39,0.322,0.2
