"var","categoria","Menos de un vaso al día","De 1 a 4 vasos al día","Más de 4 vasos al día","No consume agua"
"P04","Gran excedente habitual",0.005,0.009,0.011,0.014
"P04","Gran excedente excepcional",0.005,0.004,0.007,0
"P04","Pequeño excedente habitual",0.025,0.049,0.059,0.013
"P04","Pequeño excedente excepcional",0.034,0.048,0.067,0.042
"P04","Alcanza gastos familia",0.104,0.129,0.156,0.093
"P04","No alcanza gastos familia",0.155,0.152,0.173,0.183
"P04","Solo NBFamiliares",0.267,0.301,0.244,0.223
"P04","No alcanza NBFamiliares",0.364,0.299,0.26,0.424
"P04","No sabe",0.041,0.009,0.023,0.008
"P05","Todos los días",0.243,0.15,0.212,0.185
"P05","Entre 4 y 6 días a la semana",0.238,0.305,0.271,0.202
"P05","Entre 1 y 3 días a la semana",0.253,0.343,0.325,0.262
"P05","Raramente",0.197,0.17,0.148,0.26
"P05","Nunca",0.069,0.032,0.044,0.091
"P06","Todos los días",0.149,0.072,0.063,0.109
"P06","Entre 4 y 6 días a la semana",0.204,0.215,0.219,0.153
"P06","Entre 1 y 3 días a la semana",0.261,0.43,0.415,0.313
"P06","Raramente",0.295,0.238,0.234,0.314
"P06","Nunca",0.091,0.045,0.069,0.111
"P07","Todos los días",0.138,0.073,0.069,0.088
"P07","Entre 4 y 6 días a la semana",0.201,0.196,0.212,0.18
"P07","Entre 1 y 3 días a la semana",0.334,0.449,0.445,0.344
"P07","Raramente",0.224,0.235,0.225,0.295
"P07","Nunca",0.103,0.047,0.049,0.093
"P08","Todos los días",0.121,0.036,0.038,0.033
"P08","Entre 4 y 6 días a la semana",0.134,0.083,0.069,0.072
"P08","Entre 1 y 3 días a la semana",0.135,0.204,0.197,0.165
"P08","Raramente",0.358,0.469,0.427,0.405
"P08","Nunca",0.252,0.208,0.269,0.325
"P09","Todos los días",0.16,0.091,0.075,0.086
"P09","Entre 4 y 6 días a la semana",0.197,0.178,0.121,0.063
"P09","Entre 1 y 3 días a la semana",0.169,0.263,0.271,0.245
"P09","Raramente",0.329,0.362,0.401,0.429
"P09","Nunca",0.145,0.106,0.132,0.177
"P10","Todos los días",0.202,0.143,0.191,0.103
"P10","Entre 4 y 6 días a la semana",0.167,0.199,0.177,0.113
"P10","Entre 1 y 3 días a la semana",0.193,0.305,0.294,0.201
"P10","Raramente",0.307,0.278,0.257,0.396
"P10","Nunca",0.131,0.075,0.081,0.187
"P11","Todos los días",0.32,0.247,0.269,0.152
"P11","Entre 4 y 6 días a la semana",0.144,0.175,0.186,0.112
"P11","Entre 1 y 3 días a la semana",0.182,0.278,0.256,0.237
"P11","Raramente",0.241,0.231,0.211,0.361
"P11","Nunca",0.113,0.069,0.078,0.138
"P12","Todos los días",0.166,0.058,0.053,0.065
"P12","Entre 4 y 6 días a la semana",0.111,0.11,0.107,0.045
"P12","Entre 1 y 3 días a la semana",0.227,0.309,0.334,0.213
"P12","Raramente",0.343,0.411,0.392,0.456
"P12","Nunca",0.153,0.112,0.114,0.221
"P13","Todos los días",0.431,0.271,0.228,0.236
"P13","Entre 4 y 6 días a la semana",0.214,0.277,0.234,0.089
"P13","Entre 1 y 3 días a la semana",0.149,0.284,0.311,0.25
"P13","Raramente",0.117,0.14,0.195,0.287
"P13","Nunca",0.089,0.028,0.032,0.138
"P14","Todos los días",0.398,0.099,0.094,0.097
"P14","Entre 4 y 6 días a la semana",0.148,0.299,0.215,0.072
"P14","Entre 1 y 3 días a la semana",0.233,0.341,0.447,0.101
"P14","Raramente",0.156,0.206,0.189,0.601
"P14","Nunca",0.065,0.055,0.055,0.129
"P16","Agua embotellada/mineral",0.285,0.152,0.128,0.194
"P16","Agua de la canilla filtrada",0.215,0.42,0.261,0.133
"P16","Agua de la canilla directamente",0.414,0.311,0.486,0.424
"P16","Agua de bidón",0.055,0.109,0.121,0.189
"P16","No consume agua",0.031,0.008,0.004,0.06
"P17","Todos los días",0.137,0.063,0.05,0.086
"P17","Entre 4 y 6 días a la semana",0.119,0.114,0.074,0.064
"P17","Entre 1 y 3 días a la semana",0.172,0.193,0.213,0.258
"P17","Raramente",0.266,0.311,0.346,0.285
"P17","Nunca",0.306,0.319,0.317,0.307
"P18","Vino",0.215,0.256,0.229,0.167
"P18","Cerveza",0.152,0.17,0.155,0.144
"P18","Destilados (whisky, vodka, ron, etc.)",0.037,0.052,0.063,0.094
"P18","Espumantes",0.06,0.05,0.051,0.088
"P18","Otros",0.18,0.107,0.112,0.139
"P18","No consume bebidas alcohólicas",0.356,0.365,0.39,0.368
"P19","Todos los días",0.221,0.12,0.091,0.177
"P19","Entre 4 y 6 días a la semana",0.094,0.133,0.088,0.11
"P19","Entre 1 y 3 días a la semana",0.17,0.19,0.172,0.126
"P19","Raramente",0.325,0.356,0.411,0.326
"P19","Nunca",0.19,0.201,0.238,0.261
"P20","Todos los días",0.542,0.529,0.494,0.506
"P20","Entre 4 y 6 días a la semana",0.094,0.122,0.085,0.051
"P20","Entre 1 y 3 días a la semana",0.06,0.094,0.111,0.084
"P20","Raramente",0.162,0.128,0.181,0.189
"P20","Nunca",0.142,0.127,0.129,0.17
"P21","Todos los días",0.563,0.495,0.507,0.406
"P21","Entre 4 y 6 días a la semana",0.133,0.168,0.173,0.192
"P21","Entre 1 y 3 días a la semana",0.094,0.139,0.147,0.117
"P21","Raramente",0.096,0.142,0.124,0.153
"P21","Nunca",0.114,0.056,0.049,0.132
"P22","Asado",0.506,0.427,0.391,0.377
"P22","Pizza",0.082,0.095,0.084,0.115
"P22","Milanesa",0.103,0.156,0.176,0.112
"P22","Pastas",0.1,0.105,0.114,0.142
"P22","Empanadas",0.051,0.044,0.042,0.066
"P22","Hamburguesa",0.009,0.02,0.008,0.001
"P22","Ensaladas (de cualquier tipo)",0.037,0.036,0.068,0.062
"P22","Guiso (de lentejas, de arroz, locro o similares)",0.054,0.07,0.076,0.048
"P22","Polenta o similares (de cualquier tipo)",0.031,0.02,0.021,0.036
"P22","Ninguno de los anteriores",0.027,0.027,0.02,0.041
"P23","Asado",0.221,0.119,0.098,0.109
"P23","Pizza",0.09,0.075,0.06,0.068
"P23","Milanesa",0.126,0.204,0.21,0.198
"P23","Pastas",0.168,0.203,0.179,0.169
"P23","Empanadas",0.025,0.034,0.047,0.006
"P23","Hamburguesa",0.023,0.025,0.016,0.022
"P23","Ensaladas (de cualquier tipo)",0.058,0.086,0.118,0.093
"P23","Guiso (de lentejas, de arroz, locro o similares)",0.125,0.125,0.122,0.103
"P23","Polenta o similares (de cualquier tipo)",0.081,0.071,0.067,0.084
"P23","Ninguno de los anteriores",0.083,0.058,0.083,0.148
"P24","Helado",0.318,0.265,0.254,0.201
"P24","Tortas, tartas dulces y masas",0.177,0.176,0.137,0.107
"P24","Ensalada de frutas",0.136,0.142,0.188,0.207
"P24","Flan, budín de pan y similares",0.072,0.142,0.124,0.096
"P24","Dulce de batata, membrillo o similares",0.074,0.082,0.078,0.065
"P24","Facturas de todo tipo",0.066,0.034,0.033,0.053
"P24","Postres lácteos caseros o envasados de cualquier tipo",0.027,0.019,0.03,0.04
"P24","Gelatina",0.024,0.045,0.04,0.041
"P24","Panqueques, wafles y similares",0.026,0.021,0.022,0.048
"P24","Ninguno de los anteriores",0.08,0.074,0.094,0.142
"P25","Helado",0.211,0.11,0.109,0.121
"P25","Tortas, tartas dulces y masas",0.12,0.162,0.143,0.12
"P25","Ensalada de frutas",0.088,0.081,0.116,0.07
"P25","Flan, budín de pan y similares",0.036,0.083,0.06,0.028
"P25","Dulce de batata, membrillo o similares",0.122,0.104,0.109,0.095
"P25","Facturas de todo tipo",0.067,0.096,0.084,0.072
"P25","Postres lácteos caseros o envasados de cualquier tipo",0.012,0.026,0.03,0.046
"P25","Gelatina",0.054,0.049,0.04,0.042
"P25","Panqueques, wafles y similares",0.017,0.014,0.011,0.027
"P25","Ninguno de los anteriores",0.273,0.275,0.298,0.379
"P26","Vegetariano",0.111,0.035,0.047,0.031
"P26","Vegano",0.064,0.05,0.029,0.098
