"var","categoria","Todos los días","Entre 4 y 6 días a la semana","Entre 1 y 3 días a la semana","Raramente","Nunca"
"P04","Gran excedente habitual",0.038,0.014,0.009,0.001,0.016
"P04","Gran excedente excepcional",0.014,0.003,0.006,0,0
"P04","Pequeño excedente habitual",0.059,0.058,0.058,0.022,0.033
"P04","Pequeño excedente excepcional",0.069,0.081,0.059,0.027,0.007
"P04","Alcanza gastos familia",0.134,0.149,0.168,0.071,0.072
"P04","No alcanza gastos familia",0.184,0.126,0.162,0.2,0.152
"P04","Solo NBFamiliares",0.195,0.267,0.286,0.254,0.164
"P04","No alcanza NBFamiliares",0.274,0.278,0.24,0.4,0.505
"P04","No sabe",0.033,0.024,0.012,0.025,0.051
"P05","Todos los días",0.41,0.239,0.167,0.139,0.167
"P05","Entre 4 y 6 días a la semana",0.209,0.397,0.291,0.169,0.188
"P05","Entre 1 y 3 días a la semana",0.213,0.217,0.395,0.359,0.144
"P05","Raramente",0.126,0.114,0.123,0.273,0.248
"P05","Nunca",0.042,0.033,0.024,0.06,0.253
"P06","Todos los días",0.466,0.099,0.047,0.034,0.05
"P06","Entre 4 y 6 días a la semana",0.207,0.458,0.187,0.08,0.078
"P06","Entre 1 y 3 días a la semana",0.187,0.297,0.559,0.283,0.102
"P06","Raramente",0.113,0.124,0.185,0.52,0.24
"P06","Nunca",0.027,0.022,0.022,0.083,0.53
"P08","Todos los días",0.304,0.042,0.024,0.02,0.059
"P08","Entre 4 y 6 días a la semana",0.082,0.251,0.04,0.026,0.051
"P08","Entre 1 y 3 días a la semana",0.155,0.17,0.284,0.091,0.061
"P08","Raramente",0.272,0.394,0.444,0.518,0.241
"P08","Nunca",0.187,0.143,0.208,0.345,0.588
"P09","Todos los días",0.311,0.104,0.075,0.048,0.074
"P09","Entre 4 y 6 días a la semana",0.136,0.234,0.141,0.084,0.107
"P09","Entre 1 y 3 días a la semana",0.143,0.275,0.308,0.187,0.102
"P09","Raramente",0.305,0.302,0.392,0.477,0.306
"P09","Nunca",0.105,0.085,0.084,0.204,0.411
"P10","Todos los días",0.402,0.209,0.167,0.081,0.115
"P10","Entre 4 y 6 días a la semana",0.131,0.305,0.19,0.084,0.088
"P10","Entre 1 y 3 días a la semana",0.166,0.245,0.346,0.252,0.105
"P10","Raramente",0.2,0.187,0.255,0.448,0.27
"P10","Nunca",0.101,0.054,0.042,0.135,0.422
"P11","Todos los días",0.474,0.32,0.273,0.141,0.133
"P11","Entre 4 y 6 días a la semana",0.126,0.254,0.185,0.102,0.093
"P11","Entre 1 y 3 días a la semana",0.141,0.211,0.289,0.272,0.177
"P11","Raramente",0.165,0.163,0.205,0.369,0.238
"P11","Nunca",0.094,0.052,0.048,0.116,0.359
"P12","Todos los días",0.226,0.058,0.055,0.043,0.085
"P12","Entre 4 y 6 días a la semana",0.133,0.167,0.096,0.051,0.146
"P12","Entre 1 y 3 días a la semana",0.217,0.314,0.344,0.271,0.179
"P12","Raramente",0.288,0.352,0.413,0.48,0.233
"P12","Nunca",0.136,0.109,0.092,0.155,0.357
"P13","Todos los días",0.377,0.315,0.255,0.186,0.263
"P13","Entre 4 y 6 días a la semana",0.193,0.286,0.242,0.212,0.198
"P13","Entre 1 y 3 días a la semana",0.208,0.254,0.312,0.299,0.187
"P13","Raramente",0.157,0.126,0.161,0.25,0.164
"P13","Nunca",0.065,0.019,0.03,0.053,0.188
"P14","Todos los días",0.217,0.16,0.098,0.087,0.184
"P14","Entre 4 y 6 días a la semana",0.227,0.284,0.221,0.188,0.219
"P14","Entre 1 y 3 días a la semana",0.293,0.337,0.425,0.355,0.176
"P14","Raramente",0.207,0.174,0.205,0.306,0.173
"P14","Nunca",0.056,0.045,0.051,0.064,0.248
"P15","Menos de un vaso al día",0.163,0.091,0.072,0.088,0.167
"P15","De 1 a 4 vasos al día",0.32,0.328,0.356,0.344,0.284
"P15","Más de 4 vasos al día",0.44,0.52,0.517,0.481,0.435
"P15","No consume agua",0.077,0.061,0.055,0.087,0.114
"P16","Agua embotellada/mineral",0.253,0.177,0.153,0.117,0.12
"P16","Agua de la canilla filtrada",0.321,0.334,0.303,0.277,0.256
"P16","Agua de la canilla directamente",0.29,0.363,0.422,0.48,0.465
"P16","Agua de bidón",0.105,0.121,0.117,0.112,0.109
"P16","No consume agua",0.031,0.005,0.005,0.014,0.05
"P17","Todos los días",0.143,0.072,0.054,0.044,0.113
"P17","Entre 4 y 6 días a la semana",0.1,0.142,0.082,0.063,0.081
"P17","Entre 1 y 3 días a la semana",0.215,0.197,0.241,0.161,0.122
"P17","Raramente",0.264,0.314,0.342,0.339,0.209
"P17","Nunca",0.278,0.275,0.281,0.393,0.475
"P18","Vino",0.256,0.251,0.266,0.165,0.157
"P18","Cerveza",0.136,0.166,0.181,0.131,0.117
"P18","Destilados (whisky, vodka, ron, etc.)",0.121,0.061,0.062,0.034,0.046
"P18","Espumantes",0.045,0.054,0.05,0.065,0.051
"P18","Otros",0.083,0.114,0.108,0.146,0.142
"P18","No consume bebidas alcohólicas",0.359,0.354,0.333,0.459,0.487
"P19","Todos los días",0.246,0.115,0.117,0.086,0.099
"P19","Entre 4 y 6 días a la semana",0.08,0.125,0.115,0.093,0.033
"P19","Entre 1 y 3 días a la semana",0.14,0.221,0.196,0.131,0.064
"P19","Raramente",0.328,0.356,0.375,0.431,0.349
"P19","Nunca",0.206,0.183,0.197,0.259,0.455
"P20","Todos los días",0.55,0.49,0.528,0.486,0.511
"P20","Entre 4 y 6 días a la semana",0.092,0.129,0.086,0.09,0.084
"P20","Entre 1 y 3 días a la semana",0.08,0.104,0.116,0.082,0.032
"P20","Raramente",0.108,0.152,0.147,0.223,0.145
