"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior"
"Inflación",0.34,0.319,0.359,0.353,0.36,0.331,0.283,0.271,0.382,0.367,0.411,0.31,0.374,0.328,0.364
"Desempleo",0.087,0.078,0.094,0.088,0.09,0.081,0.083,0.094,0.093,0.062,0.1,0.06,0,0.075,0.11
"Corrupción",0.235,0.286,0.189,0.251,0.221,0.22,0.259,0.241,0.24,0.214,0.138,0.319,0.131,0.241,0.222
"Inseguridad",0.186,0.173,0.198,0.137,0.173,0.241,0.229,0.219,0.161,0.182,0.195,0.19,0.448,0.199,0.161
"Precio del dólar",0.012,0.019,0.006,0.008,0.018,0.005,0.015,0.014,0.014,0.007,0.019,0.012,0,0.016,0.004
"Pobreza",0.054,0.048,0.06,0.062,0.064,0.028,0.053,0.069,0.025,0.089,0.049,0.054,0,0.052,0.06
"Narcotráfico",0.021,0.01,0.03,0.016,0.009,0.034,0.04,0.04,0.012,0.006,0.02,0.029,0,0.019,0.024
"Tarifas",0.014,0.009,0.019,0.027,0.013,0.003,0.011,0.013,0.021,0.006,0.016,0.002,0,0.019,0.005
"Otro",0.037,0.05,0.026,0.034,0.037,0.051,0.025,0.029,0.035,0.054,0.042,0.022,0.047,0.038,0.036
"No sabe",0.014,0.008,0.019,0.024,0.015,0.006,0.002,0.01,0.017,0.013,0.01,0.002,0,0.013,0.014
