"var","categoria","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","No sabe"
"P08","Siempre",0.197,0.208,0.267,0.214
"P08","Casi siempre",0.328,0.369,0.346,0.376
"P08","Casi nunca",0.339,0.29,0.296,0.235
"P08","Nunca, pero esta es una excepción",0.136,0.133,0.091,0.175
"P09","Muy de acuerdo",0.582,0.152,0.04,0.042
"P09","De acuerdo",0.232,0.213,0.037,0.044
"P09","Ni de acuerdo ni en desacuerdo",0.112,0.304,0.13,0.306
"P09","En desacuerdo",0.038,0.177,0.317,0.335
"P09","Muy en desacuerdo",0.022,0.119,0.465,0.221
"P09","No sabe",0.014,0.035,0.011,0.052
"P10","De acuerdo",0.802,0.301,0.089,0.125
"P10","Ni de acuerdo ni en desacuerdo",0.118,0.325,0.136,0.163
"P10","En desacuerdo",0.048,0.258,0.678,0.251
"P10","No sabe",0.032,0.116,0.097,0.461
"P11","De acuerdo",0.847,0.484,0.146,0.193
"P11","Ni de acuerdo ni en desacuerdo",0.092,0.308,0.236,0.148
"P11","En desacuerdo",0.048,0.157,0.533,0.317
"P11","No sabe",0.013,0.051,0.085,0.342
"P12","De acuerdo",0.956,0.546,0.15,0.342
"P12","Ni de acuerdo ni en desacuerdo",0.024,0.309,0.253,0.089
"P12","En desacuerdo",0.015,0.11,0.5,0.229
"P12","No sabe",0.005,0.035,0.097,0.34
"P14","De acuerdo",0.839,0.261,0.09,0.168
"P14","Ni de acuerdo ni en desacuerdo",0.117,0.546,0.054,0.169
"P14","En desacuerdo",0.032,0.159,0.825,0.173
"P14","No sabe",0.012,0.034,0.031,0.49
"P15","De acuerdo",0.75,0.383,0.19,0.244
"P15","Ni de acuerdo ni en desacuerdo",0.181,0.372,0.086,0.112
"P15","En desacuerdo",0.045,0.194,0.692,0.191
"P15","No sabe",0.024,0.051,0.032,0.453
"P16","De acuerdo",0.889,0.558,0.166,0.297
"P16","Ni de acuerdo ni en desacuerdo",0.068,0.253,0.114,0.118
"P16","En desacuerdo",0.027,0.114,0.683,0.153
"P16","No sabe",0.016,0.075,0.037,0.432
"P17","De acuerdo",0.68,0.264,0.067,0.127
"P17","Ni de acuerdo ni en desacuerdo",0.174,0.245,0.025,0.094
"P17","En desacuerdo",0.13,0.449,0.895,0.528
"P17","No sabe",0.016,0.042,0.013,0.251
"P18","De acuerdo",0.65,0.21,0.032,0.052
"P18","Ni de acuerdo ni en desacuerdo",0.21,0.311,0.032,0.126
"P18","En desacuerdo",0.109,0.405,0.904,0.512
"P18","No sabe",0.031,0.074,0.032,0.31
"P19","De acuerdo",0.821,0.36,0.057,0.108
"P19","Ni de acuerdo ni en desacuerdo",0.086,0.171,0.039,0.156
"P19","En desacuerdo",0.08,0.438,0.891,0.525
"P19","No sabe",0.013,0.031,0.013,0.211
"P20","De acuerdo",0.763,0.311,0.057,0.095
"P20","Ni de acuerdo ni en desacuerdo",0.14,0.242,0.068,0.205
"P20","En desacuerdo",0.082,0.379,0.863,0.418
"P20","No sabe",0.015,0.068,0.012,0.282
"P21","De acuerdo",0.796,0.35,0.049,0.132
"P21","Ni de acuerdo ni en desacuerdo",0.103,0.222,0.049,0.101
"P21","En desacuerdo",0.08,0.405,0.881,0.544
"P21","No sabe",0.021,0.023,0.021,0.223
"P22","Si",0.474,0.413,0.615,0.362
"P22","No",0.349,0.228,0.16,0.172
"P22","No sabe",0.177,0.359,0.225,0.466
"P23","Si",0.639,0.237,0.093,0.174
"P23","No",0.282,0.623,0.791,0.694
"P23","No sabe",0.079,0.14,0.116,0.132
"P24","Si",0.552,0.183,0.053,0.056
"P24","No",0.347,0.644,0.844,0.776
"P24","No sabe",0.101,0.173,0.103,0.168
"P25","Si",0.592,0.244,0.116,0.062
"P25","No",0.325,0.647,0.785,0.752
"P25","No sabe",0.083,0.109,0.099,0.186
"P26","A favor",0.852,0.422,0.073,0.187
"P26","En contra",0.086,0.371,0.833,0.536
"P26","No sabe",0.062,0.207,0.094,0.277
