"var","categoria","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","No sabe"
"P08","Siempre",0.223,0.182,0.262,0.144
"P08","Casi siempre",0.334,0.389,0.332,0.365
"P08","Casi nunca",0.315,0.33,0.315,0.297
"P08","Nunca, pero esta es una excepción",0.128,0.099,0.091,0.194
"P09","Muy de acuerdo",0.486,0.306,0.06,0.067
"P09","De acuerdo",0.214,0.226,0.069,0.058
"P09","Ni de acuerdo ni en desacuerdo",0.132,0.262,0.12,0.278
"P09","En desacuerdo",0.088,0.113,0.287,0.35
"P09","Muy en desacuerdo",0.06,0.079,0.456,0.163
"P09","No sabe",0.02,0.014,0.008,0.084
"P10","De acuerdo",0.696,0.471,0.129,0.132
"P10","Ni de acuerdo ni en desacuerdo",0.136,0.262,0.161,0.16
"P10","En desacuerdo",0.118,0.171,0.626,0.217
"P10","No sabe",0.05,0.096,0.084,0.491
"P11","De acuerdo",0.788,0.554,0.171,0.264
"P11","Ni de acuerdo ni en desacuerdo",0.113,0.275,0.232,0.159
"P11","En desacuerdo",0.083,0.136,0.497,0.232
"P11","No sabe",0.016,0.035,0.1,0.345
"P12","De acuerdo",0.858,0.709,0.207,0.337
"P12","Ni de acuerdo ni en desacuerdo",0.072,0.188,0.255,0.116
"P12","En desacuerdo",0.055,0.09,0.432,0.169
"P12","No sabe",0.015,0.013,0.106,0.378
"P13","De acuerdo",0.713,0.441,0.095,0.187
"P13","Ni de acuerdo ni en desacuerdo",0.171,0.425,0.19,0.186
"P13","En desacuerdo",0.082,0.095,0.657,0.115
"P13","No sabe",0.034,0.039,0.058,0.512
"P14","De acuerdo",0.764,0.426,0.075,0.123
"P14","Ni de acuerdo ni en desacuerdo",0.145,0.45,0.139,0.145
"P14","En desacuerdo",0.074,0.106,0.751,0.202
"P14","No sabe",0.017,0.018,0.035,0.53
"P16","De acuerdo",0.861,0.586,0.194,0.238
"P16","Ni de acuerdo ni en desacuerdo",0.076,0.281,0.089,0.126
"P16","En desacuerdo",0.037,0.08,0.689,0.096
"P16","No sabe",0.026,0.053,0.028,0.54
"P17","De acuerdo",0.593,0.425,0.088,0.102
"P17","Ni de acuerdo ni en desacuerdo",0.166,0.231,0.046,0.175
"P17","En desacuerdo",0.213,0.306,0.849,0.525
"P17","No sabe",0.028,0.038,0.017,0.198
"P18","De acuerdo",0.548,0.36,0.075,0.112
"P18","Ni de acuerdo ni en desacuerdo",0.203,0.298,0.068,0.145
"P18","En desacuerdo",0.203,0.273,0.841,0.413
"P18","No sabe",0.046,0.069,0.016,0.33
"P19","De acuerdo",0.697,0.532,0.128,0.171
"P19","Ni de acuerdo ni en desacuerdo",0.097,0.153,0.044,0.152
"P19","En desacuerdo",0.188,0.281,0.819,0.465
"P19","No sabe",0.018,0.034,0.009,0.212
"P20","De acuerdo",0.652,0.467,0.117,0.138
"P20","Ni de acuerdo ni en desacuerdo",0.152,0.232,0.08,0.153
"P20","En desacuerdo",0.169,0.247,0.781,0.466
"P20","No sabe",0.027,0.054,0.022,0.243
"P21","De acuerdo",0.688,0.483,0.127,0.171
"P21","Ni de acuerdo ni en desacuerdo",0.11,0.193,0.075,0.105
"P21","En desacuerdo",0.172,0.296,0.789,0.519
"P21","No sabe",0.03,0.028,0.009,0.205
"P22","Si",0.495,0.381,0.575,0.378
"P22","No",0.301,0.319,0.166,0.222
"P22","No sabe",0.204,0.3,0.259,0.4
"P23","Si",0.543,0.402,0.132,0.154
"P23","No",0.367,0.508,0.731,0.695
"P23","No sabe",0.09,0.09,0.137,0.151
"P24","Si",0.457,0.317,0.098,0.108
"P24","No",0.437,0.542,0.781,0.682
"P24","No sabe",0.106,0.141,0.121,0.21
"P25","Si",0.515,0.346,0.149,0.122
"P25","No",0.399,0.537,0.756,0.708
"P25","No sabe",0.086,0.117,0.095,0.17
"P26","A favor",0.741,0.572,0.143,0.22
"P26","En contra",0.167,0.274,0.762,0.499
"P26","No sabe",0.092,0.154,0.095,0.281
