"var","categoria","Union por la Patria","Cambiemos","Liberales","Izquierda"
"P26","Totalmente seguro",0.682,0.669,0.709,0.64
"P26","Bastante seguro",0.103,0.165,0.165,0.147
"P26","Algo seguro",0.115,0.102,0.07,0.152
"P26","Para nada seguro",0.1,0.064,0.056,0.061
"P27","Tiene Decidido que va a ir a votar",0.919,0.919,0.904,0.97
"P27","Tiene dudas sobre si va a ir a  votar",0.051,0.063,0.089,0.01
"P27","Tiene Decidido que no va a ir a votar",0.03,0.018,0.007,0.02
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.77,0.103,0.136,0.441
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.104,0.792,0.262,0.213
"P28","En blanco",0.059,0.04,0.409,0.09
"P28","No sabe",0.067,0.065,0.193,0.256
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.349,0.709,0.15,0.427
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.112,0.214,0.749,0.152
"P29","En blanco",0.328,0.04,0.084,0.26
"P29","No sabe",0.211,0.037,0.017,0.161
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.793,0.131,0.09,0.528
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.077,0.363,0.74,0.229
"P30","En blanco",0.065,0.335,0.117,0.192
"P30","No sabe",0.065,0.171,0.053,0.051
"P38","Inflación",0.38,0.363,0.423,0.299
"P38","Desempleo",0.09,0.053,0.069,0.122
"P38","Corrupción",0.151,0.363,0.355,0.298
"P38","Inseguridad",0.124,0.109,0.084,0.025
"P38","Precio del dólar",0.034,0.017,0,0
"P38","Pobreza",0.084,0.037,0.01,0.162
"P38","Narcotráfico",0.001,0.007,0,0
"P38","Tarifas",0.007,0.005,0,0
"P38","Otro",0.097,0.034,0.059,0.094
"P38","No sabe",0.032,0.012,0,0
