"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.14,0.129,0.151,0.19,0.089,0.175,0.148,0.145,0.151,0.118,0.169,0.069,0.282,0.256,0.058,0.153,0.137,0.031,6
"Buena",0.181,0.16,0.204,0.18,0.182,0.175,0.193,0.18,0.168,0.204,0.242,0.126,0.194,0.282,0.086,0.178,0.166,0.315,6
"Ni buena ni mala",0.293,0.279,0.308,0.286,0.294,0.274,0.334,0.33,0.3,0.242,0.352,0.205,0.185,0.255,0.31,0.309,0.248,0.474,6
"Mala",0.189,0.2,0.177,0.116,0.185,0.26,0.192,0.194,0.174,0.204,0.123,0.321,0.117,0.124,0.25,0.201,0.195,0.033,6
"Muy mala",0.16,0.193,0.126,0.182,0.206,0.103,0.093,0.107,0.166,0.21,0.085,0.257,0.153,0.048,0.276,0.145,0.185,0.122,6
"No sabe",0.037,0.039,0.034,0.046,0.044,0.013,0.04,0.044,0.041,0.022,0.029,0.022,0.069,0.035,0.02,0.014,0.069,0.025,6
"Positiva",0.321,0.289,0.355,0.37,0.271,0.35,0.341,0.325,0.319,0.322,0.411,0.195,0.476,0.538,0.144,0.331,0.303,0.346,4
"Neutra",0.293,0.279,0.308,0.286,0.294,0.274,0.334,0.33,0.3,0.242,0.352,0.205,0.185,0.255,0.31,0.309,0.248,0.474,4
"Negativa",0.349,0.393,0.303,0.298,0.391,0.363,0.285,0.301,0.34,0.414,0.208,0.578,0.27,0.172,0.526,0.346,0.38,0.155,4
"No sabe",0.037,0.039,0.034,0.046,0.044,0.013,0.04,0.044,0.041,0.022,0.029,0.022,0.069,0.035,0.02,0.014,0.069,0.025,4
