"var","categoria","Javier Milei","Los gobernadores","No sabe"
"P10","Gran excedente habitual",0.024,0,0
"P10","Gran excedente excepcional",0.012,0,0.002
"P10","Pequeño excedente habitual",0.06,0,0.018
"P10","Pequeño excedente excepcional",0.075,0,0.048
"P10","Alcanza gastos familia",0.171,0,0.051
"P10","No alcanza gastos familia",0.128,0,0.18
"P10","Solo NBFamiliares",0.295,0,0.233
"P10","No alcanza NBFamiliares",0.233,0,0.422
"P10","No sabe",0.002,0,0.046
"P11","Muy buena",0.052,0,0.045
"P11","Buena",0.081,0,0.173
"P11","Ni buena ni mala",0.266,0,0.38
"P11","Mala",0.327,0,0.182
"P11","Muy mala",0.266,0,0.152
"P11","No sabe",0.008,0,0.068
"P12","Muy buena",0.561,0,0.145
"P12","Buena",0.184,0,0.165
"P12","Ni buena ni mala",0.128,0,0.44
"P12","Mala",0.042,0,0.125
"P12","Muy mala",0.069,0,0.088
"P12","No sabe",0.016,0,0.037
"P15","Muy buena",0.115,0,0.14
"P15","Buena",0.107,0,0.19
"P15","Ni buena ni mala",0.29,0,0.371
"P15","Mala",0.277,0,0.171
"P15","Muy mala",0.19,0,0.082
"P15","No sabe",0.021,0,0.046
"P16","Gobierno nacional",0.112,0,0.13
"P16","Gobierno provincial",0.759,0,0.368
"P16","No sabe",0.129,0,0.502
"P17","El anterior gobierno de Arabela Carreras",0.443,0,0.244
"P17","El actual gobierno de Alberto Weretilneck",0.49,0,0.392
"P17","No sabe",0.067,0,0.364
"P18","El anterior gobierno de Alberto Fernández",0.888,0,0.398
"P18","El actual gobierno de Javier Milei",0.103,0,0.322
"P18","No sabe",0.009,0,0.28
"P19","Muy buena",0.07,0,0.046
"P19","Buena",0.125,0,0.24
"P19","Ni buena ni mala",0.276,0,0.34
"P19","Mala",0.319,0,0.266
"P19","Muy mala",0.201,0,0.085
"P19","No sabe",0.009,0,0.023
"P20","Muy buena",0.054,0,0.052
"P20","Buena",0.057,0,0.105
"P20","Ni buena ni mala",0.247,0,0.353
"P20","Mala",0.376,0,0.263
"P20","Muy mala",0.251,0,0.171
"P20","No sabe",0.015,0,0.056
"P21","Muy buena",0.054,0,0.032
"P21","Buena",0.096,0,0.129
"P21","Ni buena ni mala",0.243,0,0.309
"P21","Mala",0.384,0,0.302
"P21","Muy mala",0.213,0,0.148
"P21","No sabe",0.01,0,0.08
"P22","Muy de acuerdo",0.255,0,0.169
"P22","De acuerdo",0.188,0,0.197
"P22","Ni de acuerdo ni en desacuerdo",0.276,0,0.294
"P22","En desacuerdo",0.159,0,0.131
"P22","Muy en desacuerdo",0.094,0,0.07
"P22","No sabe",0.028,0,0.139
"P23","El estado nacional",0.286,0,0.157
"P23","El estado provincial",0.243,0,0.367
"P23","Ambos de forma coordinada",0.361,0,0.278
"P23","No sabe",0.11,0,0.198
"P24","Inseguridad y narcotráfico",0.321,0,0.233
"P24","Altos impuestos y tarifas",0.203,0,0.213
"P24","Educación y estado de las escuelas",0.197,0,0.308
"P24","Inflación",0.152,0,0.184
"P24","Estado de la salud",0.029,0,0.01
"P24","Corrupción",0.076,0,0.031
"P24","Pobreza",0.013,0,0.003
"P24","Medio ambiente, incendios y contaminación",0,0,0
"P24","Falta de trabajo",0.004,0,0.004
"P24","No sabe",0.005,0,0.014
"P28","Muy buena",0.084,0,0.007
"P28","Buena",0.073,0,0.092
"P28","Ni buena ni mala",0.297,0,0.365
"P28","Mala",0.366,0,0.328
"P28","Muy mala",0.158,0,0.141
"P28","No sabe",0.022,0,0.067
"P29","Peor",0.514,0,0.425
"P29","Igual",0.357,0,0.255
"P29","Mejor",0.054,0,0.193
"P29","No sabe",0.075,0,0.127
"P30","Peor",0.404,0,0.355
"P30","Igual",0.312,0,0.15
"P30","Mejor",0.208,0,0.325
"P30","No sabe",0.076,0,0.17
"P32","Muy buena",0.127,0,0.072
"P32","Buena",0.084,0,0.177
"P32","Ni buena ni mala",0.222,0,0.438
"P32","Mala",0.338,0,0.154
"P32","Muy mala",0.22,0,0.062
"P32","No sabe",0.009,0,0.097
"P34","Muy buena",0.086,0,0.12
"P34","Buena",0.053,0,0.111
"P34","Ni buena ni mala",0.22,0,0.412
"P34","Mala",0.299,0,0.179
"P34","Muy mala",0.321,0,0.084
"P34","No sabe",0.021,0,0.094
"P35","Muy buena",0.233,0,0.033
"P35","Buena",0.218,0,0.199
"P35","Ni buena ni mala",0.342,0,0.418
"P35","Mala",0.084,0,0.12
"P35","Muy mala",0.091,0,0.138
"P35","No sabe",0.032,0,0.092
"P36","Muy buena",0.069,0,0.072
"P36","Buena",0.045,0,0.015
"P36","Ni buena ni mala",0.075,0,0.241
"P36","Mala",0.224,0,0.263
"P36","Muy mala",0.58,0,0.365
"P36","No sabe",0.007,0,0.044
"P37","Muy buena",0.238,0,0.033
"P37","Buena",0.251,0,0.075
"P37","Ni buena ni mala",0.23,0,0.226
"P37","Mala",0.179,0,0.29
"P37","Muy mala",0.1,0,0.29
"P37","No sabe",0.002,0,0.086
"P38","Muy buena",0.056,0,0.037
"P38","Buena",0.04,0,0.04
"P38","Ni buena ni mala",0.061,0,0.152
"P38","Mala",0.224,0,0.337
"P38","Muy mala",0.619,0,0.371
"P38","No sabe",0,0,0.063
"P39","Muy buena",0.039,0,0.095
"P39","Buena",0.032,0,0.038
"P39","Ni buena ni mala",0.053,0,0.253
