"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.038,0.042,0.034,0.083,0.009,0.034,0.051,0.065,0.036,0.007,0.036,0.022,0.096,0.059,0.023,0.043,0.025,0.083,6
"Buena",0.13,0.103,0.156,0.201,0.084,0.118,0.158,0.142,0.141,0.097,0.169,0.126,0.125,0.153,0.129,0.067,0.209,0.135,6
"Ni buena ni mala",0.302,0.355,0.249,0.229,0.307,0.296,0.425,0.345,0.277,0.288,0.365,0.237,0.32,0.318,0.265,0.321,0.265,0.389,6
"Mala",0.299,0.301,0.297,0.203,0.348,0.357,0.232,0.264,0.308,0.329,0.262,0.348,0.322,0.234,0.347,0.34,0.282,0.079,6
"Muy mala",0.208,0.176,0.241,0.26,0.231,0.183,0.093,0.145,0.234,0.248,0.156,0.252,0.124,0.223,0.22,0.197,0.206,0.31,6
"No sabe",0.023,0.023,0.023,0.024,0.021,0.012,0.041,0.039,0.004,0.031,0.012,0.015,0.013,0.013,0.016,0.032,0.013,0.004,6
"Positiva",0.168,0.145,0.19,0.284,0.093,0.152,0.209,0.207,0.177,0.104,0.205,0.148,0.221,0.212,0.152,0.11,0.234,0.218,4
"Neutra",0.302,0.355,0.249,0.229,0.307,0.296,0.425,0.345,0.277,0.288,0.365,0.237,0.32,0.318,0.265,0.321,0.265,0.389,4
"Negativa",0.507,0.477,0.538,0.463,0.579,0.54,0.325,0.409,0.542,0.577,0.418,0.6,0.446,0.457,0.567,0.537,0.488,0.389,4
"No sabe",0.023,0.023,0.023,0.024,0.021,0.012,0.041,0.039,0.004,0.031,0.012,0.015,0.013,0.013,0.016,0.032,0.013,0.004,4
