"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.134,0.129,0.138,0.23,0.09,0.11,0.147,0.168,0.151,0.069,0.117,0.191,0.177,0.098,0.167,0.116,0.165,0.076,6
"Buena",0.137,0.116,0.159,0.15,0.13,0.116,0.172,0.104,0.144,0.163,0.076,0.289,0.034,0.032,0.266,0.141,0.14,0.084,6
"Ni buena ni mala",0.156,0.184,0.128,0.139,0.165,0.166,0.142,0.149,0.173,0.139,0.14,0.232,0.123,0.097,0.226,0.18,0.127,0.146,6
"Mala",0.237,0.246,0.229,0.2,0.238,0.263,0.25,0.265,0.242,0.2,0.296,0.114,0.191,0.268,0.181,0.247,0.222,0.252,6
"Muy mala",0.321,0.319,0.323,0.26,0.364,0.343,0.26,0.288,0.279,0.421,0.352,0.172,0.47,0.497,0.147,0.306,0.327,0.418,6
"No sabe",0.015,0.006,0.023,0.021,0.013,0.002,0.029,0.026,0.011,0.008,0.019,0.002,0.005,0.008,0.013,0.01,0.019,0.024,6
"Positiva",0.271,0.245,0.297,0.38,0.22,0.226,0.319,0.272,0.295,0.232,0.193,0.48,0.211,0.13,0.433,0.257,0.305,0.16,4
"Neutra",0.156,0.184,0.128,0.139,0.165,0.166,0.142,0.149,0.173,0.139,0.14,0.232,0.123,0.097,0.226,0.18,0.127,0.146,4
"Negativa",0.558,0.565,0.552,0.46,0.602,0.606,0.51,0.553,0.521,0.621,0.648,0.286,0.661,0.765,0.328,0.553,0.549,0.67,4
"No sabe",0.015,0.006,0.023,0.021,0.013,0.002,0.029,0.026,0.011,0.008,0.019,0.002,0.005,0.008,0.013,0.01,0.019,0.024,4
