"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.116,0.123,0.109,0.185,0.078,0.089,0.142,0.19,0.103,0.038,0.16,0.094,0.078,0.178,0.041,0.118,0.093,0.235,6
"Buena",0.16,0.126,0.193,0.164,0.132,0.179,0.203,0.108,0.192,0.175,0.27,0.113,0.091,0.202,0.139,0.152,0.177,0.123,6
"Ni buena ni mala",0.325,0.335,0.315,0.22,0.343,0.384,0.376,0.367,0.298,0.315,0.375,0.236,0.305,0.322,0.311,0.341,0.314,0.268,6
"Mala",0.228,0.253,0.203,0.212,0.251,0.233,0.181,0.17,0.252,0.264,0.128,0.322,0.305,0.161,0.316,0.243,0.21,0.207,6
"Muy mala",0.15,0.148,0.153,0.18,0.179,0.108,0.078,0.144,0.129,0.195,0.038,0.229,0.221,0.118,0.176,0.132,0.172,0.167,6
"No sabe",0.021,0.015,0.027,0.039,0.017,0.007,0.02,0.021,0.026,0.013,0.029,0.006,0,0.019,0.017,0.014,0.034,0,6
"Positiva",0.276,0.249,0.302,0.349,0.21,0.268,0.345,0.298,0.295,0.213,0.43,0.207,0.169,0.38,0.18,0.27,0.27,0.358,4
"Neutra",0.325,0.335,0.315,0.22,0.343,0.384,0.376,0.367,0.298,0.315,0.375,0.236,0.305,0.322,0.311,0.341,0.314,0.268,4
"Negativa",0.378,0.401,0.356,0.392,0.43,0.341,0.259,0.314,0.381,0.459,0.166,0.551,0.526,0.279,0.492,0.375,0.382,0.374,4
"No sabe",0.021,0.015,0.027,0.039,0.017,0.007,0.02,0.021,0.026,0.013,0.029,0.006,0,0.019,0.017,0.014,0.034,0,4
