"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.268,0.318,0.217,0.383,0.23,0.233,0.216,0.314,0.251,0.232,0.185,0.401,0.179,0.093,0.44,0.285,0.253,0.216,6
"Buena",0.14,0.123,0.156,0.13,0.119,0.149,0.203,0.108,0.147,0.17,0.122,0.248,0.042,0.048,0.217,0.142,0.139,0.131,6
"Ni buena ni mala",0.203,0.213,0.193,0.191,0.24,0.182,0.151,0.268,0.209,0.105,0.27,0.143,0.101,0.175,0.206,0.235,0.159,0.213,6
"Mala",0.135,0.116,0.155,0.088,0.123,0.171,0.202,0.125,0.16,0.107,0.179,0.062,0.227,0.207,0.059,0.13,0.134,0.182,6
"Muy mala",0.24,0.214,0.266,0.205,0.267,0.259,0.198,0.162,0.223,0.376,0.232,0.133,0.441,0.468,0.063,0.2,0.292,0.251,6
"No sabe",0.014,0.016,0.013,0.003,0.021,0.006,0.03,0.023,0.01,0.01,0.012,0.013,0.01,0.009,0.015,0.008,0.023,0.007,6
"Positiva",0.408,0.441,0.373,0.513,0.349,0.382,0.419,0.422,0.398,0.402,0.307,0.649,0.221,0.141,0.657,0.427,0.392,0.347,4
"Neutra",0.203,0.213,0.193,0.191,0.24,0.182,0.151,0.268,0.209,0.105,0.27,0.143,0.101,0.175,0.206,0.235,0.159,0.213,4
"Negativa",0.375,0.33,0.421,0.293,0.39,0.43,0.4,0.287,0.383,0.483,0.411,0.195,0.668,0.675,0.122,0.33,0.426,0.433,4
"No sabe",0.014,0.016,0.013,0.003,0.021,0.006,0.03,0.023,0.01,0.01,0.012,0.013,0.01,0.009,0.015,0.008,0.023,0.007,4
