"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Inseguridad y narcotráfico",0.316,0.327,0.305,0.303,0.348,0.329,0.229,0.312,0.331,0.297,0.312,0.319,0.438,0.395,0.247,0.306,0.327,0.332
"Altos impuestos y tarifas",0.215,0.211,0.219,0.263,0.201,0.195,0.21,0.252,0.209,0.18,0.213,0.29,0.06,0.15,0.261,0.213,0.221,0.187
"Educación y estado de las escuelas",0.182,0.198,0.165,0.186,0.165,0.142,0.286,0.194,0.196,0.145,0.204,0.138,0.232,0.149,0.222,0.192,0.164,0.217
"Inflación",0.178,0.185,0.171,0.172,0.154,0.224,0.18,0.18,0.171,0.188,0.19,0.152,0.114,0.197,0.165,0.202,0.161,0.087
"Estado de la salud",0.028,0.028,0.029,0.017,0.035,0.035,0.016,0.008,0.018,0.068,0.016,0.028,0.057,0.034,0.027,0.033,0.025,0.01
"Corrupción",0.052,0.033,0.071,0.025,0.075,0.05,0.034,0.043,0.041,0.079,0.05,0.054,0.046,0.045,0.061,0.039,0.071,0.04
"Pobreza",0.009,0.008,0.01,0.006,0.01,0.012,0.009,0,0.011,0.018,0.006,0.007,0.002,0.009,0.01,0.007,0.013,0
"Medio ambiente, incendios y contaminación",0.003,0.006,0.001,0,0.005,0.001,0.008,0.003,0.003,0.004,0.005,0.004,0,0.006,0,0.001,0.004,0.017
"Falta de trabajo",0.007,0.002,0.011,0.008,0.005,0.005,0.01,0,0.006,0.015,0.002,0.001,0.041,0.01,0.004,0.002,0.008,0.031
"No sabe",0.01,0.002,0.018,0.02,0.002,0.007,0.018,0.008,0.014,0.006,0.002,0.007,0.01,0.005,0.003,0.005,0.006,0.079
