"var","categoria","Peor","Igual","Mejor","No sabe"
"P10","Gran excedente habitual",0.018,0,0.001,0.005
"P10","Gran excedente excepcional",0,0,0.031,0.002
"P10","Pequeño excedente habitual",0.019,0,0.08,0.009
"P10","Pequeño excedente excepcional",0.044,0,0.029,0.01
"P10","Alcanza gastos familia",0.078,0,0.161,0.115
"P10","No alcanza gastos familia",0.106,0,0.11,0.187
"P10","Solo NBFamiliares",0.256,0,0.287,0.188
"P10","No alcanza NBFamiliares",0.473,0,0.285,0.42
"P10","No sabe",0.006,0,0.016,0.064
"P11","Muy buena",0.1,0,0.079,0.054
"P11","Buena",0.143,0,0.168,0.154
"P11","Ni buena ni mala",0.276,0,0.404,0.419
"P11","Mala",0.245,0,0.226,0.258
"P11","Muy mala",0.212,0,0.122,0.065
"P11","No sabe",0.024,0,0.001,0.05
"P12","Muy buena",0.211,0,0.405,0.229
"P12","Buena",0.073,0,0.171,0.171
"P12","Ni buena ni mala",0.155,0,0.252,0.195
"P12","Mala",0.155,0,0.055,0.199
"P12","Muy mala",0.392,0,0.107,0.155
"P12","No sabe",0.014,0,0.01,0.051
"P15","Muy buena",0.137,0,0.146,0.077
"P15","Buena",0.151,0,0.267,0.258
"P15","Ni buena ni mala",0.289,0,0.354,0.344
"P15","Mala",0.227,0,0.141,0.147
"P15","Muy mala",0.167,0,0.073,0.104
"P15","No sabe",0.029,0,0.019,0.07
"P16","Gobierno nacional",0.442,0,0.137,0.282
"P16","Gobierno provincial",0.406,0,0.572,0.444
"P16","No sabe",0.152,0,0.291,0.274
"P17","El anterior gobierno de Arabela Carreras",0.324,0,0.582,0.526
"P17","El actual gobierno de Alberto Weretilneck",0.584,0,0.312,0.233
"P17","No sabe",0.092,0,0.106,0.241
"P18","El anterior gobierno de Alberto Fernández",0.29,0,0.637,0.475
"P18","El actual gobierno de Javier Milei",0.674,0,0.337,0.49
"P18","No sabe",0.036,0,0.026,0.035
"P19","Muy buena",0.047,0,0.035,0.085
"P19","Buena",0.192,0,0.16,0.234
"P19","Ni buena ni mala",0.218,0,0.34,0.275
"P19","Mala",0.315,0,0.294,0.262
"P19","Muy mala",0.209,0,0.162,0.116
"P19","No sabe",0.019,0,0.009,0.028
"P20","Muy buena",0.062,0,0.036,0.004
"P20","Buena",0.12,0,0.128,0.189
"P20","Ni buena ni mala",0.23,0,0.303,0.292
"P20","Mala",0.296,0,0.369,0.323
"P20","Muy mala",0.273,0,0.147,0.138
"P20","No sabe",0.019,0,0.017,0.054
"P21","Muy buena",0.049,0,0.016,0.003
"P21","Buena",0.097,0,0.157,0.08
"P21","Ni buena ni mala",0.287,0,0.327,0.412
"P21","Mala",0.301,0,0.284,0.356
"P21","Muy mala",0.25,0,0.17,0.099
"P21","No sabe",0.016,0,0.046,0.05
"P22","Muy de acuerdo",0.373,0,0.35,0.28
"P22","De acuerdo",0.178,0,0.224,0.189
"P22","Ni de acuerdo ni en desacuerdo",0.223,0,0.173,0.324
"P22","En desacuerdo",0.113,0,0.108,0.098
"P22","Muy en desacuerdo",0.078,0,0.043,0.05
"P22","No sabe",0.035,0,0.102,0.059
"P23","El estado nacional",0.191,0,0.158,0.044
"P23","El estado provincial",0.51,0,0.321,0.466
"P23","Ambos de forma coordinada",0.222,0,0.386,0.342
"P23","No sabe",0.077,0,0.135,0.148
"P24","Inseguridad y narcotráfico",0.534,0,0.11,0.116
"P24","Altos impuestos y tarifas",0.084,0,0.151,0.127
"P24","Educación y estado de las escuelas",0.099,0,0.511,0.155
"P24","Inflación",0.168,0,0.146,0.423
"P24","Estado de la salud",0.037,0,0.023,0.021
"P24","Corrupción",0.055,0,0.017,0.067
"P24","Pobreza",0.009,0,0.023,0.014
"P24","Medio ambiente, incendios y contaminación",0.003,0,0,0
"P24","Falta de trabajo",0.008,0,0.014,0
"P24","No sabe",0.003,0,0.005,0.077
"P28","Muy buena",0.075,0,0.027,0.027
"P28","Buena",0.046,0,0.121,0.089
"P28","Ni buena ni mala",0.247,0,0.432,0.462
"P28","Mala",0.381,0,0.309,0.265
"P28","Muy mala",0.198,0,0.093,0.037
"P28","No sabe",0.053,0,0.018,0.12
"P29","Peor",0.758,0,0.263,0.214
"P29","Igual",0.123,0,0.471,0.32
"P29","Mejor",0.05,0,0.206,0.079
"P29","No sabe",0.069,0,0.06,0.387
"P31","Javier Milei",0.336,0,0.519,0.345
"P31","Los gobernadores",0.571,0,0.226,0.41
"P31","No sabe",0.093,0,0.255,0.245
"P32","Muy buena",0.146,0,0.209,0.08
"P32","Buena",0.214,0,0.159,0.352
"P32","Ni buena ni mala",0.274,0,0.315,0.269
"P32","Mala",0.179,0,0.234,0.197
"P32","Muy mala",0.16,0,0.043,0.067
"P32","No sabe",0.027,0,0.04,0.035
"P34","Muy buena",0.186,0,0.113,0.085
"P34","Buena",0.22,0,0.14,0.158
"P34","Ni buena ni mala",0.215,0,0.351,0.391
"P34","Mala",0.163,0,0.227,0.108
"P34","Muy mala",0.171,0,0.141,0.183
"P34","No sabe",0.045,0,0.028,0.075
"P35","Muy buena",0.164,0,0.112,0.09
"P35","Buena",0.111,0,0.246,0.123
"P35","Ni buena ni mala",0.33,0,0.38,0.475
"P35","Mala",0.175,0,0.152,0.115
"P35","Muy mala",0.177,0,0.092,0.032
"P35","No sabe",0.043,0,0.018,0.165
"P36","Muy buena",0.401,0,0.075,0.164
"P36","Buena",0.096,0,0.036,0.085
"P36","Ni buena ni mala",0.126,0,0.169,0.185
"P36","Mala",0.131,0,0.218,0.094
"P36","Muy mala",0.235,0,0.499,0.432
"P36","No sabe",0.011,0,0.003,0.04
"P37","Muy buena",0.153,0,0.143,0.063
"P37","Buena",0.086,0,0.204,0.101
"P37","Ni buena ni mala",0.101,0,0.185,0.177
"P37","Mala",0.234,0,0.258,0.283
"P37","Muy mala",0.416,0,0.207,0.343
"P37","No sabe",0.01,0,0.003,0.033
"P38","Muy buena",0.167,0,0.017,0.065
"P38","Buena",0.145,0,0.085,0.123
"P38","Ni buena ni mala",0.199,0,0.127,0.131
"P38","Mala",0.174,0,0.257,0.123
"P38","Muy mala",0.31,0,0.514,0.501
"P38","No sabe",0.005,0,0,0.057
"P39","Muy buena",0.336,0,0.089,0.111
"P39","Buena",0.118,0,0.043,0.09
"P39","Ni buena ni mala",0.141,0,0.156,0.205
"P39","Mala",0.117,0,0.227,0.077
"P39","Muy mala",0.277,0,0.472,0.455
"P39","No sabe",0.011,0,0.013,0.062
"P40","Muy buena",0.237,0,0.42,0.25
"P40","Buena",0.069,0,0.249,0.219
"P40","Ni buena ni mala",0.103,0,0.117,0.16
"P40","Mala",0.154,0,0.08,0.133
"P40","Muy mala",0.415,0,0.134,0.196
"P40","No sabe",0.022,0,0,0.042
"P41","Muy buena",0.192,0,0.38,0.16
"P41","Buena",0.111,0,0.249,0.326
"P41","Ni buena ni mala",0.078,0,0.143,0.109
"P41","Mala",0.194,0,0.105,0.114
"P41","Muy mala",0.413,0,0.123,0.246
"P41","No sabe",0.012,0,0,0.045
"P42","Muy buena",0.231,0,0.402,0.277
"P42","Buena",0.077,0,0.222,0.111
"P42","Ni buena ni mala",0.153,0,0.178,0.318
"P42","Mala",0.154,0,0.077,0.132
"P42","Muy mala",0.368,0,0.11,0.108
"P42","No sabe",0.017,0,0.011,0.054
"P43","Muy buena",0.08,0,0.113,0.07
"P43","Buena",0.112,0,0.24,0.135
"P43","Ni buena ni mala",0.385,0,0.469,0.505
"P43","Mala",0.185,0,0.113,0.1
"P43","Muy mala",0.218,0,0.033,0.035
"P43","No sabe",0.02,0,0.032,0.155
