"var","categoria","Seguro lo votaria","Quizás lo votaría","Nunca lo votaría"
"P04","Tengo trabajo estable",0.398,0.468,0.468
"P04","Realizo changas o trabajos de vez en cuando",0.244,0.186,0.146
"P04","No tengo trabajo",0.203,0.166,0.15
"P04","Soy jubilado o pensionado",0.155,0.18,0.236
"P05","1",0.45,0.402,0.365
"P05","2",0.089,0.098,0.069
"P05","3",0.07,0.081,0.078
"P05","4",0.067,0.086,0.113
"P05","5",0.141,0.163,0.204
"P05","6",0.028,0.036,0.043
"P05","7",0.003,0.035,0.042
"P05","8",0.031,0.017,0.025
"P05","9",0.121,0.082,0.061
"P06","1",0.258,0.173,0.191
"P06","2",0.041,0.046,0.048
"P06","3",0.039,0.031,0.022
"P06","4",0.036,0.028,0.047
"P06","5",0.158,0.19,0.233
"P06","6",0.06,0.047,0.067
"P06","7",0.036,0.105,0.082
"P06","8",0.041,0.077,0.082
"P06","9",0.331,0.303,0.228
"P07","1",0.27,0.234,0.254
"P07","2",0.031,0.037,0.038
"P07","3",0.014,0.028,0.037
"P07","4",0.008,0.019,0.026
"P07","5",0.11,0.125,0.14
"P07","6",0.018,0.022,0.029
"P07","7",0.038,0.05,0.041
"P07","8",0.039,0.074,0.056
"P07","9",0.472,0.411,0.379
"P12","A Horacio Rodriguez Larreta",0.405,0.233,0.229
"P12","A Mauricio Macri",0.331,0.442,0.282
"P12","A Patricia Bullrich",0.169,0.245,0.306
"P12","A Facundo Manes",0.054,0.059,0.13
"P12","A Gerardo Morales",0.041,0.021,0.053
"P14","Lo votaría",0.645,0.541,0.481
"P14","Puede que lo vote",0.215,0.347,0.214
"P14","Nunca lo votaría",0.121,0.082,0.267
"P14","No sabe",0.019,0.03,0.038
"P15","Lo votaría",0.136,0.134,0.103
"P15","Puede que lo vote",0.121,0.091,0.084
"P15","Nunca lo votaría",0.716,0.728,0.785
"P15","No sabe",0.027,0.047,0.028
"P16","Lo votaría",0.053,0.046,0.042
"P16","Puede que lo vote",0.063,0.055,0.037
"P16","Nunca lo votaría",0.862,0.882,0.903
"P16","No sabe",0.022,0.017,0.018
"P17","La votaría",0.083,0.036,0.058
"P17","Puede que la vote",0.019,0.044,0.015
"P17","Nunca la votaría",0.891,0.909,0.915
"P17","No sabe",0.007,0.011,0.012
"P18","Lo votaría",0.422,0.272,0.311
"P18","Puede que lo vote",0.287,0.433,0.379
"P18","Nunca lo votaría",0.275,0.263,0.274
"P18","No sabe",0.016,0.032,0.036
"P19","Lo votaría",0.236,0.121,0.2
"P19","Puede que lo vote",0.293,0.405,0.351
"P19","Nunca lo votaría",0.361,0.405,0.39
"P19","No sabe",0.11,0.069,0.059
"P20","La votaría",0.448,0.468,0.462
"P20","Puede que la vote",0.278,0.321,0.307
"P20","Nunca la votaría",0.22,0.166,0.196
"P20","No sabe",0.054,0.045,0.035
"P21","Lo votaría",0.359,0.132,0.112
"P21","Puede que lo vote",0.323,0.556,0.126
"P21","Nunca lo votaría",0.272,0.253,0.73
"P21","No sabe",0.046,0.059,0.032
"P22","La votaría",0.288,0.226,0.24
"P22","Puede que la vote",0.288,0.44,0.344
"P22","Nunca la votaría",0.339,0.263,0.36
"P22","No sabe",0.085,0.071,0.056
"P23","Lo votaría",0.055,0.047,0.044
"P23","Puede que lo vote",0.09,0.089,0.08
"P23","Nunca lo votaría",0.821,0.829,0.848
"P23","No sabe",0.034,0.035,0.028
"P24","Lo votaría",0.125,0.056,0.122
"P24","Puede que lo vote",0.222,0.256,0.287
"P24","Nunca lo votaría",0.562,0.596,0.523
"P24","No sabe",0.091,0.092,0.068
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.434,0.6,0.494
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.285,0.221,0.294
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.028,0.015,0.01
