"var","categoria","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P06","Mucho",0.543,0.433,0.455,0.356
"P06","Bastante",0.328,0.35,0.343,0.358
"P06","Poco",0.101,0.16,0.18,0.226
"P06","Nada",0.023,0.05,0.022,0.037
"P06","No sabe",0.005,0.007,0,0.023
"P07","Siempre",0.296,0.25,0.282,0.233
"P07","Casi siempre",0.446,0.381,0.465,0.409
"P07","Casi nunca",0.218,0.26,0.192,0.27
"P07","Nunca, pero esta es una excepción",0.04,0.109,0.061,0.088
"P09","Gran excedente habitual",0.023,0.009,0.005,0.001
"P09","Gran excedente excepcional",0.01,0.006,0.01,0.005
"P09","Pequeño excedente habitual",0.099,0.054,0.055,0.036
"P09","Pequeño excedente excepcional",0.148,0.147,0.115,0.102
"P09","Alcanza gastos familia",0.114,0.128,0.103,0.104
"P09","No alcanza gastos familia",0.077,0.06,0.059,0.109
"P09","Solo NBFamiliares",0.27,0.276,0.257,0.286
"P09","No alcanza NBFamiliares",0.254,0.317,0.396,0.35
"P09","No sabe",0.005,0.003,0,0.007
"P10","Tiene Decidido que va a ir a votar",0.93,0.91,0.852,0.833
"P10","Tiene dudas sobre si va a ir a  votar",0.059,0.075,0.114,0.11
"P10","Tiene Decidido que no va a ir a votar",0.011,0.015,0.034,0.057
"P13","Unión por la Patria",0.791,0.03,0.132,0.108
"P13","Juntos por el Cambio ",0.078,0.341,0.588,0.398
"P13","Liberales",0.031,0.458,0.107,0.096
"P13","Izquierda",0.028,0.023,0.051,0.069
"P13","Hacemos por Nuestro país",0.02,0.103,0.066,0.055
"P13","No sabe",0.052,0.045,0.056,0.274
"P18","Sergio Massa presidente, Agustín Rossi vicepresidente y Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.802,0.066,0.124,0.107
"P18","Patricia Bullrich presidenta, Luis Petri vicepresidente y Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.097,0.422,0.652,0.475
"P18","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.061,0.463,0.093,0.053
"P18","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.006,0.015,0.034,0.02
"P18","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González por el Frente de Izquierda",0.012,0.014,0.02,0.098
