"var","categoria","Fomentar la competencia entre proveedores","Incrementar la inversión en infraestructura","Implementar políticas de subsidios focalizados en grupos vulnerables","Realizar auditorías periódicas a las empresas de servicios públicos"
"P06","Mucho",0.512,0.496,0.573,0.459
"P06","Bastante",0.326,0.371,0.266,0.382
"P06","Poco",0.133,0.089,0.151,0.133
"P06","Nada",0.025,0.032,0.01,0.015
"P06","No sabe",0.004,0.012,0,0.011
"P07","Siempre",0.294,0.276,0.334,0.261
"P07","Casi siempre",0.394,0.505,0.425,0.456
"P07","Casi nunca",0.254,0.179,0.195,0.201
"P07","Nunca, pero esta es una excepción",0.058,0.04,0.046,0.082
"P09","Gran excedente habitual",0.012,0.015,0.018,0.011
"P09","Gran excedente excepcional",0.005,0.011,0.007,0.008
"P09","Pequeño excedente habitual",0.069,0.1,0.083,0.062
"P09","Pequeño excedente excepcional",0.157,0.153,0.171,0.143
"P09","Alcanza gastos familia",0.121,0.103,0.056,0.113
"P09","No alcanza gastos familia",0.075,0.05,0.063,0.088
"P09","Solo NBFamiliares",0.243,0.332,0.282,0.261
"P09","No alcanza NBFamiliares",0.316,0.232,0.316,0.305
"P09","No sabe",0.002,0.004,0.004,0.009
"P10","Tiene Decidido que va a ir a votar",0.883,0.912,0.835,0.91
"P10","Tiene dudas sobre si va a ir a  votar",0.091,0.065,0.156,0.062
"P10","Tiene Decidido que no va a ir a votar",0.026,0.023,0.009,0.028
"P13","Unión por la Patria",0.241,0.379,0.638,0.45
"P13","Juntos por el Cambio ",0.298,0.359,0.134,0.235
"P13","Liberales",0.304,0.142,0.089,0.14
"P13","Izquierda",0.031,0.034,0.033,0.05
"P13","Hacemos por Nuestro país",0.063,0.019,0.025,0.074
"P13","No sabe",0.063,0.067,0.081,0.051
"P18","Sergio Massa presidente, Agustín Rossi vicepresidente y Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.252,0.363,0.604,0.477
"P18","Patricia Bullrich presidenta, Luis Petri vicepresidente y Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.401,0.414,0.215,0.271
"P18","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.267,0.156,0.118,0.163
"P18","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.008,0.014,0.007,0.014
"P18","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González por el Frente de Izquierda",0.023,0.004,0.01,0.05
"P18","En blanco",0.024,0.027,0.028,0.01
"P18","No sabe",0.025,0.022,0.018,0.015
"P21","Totalmente seguro",0.689,0.739,0.712,0.732
"P21","Bastante seguro",0.127,0.15,0.153,0.113
"P21","Algo seguro",0.134,0.064,0.098,0.092
"P21","Para nada seguro",0.05,0.047,0.037,0.063
"P32","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.088,0.11,0.061,0.07
"P32","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.12,0.044,0.047,0.067
"P32","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.357,0.274,0.203,0.187
"P32","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.251,0.275,0.261,0.237
"P32","En blanco",0.107,0.197,0.215,0.303
"P32","No sabe",0.077,0.1,0.213,0.136
"P33","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.056,0.066,0.437,0.044
"P33","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.52,0.333,0.153,0.37
"P33","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.125,0.189,0.117,0.13
"P33","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.008,0.014,0,0.013
"P33","En blanco",0.176,0.291,0.209,0.259
"P33","No sabe",0.115,0.107,0.084,0.184
"P34","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.145,0.234,0.426,0.047
"P34","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.439,0.402,0.152,0.309
"P34","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.176,0.09,0.407,0.078
"P34","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.008,0,0,0.01
"P34","En blanco",0.18,0.254,0.004,0.473
"P34","No sabe",0.052,0.02,0.011,0.083
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.468,0.365,0.223,0.291
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.24,0.228,0.087,0.137
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.169,0.193,0.457,0.319
