"var","categoria","Sergio Massa y Javier Milei","Patricia Bullrich y Javier Milei","Sergio Massa y Patricia Bullrich"
"P06","Mucho",0.538,0.433,0.456
"P06","Bastante",0.323,0.369,0.325
"P06","Poco",0.114,0.165,0.165
"P06","Nada",0.023,0.024,0.037
"P06","No sabe",0.002,0.009,0.017
"P07","Siempre",0.28,0.261,0.365
"P07","Casi siempre",0.435,0.43,0.354
"P07","Casi nunca",0.232,0.239,0.207
"P07","Nunca, pero esta es una excepción",0.053,0.07,0.074
"P09","Gran excedente habitual",0.021,0.006,0
"P09","Gran excedente excepcional",0.011,0.007,0.008
"P09","Pequeño excedente habitual",0.094,0.045,0.044
"P09","Pequeño excedente excepcional",0.154,0.138,0.111
"P09","Alcanza gastos familia",0.107,0.118,0.156
"P09","No alcanza gastos familia",0.084,0.042,0.057
"P09","Solo NBFamiliares",0.275,0.279,0.296
"P09","No alcanza NBFamiliares",0.25,0.362,0.317
"P09","No sabe",0.004,0.003,0.011
"P10","Tiene Decidido que va a ir a votar",0.899,0.912,0.831
"P10","Tiene dudas sobre si va a ir a  votar",0.071,0.078,0.162
"P10","Tiene Decidido que no va a ir a votar",0.03,0.01,0.007
"P13","Unión por la Patria",0.594,0.127,0.476
"P13","Juntos por el Cambio ",0.067,0.504,0.287
"P13","Liberales",0.184,0.236,0.055
"P13","Izquierda",0.051,0.02,0.035
"P13","Hacemos por Nuestro país",0.044,0.05,0.058
"P13","No sabe",0.06,0.063,0.089
"P18","Sergio Massa presidente, Agustín Rossi vicepresidente y Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.595,0.124,0.554
"P18","Patricia Bullrich presidenta, Luis Petri vicepresidente y Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.124,0.599,0.305
"P18","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.194,0.225,0.042
"P18","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.016,0.006,0.008
"P18","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González por el Frente de Izquierda",0.033,0.008,0.04
"P18","En blanco",0.019,0.021,0.019
"P18","No sabe",0.019,0.017,0.032
"P21","Totalmente seguro",0.738,0.701,0.705
"P21","Bastante seguro",0.111,0.163,0.103
"P21","Algo seguro",0.1,0.089,0.117
"P21","Para nada seguro",0.051,0.047,0.075
"P32","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.078,0.191,0.08
"P32","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.061,0.156,0.015
"P32","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.23,0.15,0.341
"P32","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.264,0.217,0.206
"P32","En blanco",0.251,0.187,0.187
"P32","No sabe",0.116,0.099,0.171
"P33","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.257,0.044,0.17
"P33","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.546,0.411,0.073
"P33","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.139,0.129,0.155
"P33","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0,0.015,0.005
"P33","En blanco",0.028,0.245,0.531
"P33","No sabe",0.03,0.156,0.066
"P34","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.296,0.051,0
"P34","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.248,0.567,0.658
"P34","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.155,0.134,0.183
"P34","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.01,0.04,0
"P34","En blanco",0.235,0.166,0.159
"P34","No sabe",0.056,0.042,0
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.258,0.519,0.252
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.143,0.228,0.163
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.365,0.115,0.344
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.113,0.04,0.126
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.072,0.046,0.046
"P36","No sabe",0.049,0.052,0.069
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.65,0.139,0.505
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.134,0.722,0.31
"P37","En blanco",0.149,0.075,0.088
"P37","No sabe",0.067,0.064,0.097
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.179,0.596,0.351
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.222,0.247,0.068
"P38","En blanco",0.408,0.091,0.339
"P38","No sabe",0.191,0.066,0.242
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.65,0.149,0.58
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.23,0.485,0.082
"P39","En blanco",0.062,0.225,0.185
"P39","No sabe",0.058,0.141,0.153
"P45","Lo votaría",0.65,0.133,0.534
"P45","Puede que lo vote",0.088,0.08,0.086
"P45","Nunca lo votaría",0.21,0.766,0.316
"P45","No sabe",0.052,0.021,0.064
"P46","Lo votaría",0.154,0.547,0.303
"P46","Puede que lo vote",0.093,0.156,0.115
"P46","Nunca lo votaría",0.696,0.257,0.544
"P46","No sabe",0.057,0.04,0.038
"P47","Lo votaría",0.19,0.26,0.043
"P47","Puede que lo vote",0.095,0.243,0.08
"P47","Nunca lo votaría",0.663,0.431,0.834
"P47","No sabe",0.052,0.066,0.043
"P48","Lo votaría",0.182,0.066,0.089
"P48","Puede que lo vote",0.322,0.259,0.385
"P48","Nunca lo votaría",0.432,0.623,0.408
"P48","No sabe",0.064,0.052,0.118
"P49","Lo votaría",0.102,0.068,0.114
"P49","Puede que lo vote",0.263,0.274,0.323
"P49","Nunca lo votaría",0.558,0.568,0.43
"P49","No sabe",0.077,0.09,0.133
"P50","Si",0.507,0.389,0.457
"P50","No",0.493,0.611,0.543
"P51","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.395,0.177,0.514
"P51","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.113,0.333,0.21
"P51","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.328,0.417,0.146
"P51","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.104,0.039,0.097
"P51","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.017,0.014,0.021
"P51","En blanco",0.017,0.007,0.008
"P51","No sabe",0.026,0.013,0.004
