"var","categoria","Muy positivo","Positivo","Neutral","Algo negativo","Negativo","No sabe"
"P06","Mucho",0.59,0.47,0.459,0.437,0.525,0.337
"P06","Bastante",0.293,0.395,0.365,0.416,0.327,0.292
"P06","Poco",0.089,0.089,0.152,0.077,0.131,0.321
"P06","Nada",0.027,0.038,0.016,0.03,0.014,0.042
"P06","No sabe",0.001,0.008,0.008,0.04,0.003,0.008
"P07","Siempre",0.36,0.24,0.209,0.339,0.38,0.256
"P07","Casi siempre",0.414,0.486,0.476,0.459,0.361,0.41
"P07","Casi nunca",0.165,0.226,0.258,0.16,0.207,0.252
"P07","Nunca, pero esta es una excepción",0.061,0.048,0.057,0.042,0.052,0.082
"P09","Gran excedente habitual",0.031,0.004,0.008,0.003,0.025,0
"P09","Gran excedente excepcional",0.009,0.006,0.006,0,0.013,0
"P09","Pequeño excedente habitual",0.088,0.098,0.082,0.032,0.077,0.011
"P09","Pequeño excedente excepcional",0.225,0.112,0.166,0.165,0.142,0.063
"P09","Alcanza gastos familia",0.085,0.115,0.112,0.101,0.07,0.093
"P09","No alcanza gastos familia",0.073,0.124,0.04,0.034,0.068,0.117
"P09","Solo NBFamiliares",0.251,0.292,0.285,0.377,0.249,0.334
"P09","No alcanza NBFamiliares",0.232,0.247,0.3,0.288,0.356,0.377
"P09","No sabe",0.006,0.002,0.001,0,0,0.005
"P10","Tiene Decidido que va a ir a votar",0.91,0.883,0.881,0.882,0.901,0.828
"P10","Tiene dudas sobre si va a ir a  votar",0.072,0.089,0.104,0.113,0.088,0.172
"P10","Tiene Decidido que no va a ir a votar",0.018,0.028,0.015,0.005,0.011,0
"P13","Unión por la Patria",0.782,0.405,0.164,0.032,0.037,0.156
"P13","Juntos por el Cambio ",0.072,0.232,0.385,0.531,0.427,0.328
"P13","Liberales",0.052,0.197,0.254,0.347,0.417,0.202
"P13","Izquierda",0.022,0.052,0.044,0.039,0.013,0.007
"P13","Hacemos por Nuestro país",0.049,0.061,0.064,0.003,0.051,0.156
"P13","No sabe",0.023,0.053,0.089,0.048,0.055,0.151
"P18","Sergio Massa presidente, Agustín Rossi vicepresidente y Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.762,0.436,0.159,0.109,0.052,0.143
"P18","Patricia Bullrich presidenta, Luis Petri vicepresidente y Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.1,0.259,0.512,0.679,0.555,0.501
"P18","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.106,0.209,0.232,0.177,0.321,0.156
"P18","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.002,0.006,0.02,0.028,0.008,0.104
"P18","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González por el Frente de Izquierda",0.013,0.037,0.034,0.003,0.003,0
"P18","En blanco",0.006,0.027,0.036,0,0.047,0.035
"P18","No sabe",0.011,0.026,0.007,0.004,0.014,0.061
"P21","Totalmente seguro",0.78,0.662,0.663,0.691,0.684,0.783
