"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda","En blanco","No sabe"
"P06","Mucho",0.518,0.446,0.436,0.505,0.348,0.212,0.183
"P06","Bastante",0.329,0.37,0.353,0.192,0.249,0.404,0.356
"P06","Poco",0.11,0.153,0.154,0.21,0.329,0.238,0.239
"P06","Nada",0.03,0.026,0.048,0.09,0.015,0.123,0.213
"P06","No sabe",0.013,0.005,0.009,0.003,0.059,0.023,0.009
"P07","Siempre",0.279,0.268,0.268,0.254,0.152,0.175,0.173
"P07","Casi siempre",0.429,0.458,0.365,0.354,0.184,0.426,0.33
"P07","Casi nunca",0.239,0.208,0.263,0.36,0.404,0.235,0.353
"P07","Nunca, pero esta es una excepción",0.053,0.066,0.104,0.032,0.26,0.164,0.144
"P09","Gran excedente habitual",0.02,0.004,0.018,0.028,0,0,0
"P09","Gran excedente excepcional",0.008,0.007,0.011,0.01,0.004,0,0.019
"P09","Pequeño excedente habitual",0.101,0.052,0.041,0.048,0,0,0.037
"P09","Pequeño excedente excepcional",0.15,0.102,0.129,0.168,0.209,0.128,0.074
"P09","Alcanza gastos familia",0.104,0.11,0.106,0.138,0.18,0.062,0.087
"P09","No alcanza gastos familia",0.083,0.049,0.08,0.052,0.128,0.167,0.201
"P09","Solo NBFamiliares",0.258,0.305,0.253,0.311,0.111,0.188,0.226
"P09","No alcanza NBFamiliares",0.269,0.366,0.357,0.24,0.368,0.445,0.355
"P09","No sabe",0.007,0.005,0.005,0.005,0,0.01,0.001
"P10","Tiene Decidido que va a ir a votar",0.929,0.904,0.896,0.868,0.733,0.64,0.696
"P10","Tiene dudas sobre si va a ir a  votar",0.054,0.087,0.074,0.123,0.14,0.253,0.177
"P10","Tiene Decidido que no va a ir a votar",0.017,0.009,0.03,0.009,0.127,0.107,0.127
"P13","Unión por la Patria",0.783,0.077,0.108,0.406,0.038,0.092,0.097
"P13","Juntos por el Cambio ",0.096,0.66,0.14,0.085,0.112,0.052,0.139
"P13","Liberales",0.031,0.16,0.522,0.114,0.018,0.004,0.008
"P13","Izquierda",0.019,0.042,0.018,0.204,0.266,0.01,0.105
"P13","Hacemos por Nuestro país",0.029,0.025,0.138,0.066,0.417,0.127,0.109
"P13","No sabe",0.042,0.036,0.074,0.125,0.149,0.715,0.542
"P18","Sergio Massa presidente, Agustín Rossi vicepresidente y Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.911,0.024,0.054,0.41,0.044,0.047,0.047
"P18","Patricia Bullrich presidenta, Luis Petri vicepresidente y Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.052,0.925,0.166,0.032,0.025,0.034,0.009
"P18","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.023,0.03,0.728,0.157,0.017,0,0.019
"P18","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.007,0.007,0.006,0.229,0.015,0.006,0.026
"P18","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González por el Frente de Izquierda",0.003,0.002,0.014,0.101,0.835,0.001,0.038
"P18","En blanco",0.002,0.005,0.015,0.036,0.031,0.897,0
"P18","No sabe",0.002,0.007,0.017,0.035,0.033,0.015,0.861
"P21","Totalmente seguro",0.762,0.683,0.661,0.62,0.399,0.205,0.265
"P21","Bastante seguro",0.12,0.165,0.157,0.098,0.139,0.126,0.095
"P21","Algo seguro",0.091,0.106,0.133,0.103,0.103,0.076,0.104
"P21","Para nada seguro",0.027,0.046,0.049,0.179,0.359,0.593,0.536
"P32","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.092,0.218,0.268,0.1,0.094,0,0
"P32","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.073,0.209,0.159,0.016,0.59,0,0
"P32","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.254,0.063,0.281,0.228,0.117,0.073,0
"P32","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.218,0.22,0.105,0.478,0,0.602,0.678
"P32","En blanco",0.216,0.269,0.146,0.059,0.199,0.325,0.322
"P32","No sabe",0.147,0.021,0.041,0.119,0,0,0
"P33","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.137,0.109,0.079,0,0,0,0
"P33","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.484,0.321,0.493,0.801,0.45,0,0.507
"P33","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.223,0.132,0.155,0,0,1,0.493
"P33","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.012,0.017,0.02,0.104,0,0,0
"P33","En blanco",0.095,0.261,0.115,0.095,0,0,0
"P33","No sabe",0.049,0.16,0.138,0,0.55,0,0
"P34","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.237,0.267,0.172,0.419,0,0,0
"P34","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.615,0.385,0.41,0.122,1,0,1
"P34","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.029,0.047,0.139,0.048,0,0,0
"P34","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.012,0.006,0.026,0.411,0,0,0
"P34","En blanco",0.071,0.268,0.178,0,0,0,0
"P34","No sabe",0.036,0.027,0.075,0,0,0,0
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.167,0.486,0.563,0.277,0.383,0.385,0.406
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.135,0.254,0.21,0.092,0.109,0.19,0.084
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.414,0.139,0.104,0.335,0.164,0.134,0.207
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.159,0.031,0.039,0.188,0.178,0.147,0.017
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.065,0.043,0.031,0.078,0.114,0.012,0.072
"P36","No sabe",0.06,0.047,0.053,0.03,0.052,0.132,0.214
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.815,0.133,0.141,0.698,0.306,0.133,0.097
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.096,0.771,0.537,0.075,0.135,0.172,0.127
"P37","En blanco",0.052,0.054,0.219,0.157,0.198,0.34,0.276
"P37","No sabe",0.037,0.042,0.103,0.07,0.361,0.355,0.5
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.229,0.748,0.225,0.128,0.115,0.156,0.196
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.081,0.133,0.597,0.223,0.182,0.131,0.055
"P38","En blanco",0.468,0.074,0.116,0.453,0.146,0.187,0.175
"P38","No sabe",0.222,0.045,0.062,0.196,0.557,0.526,0.574
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.821,0.165,0.147,0.58,0.295,0.137,0.1
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.084,0.351,0.696,0.192,0.245,0.181,0.097
