"var","categoria","Muy buena","Buena","Regular","Mala","Muy mala"
"P06","Mucho",0.696,0.551,0.465,0.427,0.464
"P06","Bastante",0.222,0.349,0.377,0.346,0.301
"P06","Poco",0.074,0.084,0.131,0.19,0.178
"P06","Nada",0.007,0.014,0.019,0.032,0.046
"P06","No sabe",0.001,0.002,0.008,0.005,0.011
"P07","Siempre",0.386,0.279,0.264,0.222,0.334
"P07","Casi siempre",0.405,0.457,0.454,0.442,0.339
"P07","Casi nunca",0.183,0.227,0.229,0.278,0.194
"P07","Nunca, pero esta es una excepción",0.026,0.037,0.053,0.058,0.133
"P09","Gran excedente habitual",0.067,0.012,0.018,0.001,0.001
"P09","Gran excedente excepcional",0.018,0.022,0.009,0.002,0.002
"P09","Pequeño excedente habitual",0.248,0.129,0.056,0.031,0.011
"P09","Pequeño excedente excepcional",0.21,0.167,0.166,0.123,0.094
"P09","Alcanza gastos familia",0.051,0.135,0.135,0.094,0.08
"P09","No alcanza gastos familia",0.054,0.051,0.059,0.066,0.087
"P09","Solo NBFamiliares",0.142,0.308,0.301,0.279,0.267
"P09","No alcanza NBFamiliares",0.21,0.168,0.251,0.402,0.455
"P09","No sabe",0,0.008,0.005,0.002,0.003
"P10","Tiene Decidido que va a ir a votar",0.957,0.936,0.892,0.898,0.842
"P10","Tiene dudas sobre si va a ir a  votar",0.043,0.057,0.083,0.094,0.108
"P10","Tiene Decidido que no va a ir a votar",0,0.007,0.025,0.008,0.05
"P13","Unión por la Patria",0.779,0.721,0.438,0.175,0.057
"P13","Juntos por el Cambio ",0.081,0.099,0.243,0.389,0.447
"P13","Liberales",0.067,0.059,0.164,0.265,0.332
"P13","Izquierda",0.035,0.029,0.042,0.035,0.03
"P13","Hacemos por Nuestro país",0.034,0.038,0.043,0.056,0.067
"P13","No sabe",0.004,0.054,0.07,0.08,0.067
"P18","Sergio Massa presidente, Agustín Rossi vicepresidente y Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.663,0.718,0.462,0.188,0.065
"P18","Patricia Bullrich presidenta, Luis Petri vicepresidente y Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.127,0.131,0.314,0.483,0.531
"P18","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.133,0.114,0.157,0.233,0.312
"P18","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.011,0.001,0.011,0.021,0.008
"P18","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González por el Frente de Izquierda",0.03,0.019,0.028,0.02,0.027
"P18","En blanco",0.036,0.005,0.019,0.026,0.016
"P18","No sabe",0,0.012,0.009,0.029,0.041
"P21","Totalmente seguro",0.819,0.763,0.686,0.708,0.696
"P21","Bastante seguro",0.024,0.108,0.165,0.136,0.149
"P21","Algo seguro",0.098,0.115,0.094,0.095,0.084
"P21","Para nada seguro",0.059,0.014,0.055,0.061,0.071
"P32","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.094,0.049,0.094,0.154,0.281
"P32","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.037,0.042,0.077,0.161,0.009
"P32","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.183,0.228,0.278,0.235,0.24
"P32","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.305,0.256,0.262,0.151,0.121
"P32","En blanco",0.305,0.279,0.179,0.169,0.238
"P32","No sabe",0.076,0.146,0.11,0.13,0.111
"P33","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.464,0.185,0.114,0.075,0.037
"P33","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.105,0.3,0.466,0.461,0.348
"P33","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.258,0.222,0.141,0.119,0.102
"P33","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0,0.008,0.025,0.003,0.007
"P33","En blanco",0.045,0.125,0.11,0.231,0.388
"P33","No sabe",0.128,0.16,0.144,0.111,0.118
"P34","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.363,0.416,0.183,0.073,0.088
"P34","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.387,0.387,0.358,0.51,0.391
"P34","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.143,0.118,0.257,0.065,0.172
"P34","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0,0,0.014,0.063,0.014
"P34","En blanco",0.085,0.068,0.146,0.184,0.315
"P34","No sabe",0.022,0.011,0.042,0.105,0.02
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.143,0.163,0.294,0.522,0.588
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.089,0.151,0.191,0.173,0.226
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.52,0.436,0.308,0.144,0.053
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.162,0.097,0.095,0.066,0.029
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.071,0.098,0.047,0.044,0.05
"P36","No sabe",0.015,0.055,0.065,0.051,0.054
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.793,0.713,0.481,0.212,0.098
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.076,0.155,0.344,0.577,0.677
"P37","En blanco",0.082,0.087,0.127,0.106,0.137
