"var","categoria","Muy positivo","Positivo","Neutral","Algo negativo","Negativo","No sabe"
"P06","Mucho",0.554,0.409,0.538,0.541,0.531,0.394
"P06","Bastante",0.344,0.422,0.333,0.276,0.283,0.38
"P06","Poco",0.086,0.134,0.107,0.084,0.173,0.145
"P06","Nada",0.015,0.029,0.022,0.056,0.013,0.074
"P06","No sabe",0.001,0.006,0,0.043,0,0.007
"P07","Siempre",0.335,0.241,0.262,0.191,0.355,0.46
"P07","Casi siempre",0.415,0.507,0.459,0.56,0.325,0.324
"P07","Casi nunca",0.197,0.212,0.217,0.217,0.266,0.181
"P07","Nunca, pero esta es una excepción",0.053,0.04,0.062,0.032,0.054,0.035
"P09","Gran excedente habitual",0.016,0.014,0.01,0.045,0,0
"P09","Gran excedente excepcional",0.007,0.006,0.006,0,0.015,0
"P09","Pequeño excedente habitual",0.099,0.106,0.083,0.083,0.038,0.015
"P09","Pequeño excedente excepcional",0.212,0.11,0.225,0.128,0.096,0.049
"P09","Alcanza gastos familia",0.08,0.136,0.098,0.068,0.076,0.13
"P09","No alcanza gastos familia",0.071,0.11,0.05,0.044,0.077,0.131
"P09","Solo NBFamiliares",0.262,0.217,0.277,0.426,0.356,0.319
"P09","No alcanza NBFamiliares",0.249,0.3,0.243,0.206,0.342,0.353
"P09","No sabe",0.004,0.001,0.008,0,0,0.003
"P10","Tiene Decidido que va a ir a votar",0.901,0.881,0.925,0.918,0.935,0.838
"P10","Tiene dudas sobre si va a ir a  votar",0.085,0.068,0.069,0.074,0.065,0.125
"P10","Tiene Decidido que no va a ir a votar",0.014,0.051,0.006,0.008,0,0.037
"P13","Unión por la Patria",0.664,0.459,0.298,0.064,0.037,0.106
"P13","Juntos por el Cambio ",0.072,0.212,0.313,0.534,0.546,0.514
"P13","Liberales",0.134,0.177,0.231,0.285,0.295,0.18
"P13","Izquierda",0.018,0.044,0.05,0.098,0.013,0.007
"P13","Hacemos por Nuestro país",0.06,0.079,0.036,0.011,0.097,0.049
"P13","No sabe",0.052,0.029,0.072,0.008,0.012,0.144
"P18","Sergio Massa presidente, Agustín Rossi vicepresidente y Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.657,0.441,0.304,0.132,0.041,0.088
"P18","Patricia Bullrich presidenta, Luis Petri vicepresidente y Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.144,0.257,0.398,0.613,0.664,0.701
"P18","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.123,0.222,0.219,0.163,0.26,0.115
"P18","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.004,0.031,0.011,0.061,0.015,0
"P18","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González por el Frente de Izquierda",0.028,0.022,0.036,0.025,0,0
"P18","En blanco",0.034,0.014,0.014,0,0.011,0.065
"P18","No sabe",0.01,0.013,0.018,0.006,0.009,0.031
"P21","Totalmente seguro",0.749,0.629,0.723,0.703,0.807,0.499
"P21","Bastante seguro",0.095,0.206,0.135,0.145,0.112,0.198
"P21","Algo seguro",0.101,0.121,0.093,0.129,0.059,0.222
"P21","Para nada seguro",0.055,0.044,0.049,0.023,0.022,0.081
"P32","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.075,0.054,0.049,0,0.09,0.396
"P32","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.082,0.077,0.078,0.114,0.234,0.098
"P32","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.235,0.336,0.146,0.154,0.043,0.327
"P32","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.252,0.186,0.316,0.036,0.584,0.109
"P32","En blanco",0.251,0.219,0.288,0.696,0,0.07
"P32","No sabe",0.105,0.128,0.123,0,0.049,0
"P33","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.194,0.086,0.116,0.034,0.028,0.039
"P33","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.329,0.426,0.376,0.366,0.423,0.277
"P33","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.193,0.203,0.188,0.128,0.141,0.081
"P33","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.022,0.045,0.015,0,0.007,0
"P33","En blanco",0.047,0.113,0.22,0.319,0.358,0.148
"P33","No sabe",0.215,0.127,0.085,0.153,0.043,0.455
"P34","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.231,0.145,0.105,0,0.078,0
"P34","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.423,0.286,0.509,0.449,0.552,0.341
"P34","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.157,0.411,0.112,0.26,0.069,0
"P34","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0,0.012,0.008,0,0,0
"P34","En blanco",0.152,0.075,0.201,0.291,0.301,0.048
"P34","No sabe",0.037,0.071,0.065,0,0,0.611
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.217,0.314,0.361,0.522,0.578,0.368
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.11,0.15,0.236,0.23,0.238,0.276
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.397,0.305,0.255,0.061,0.068,0.067
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.134,0.096,0.065,0.022,0.01,0.117
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.098,0.076,0.044,0.091,0.083,0.071
"P36","No sabe",0.044,0.059,0.039,0.074,0.023,0.101
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.669,0.422,0.382,0.182,0.063,0.228
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.16,0.338,0.467,0.679,0.788,0.666
"P37","En blanco",0.102,0.165,0.093,0.107,0.119,0.029
"P37","No sabe",0.069,0.075,0.058,0.032,0.03,0.077
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.192,0.311,0.403,0.727,0.591,0.513
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.198,0.231,0.235,0.128,0.299,0.178
"P38","En blanco",0.425,0.281,0.246,0.113,0.075,0.137
"P38","No sabe",0.185,0.177,0.116,0.032,0.035,0.172
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.636,0.475,0.388,0.243,0.086,0.372
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.23,0.309,0.354,0.419,0.505,0.31
"P39","En blanco",0.078,0.085,0.144,0.245,0.293,0.121
"P39","No sabe",0.056,0.131,0.114,0.093,0.116,0.197
"P45","Lo votaría",0.662,0.491,0.342,0.141,0.091,0.131
"P45","Puede que lo vote",0.063,0.086,0.137,0.068,0.121,0.103
"P45","Nunca lo votaría",0.25,0.366,0.497,0.776,0.77,0.72
"P45","No sabe",0.025,0.057,0.024,0.015,0.018,0.046
"P46","Lo votaría",0.161,0.319,0.343,0.396,0.639,0.403
