"var","categoria","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P06","Mucho",0.547,0.42,0.509,0.315
"P06","Bastante",0.315,0.385,0.269,0.369
"P06","Poco",0.105,0.16,0.164,0.233
"P06","Nada",0.023,0.028,0.057,0.069
"P06","No sabe",0.01,0.007,0.001,0.014
"P07","Siempre",0.295,0.26,0.301,0.199
"P07","Casi siempre",0.441,0.433,0.338,0.405
"P07","Casi nunca",0.22,0.232,0.24,0.303
"P07","Nunca, pero esta es una excepción",0.044,0.075,0.121,0.093
"P09","Gran excedente habitual",0.02,0.007,0.012,0.004
"P09","Gran excedente excepcional",0.009,0.006,0.012,0.003
"P09","Pequeño excedente habitual",0.094,0.055,0.06,0.024
"P09","Pequeño excedente excepcional",0.161,0.135,0.064,0.143
"P09","Alcanza gastos familia",0.114,0.108,0.131,0.139
"P09","No alcanza gastos familia",0.077,0.061,0.082,0.066
"P09","Solo NBFamiliares",0.265,0.28,0.282,0.234
"P09","No alcanza NBFamiliares",0.256,0.345,0.351,0.386
"P09","No sabe",0.004,0.003,0.006,0.001
"P10","Tiene Decidido que va a ir a votar",0.916,0.912,0.866,0.801
"P10","Tiene dudas sobre si va a ir a  votar",0.071,0.068,0.093,0.144
"P10","Tiene Decidido que no va a ir a votar",0.013,0.02,0.041,0.055
"P13","Unión por la Patria",0.789,0.025,0.218,0.121
"P13","Juntos por el Cambio ",0.062,0.592,0.057,0.067
"P13","Liberales",0.049,0.262,0.442,0.226
"P13","Izquierda",0.03,0.016,0.055,0.111
"P13","Hacemos por Nuestro país",0.027,0.056,0.135,0.132
"P13","No sabe",0.043,0.049,0.093,0.343
"P18","Sergio Massa presidente, Agustín Rossi vicepresidente y Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.806,0.055,0.196,0.139
"P18","Patricia Bullrich presidenta, Luis Petri vicepresidente y Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.078,0.676,0.106,0.133
"P18","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.07,0.238,0.511,0.198
"P18","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.008,0.006,0.056,0.032
"P18","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González por el Frente de Izquierda",0.017,0.005,0.029,0.15
"P18","En blanco",0.012,0.012,0.077,0.114
"P18","No sabe",0.009,0.008,0.025,0.234
"P21","Totalmente seguro",0.785,0.711,0.619,0.281
"P21","Bastante seguro",0.114,0.158,0.135,0.18
"P21","Algo seguro",0.077,0.103,0.144,0.159
"P21","Para nada seguro",0.024,0.028,0.102,0.38
"P32","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.075,0.359,0.132,0.174
"P32","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.055,0.37,0.031,0.181
"P32","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.252,0.138,0.223,0.197
"P32","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.24,0.062,0.422,0.137
"P32","En blanco",0.229,0.05,0.115,0.14
"P32","No sabe",0.149,0.021,0.077,0.171
"P33","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.432,0.037,0.264,0.178
"P33","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.213,0.411,0.419,0.117
"P33","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.194,0.141,0.241,0.072
"P33","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.005,0.016,0.012,0.081
"P33","En blanco",0.066,0.263,0.033,0.007
"P33","No sabe",0.09,0.132,0.031,0.545
"P34","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.531,0.028,0.175,0.084
"P34","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.225,0.723,0.109,0.267
"P34","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.129,0.12,0.174,0.049
"P34","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.092,0.03,0.01,0.077
"P34","En blanco",0.016,0.078,0.512,0.018
"P34","No sabe",0.007,0.021,0.02,0.505
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.157,0.552,0.503,0.337
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.115,0.294,0.085,0.148
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.439,0.074,0.194,0.186
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.152,0.017,0.108,0.135
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.081,0.029,0.032,0.04
"P36","No sabe",0.056,0.034,0.078,0.154
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.229,0.651,0.093,0.089
