"var","categoria","Muy buena","Buena","Regular","Mala","Muy mala"
"P06","Mucho",0.596,0.598,0.49,0.447,0.451
"P06","Bastante",0.262,0.33,0.342,0.349,0.355
"P06","Poco",0.132,0.068,0.13,0.16,0.16
"P06","Nada",0.008,0.004,0.03,0.033,0.026
"P06","No sabe",0.002,0,0.008,0.011,0.008
"P07","Siempre",0.471,0.291,0.255,0.276,0.26
"P07","Casi siempre",0.304,0.466,0.47,0.417,0.42
"P07","Casi nunca",0.213,0.197,0.223,0.27,0.228
"P07","Nunca, pero esta es una excepción",0.012,0.046,0.052,0.037,0.092
"P09","Gran excedente habitual",0.045,0.024,0.012,0.006,0.009
"P09","Gran excedente excepcional",0.006,0.021,0.013,0.004,0.006
"P09","Pequeño excedente habitual",0.066,0.134,0.079,0.054,0.048
"P09","Pequeño excedente excepcional",0.145,0.187,0.177,0.143,0.118
"P09","Alcanza gastos familia",0.14,0.096,0.143,0.082,0.122
"P09","No alcanza gastos familia",0.098,0.04,0.046,0.086,0.068
"P09","Solo NBFamiliares",0.194,0.309,0.297,0.281,0.266
"P09","No alcanza NBFamiliares",0.304,0.184,0.225,0.34,0.361
"P09","No sabe",0.002,0.005,0.008,0.004,0.002
"P10","Tiene Decidido que va a ir a votar",0.924,0.921,0.871,0.919,0.894
"P10","Tiene dudas sobre si va a ir a  votar",0.076,0.063,0.122,0.058,0.078
"P10","Tiene Decidido que no va a ir a votar",0,0.016,0.007,0.023,0.028
"P13","Unión por la Patria",0.78,0.886,0.76,0.304,0.038
"P13","Juntos por el Cambio ",0.092,0.035,0.056,0.35,0.446
"P13","Liberales",0.029,0.03,0.054,0.183,0.33
"P13","Izquierda",0.046,0.019,0.033,0.052,0.03
"P13","Hacemos por Nuestro país",0.027,0.005,0.05,0.026,0.074
"P13","No sabe",0.026,0.025,0.047,0.085,0.082
"P18","Sergio Massa presidente, Agustín Rossi vicepresidente y Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.657,0.867,0.727,0.326,0.068
"P18","Patricia Bullrich presidenta, Luis Petri vicepresidente y Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.155,0.036,0.097,0.446,0.54
"P18","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.104,0.074,0.104,0.138,0.308
"P18","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.004,0,0.007,0.01,0.017
"P18","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González por el Frente de Izquierda",0.052,0.002,0.036,0.023,0.022
"P18","En blanco",0.019,0.008,0.02,0.021,0.025
"P18","No sabe",0.009,0.013,0.009,0.036,0.02
"P21","Totalmente seguro",0.796,0.911,0.671,0.647,0.698
"P21","Bastante seguro",0.074,0.059,0.154,0.142,0.15
"P21","Algo seguro",0.105,0.026,0.11,0.139,0.094
"P21","Para nada seguro",0.025,0.004,0.065,0.072,0.058
"P32","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.109,0.026,0.058,0.179,0.29
"P32","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.075,0.021,0.088,0.066,0.194
"P32","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.177,0.234,0.251,0.323,0.173
