"var","categoria","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda","En blanco","No sabe"
"P06","Mucho",0.519,0.358,0.561,0.126,0.481,0.284
"P06","Bastante",0.187,0.387,0.264,0.455,0.338,0.417
"P06","Poco",0.291,0.188,0.119,0.095,0.148,0.255
"P06","Nada",0.003,0.065,0.056,0.324,0.03,0.017
"P06","No sabe",0,0.002,0,0,0.003,0.027
"P07","Siempre",0.318,0.271,0.26,0.215,0.255,0.181
"P07","Casi siempre",0.342,0.324,0.429,0.114,0.324,0.38
"P07","Casi nunca",0.2,0.29,0.291,0.347,0.205,0.33
"P07","Nunca, pero esta es una excepción",0.14,0.115,0.02,0.324,0.216,0.109
"P09","Gran excedente habitual",0,0.002,0.026,0,0.032,0
"P09","Gran excedente excepcional",0.003,0.015,0.003,0.02,0,0.016
"P09","Pequeño excedente habitual",0.02,0.018,0.044,0,0.051,0.021
"P09","Pequeño excedente excepcional",0.06,0.151,0.052,0,0.102,0.084
"P09","Alcanza gastos familia",0.04,0.095,0.08,0,0.106,0.149
"P09","No alcanza gastos familia",0.163,0.093,0.014,0.046,0.042,0.083
"P09","Solo NBFamiliares",0.411,0.247,0.233,0.467,0.29,0.217
"P09","No alcanza NBFamiliares",0.294,0.376,0.548,0.467,0.377,0.411
"P09","No sabe",0.009,0.003,0,0,0,0.019
"P10","Tiene Decidido que va a ir a votar",0.784,0.965,0.938,1,1,0.894
"P10","Tiene dudas sobre si va a ir a  votar",0.107,0.031,0.062,0,0,0.098
"P10","Tiene Decidido que no va a ir a votar",0.109,0.004,0,0,0,0.008
"P13","Unión por la Patria",0.469,0.095,0.138,0.025,0.019,0.049
"P13","Juntos por el Cambio ",0.106,0.092,0.057,0.054,0.02,0.052
"P13","Liberales",0.363,0.579,0.6,0.421,0.738,0.759
"P13","Izquierda",0,0.008,0.014,0.035,0.012,0.025
"P13","Hacemos por Nuestro país",0.035,0.153,0.148,0.17,0.199,0.05
"P13","No sabe",0.027,0.073,0.043,0.295,0.012,0.065
"P21","Totalmente seguro",0.543,0.74,0.757,0.461,0.71,0.506
"P21","Bastante seguro",0.277,0.145,0.114,0.076,0.207,0.129
"P21","Algo seguro",0.105,0.113,0.08,0.07,0.083,0.232
"P21","Para nada seguro",0.075,0.002,0.049,0.393,0,0.133
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.493,0.608,0.637,0.161,0.848,0.588
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.061,0.256,0.137,0.3,0.007,0.082
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.338,0.097,0.143,0,0,0
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.041,0.022,0.028,0.477,0.009,0.014
