"var","categoria","Muy buena","Buena","Regular","Mala","Muy mala"
"P06","Mucho",0.727,0.514,0.474,0.382,0.378
"P06","Bastante",0.216,0.353,0.36,0.364,0.288
"P06","Poco",0.043,0.121,0.132,0.203,0.25
"P06","Nada",0.013,0.011,0.025,0.033,0.084
"P06","No sabe",0.001,0.001,0.009,0.018,0
"P07","Siempre",0.404,0.272,0.262,0.235,0.3
"P07","Casi siempre",0.336,0.467,0.457,0.431,0.241
"P07","Casi nunca",0.197,0.228,0.214,0.28,0.263
"P07","Nunca, pero esta es una excepción",0.063,0.033,0.067,0.054,0.196
"P09","Gran excedente habitual",0.054,0.012,0.011,0,0
"P09","Gran excedente excepcional",0.01,0.009,0.013,0.003,0
"P09","Pequeño excedente habitual",0.136,0.118,0.04,0.032,0.003
"P09","Pequeño excedente excepcional",0.204,0.145,0.132,0.136,0.13
"P09","Alcanza gastos familia",0.131,0.113,0.105,0.099,0.046
"P09","No alcanza gastos familia",0.047,0.047,0.072,0.089,0.087
"P09","Solo NBFamiliares",0.223,0.316,0.295,0.214,0.23
"P09","No alcanza NBFamiliares",0.19,0.231,0.33,0.427,0.504
"P09","No sabe",0.005,0.009,0.002,0,0
"P10","Tiene Decidido que va a ir a votar",0.998,0.919,0.899,0.798,0.83
"P10","Tiene dudas sobre si va a ir a  votar",0.002,0.077,0.081,0.157,0.087
"P10","Tiene Decidido que no va a ir a votar",0,0.004,0.02,0.045,0.083
"P13","Unión por la Patria",0.699,0.616,0.274,0.117,0.068
"P13","Juntos por el Cambio ",0.062,0.159,0.358,0.453,0.345
"P13","Liberales",0.164,0.124,0.213,0.224,0.322
"P13","Izquierda",0.014,0.033,0.034,0.05,0.06
"P13","Hacemos por Nuestro país",0.031,0.043,0.046,0.053,0.082
"P13","No sabe",0.03,0.025,0.075,0.103,0.123
"P18","Sergio Massa presidente, Agustín Rossi vicepresidente y Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.631,0.609,0.307,0.112,0.072
"P18","Patricia Bullrich presidenta, Luis Petri vicepresidente y Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.18,0.187,0.428,0.553,0.485
"P18","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.18,0.155,0.201,0.184,0.284
"P18","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0,0.004,0.015,0.026,0.005
"P18","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González por el Frente de Izquierda",0.006,0.02,0.022,0.023,0.06
"P18","En blanco",0,0.015,0.013,0.052,0.028
"P18","No sabe",0.003,0.01,0.014,0.05,0.066
"P21","Totalmente seguro",0.872,0.794,0.7,0.593,0.531
"P21","Bastante seguro",0.035,0.106,0.157,0.2,0.128
"P21","Algo seguro",0.083,0.081,0.097,0.107,0.202
"P21","Para nada seguro",0.01,0.019,0.046,0.1,0.139
"P32","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.127,0.058,0.078,0.219,0.068
"P32","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.082,0.068,0.055,0.164,0
"P32","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.229,0.239,0.258,0.31,0.271
"P32","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.207,0.281,0.24,0.221,0.049
"P32","En blanco",0.222,0.247,0.241,0.039,0.101
"P32","No sabe",0.133,0.107,0.128,0.047,0.511
"P33","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.32,0.076,0.069,0.081,0.131
"P33","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.172,0.427,0.415,0.403,0.552
"P33","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.233,0.161,0.121,0.141,0.057
"P33","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0,0.004,0.021,0,0.004
"P33","En blanco",0.141,0.239,0.243,0.243,0.18
"P33","No sabe",0.134,0.093,0.131,0.132,0.076
"P34","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.524,0.313,0.106,0.016,0.004
"P34","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.121,0.269,0.43,0.526,0.476
"P34","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.076,0.171,0.148,0.253,0.255
"P34","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0,0,0.009,0.013,0.023
"P34","En blanco",0.216,0.2,0.282,0.047,0.225
"P34","No sabe",0.063,0.047,0.025,0.145,0.017
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.259,0.244,0.424,0.479,0.496
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.106,0.138,0.214,0.215,0.19
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.388,0.422,0.189,0.133,0.053
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.133,0.09,0.067,0.056,0.068
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.077,0.066,0.048,0.046,0.089
"P36","No sabe",0.037,0.04,0.058,0.071,0.104
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.663,0.623,0.325,0.158,0.129
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.159,0.226,0.512,0.594,0.614
"P37","En blanco",0.139,0.1,0.115,0.125,0.079
"P37","No sabe",0.039,0.051,0.048,0.123,0.178
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.19,0.283,0.446,0.521,0.368
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.24,0.168,0.229,0.221,0.35
"P38","En blanco",0.439,0.399,0.181,0.142,0.134
"P38","No sabe",0.131,0.15,0.144,0.116,0.148
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.686,0.621,0.354,0.211,0.134
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.232,0.233,0.356,0.403,0.559
"P39","En blanco",0.047,0.083,0.173,0.226,0.167
"P39","No sabe",0.035,0.063,0.117,0.16,0.14
"P45","Lo votaría",0.686,0.632,0.339,0.143,0.061
"P45","Puede que lo vote",0.052,0.037,0.098,0.134,0.225
"P45","Nunca lo votaría",0.247,0.307,0.526,0.674,0.639
"P45","No sabe",0.015,0.024,0.037,0.049,0.075
"P46","Lo votaría",0.183,0.232,0.388,0.517,0.406
