"var","categoria","Muy positiva","Positiva","Neutral","Algo negativa","Negativa","No sabe"
"P06","Mucho",0.584,0.425,0.454,0.466,0.554,0.398
"P06","Bastante",0.31,0.419,0.369,0.363,0.296,0.347
"P06","Poco",0.083,0.132,0.113,0.116,0.144,0.208
"P06","Nada",0.022,0.021,0.04,0.055,0.006,0.041
"P06","No sabe",0.001,0.003,0.024,0,0,0.006
"P07","Siempre",0.286,0.286,0.275,0.247,0.324,0.409
"P07","Casi siempre",0.474,0.496,0.394,0.514,0.353,0.317
"P07","Casi nunca",0.193,0.174,0.267,0.216,0.261,0.133
"P07","Nunca, pero esta es una excepción",0.047,0.044,0.064,0.023,0.062,0.141
"P09","Gran excedente habitual",0.017,0.013,0.023,0.037,0.005,0
"P09","Gran excedente excepcional",0.009,0.007,0.003,0,0.014,0
"P09","Pequeño excedente habitual",0.11,0.086,0.063,0.036,0.072,0.009
"P09","Pequeño excedente excepcional",0.198,0.13,0.243,0.164,0.067,0.08
"P09","Alcanza gastos familia",0.087,0.123,0.067,0.132,0.097,0.077
"P09","No alcanza gastos familia",0.067,0.125,0.039,0.11,0.06,0.071
"P09","Solo NBFamiliares",0.276,0.225,0.291,0.326,0.318,0.367
"P09","No alcanza NBFamiliares",0.233,0.285,0.267,0.195,0.367,0.392
"P09","No sabe",0.003,0.006,0.004,0,0,0.004
"P10","Tiene Decidido que va a ir a votar",0.921,0.853,0.893,0.841,0.933,0.922
"P10","Tiene dudas sobre si va a ir a  votar",0.067,0.094,0.098,0.14,0.065,0.069
"P10","Tiene Decidido que no va a ir a votar",0.012,0.053,0.009,0.019,0.002,0.009
"P13","Unión por la Patria",0.684,0.476,0.177,0.045,0.04,0.155
"P13","Juntos por el Cambio ",0.081,0.229,0.281,0.583,0.533,0.511
"P13","Liberales",0.112,0.165,0.314,0.282,0.277,0.176
"P13","Izquierda",0.034,0.021,0.067,0.047,0.016,0.011
"P13","Hacemos por Nuestro país",0.048,0.048,0.092,0.003,0.11,0.015
"P13","No sabe",0.041,0.061,0.069,0.04,0.024,0.132
"P18","Sergio Massa presidente, Agustín Rossi vicepresidente y Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.661,0.479,0.245,0.093,0.029,0.177
"P18","Patricia Bullrich presidenta, Luis Petri vicepresidente y Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.133,0.274,0.415,0.682,0.631,0.605
"P18","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.126,0.19,0.257,0.188,0.279,0.13
"P18","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.003,0.024,0.022,0.014,0.033,0
"P18","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González por el Frente de Izquierda",0.04,0.006,0.033,0.011,0,0.015
"P18","En blanco",0.028,0.007,0.023,0.007,0.008,0.048
"P18","No sabe",0.009,0.02,0.005,0.005,0.02,0.025
