"var","categoria","Unión por la Patria","Juntos por el Cambio ","Liberales","Izquierda","Hacemos por Nuestro país","No sabe"
"P06","Mucho",0.562,0.413,0.462,0.445,0.338,0.197
"P06","Bastante",0.309,0.383,0.353,0.328,0.302,0.355
"P06","Poco",0.105,0.163,0.136,0.152,0.236,0.253
"P06","Nada",0.016,0.033,0.039,0.075,0.092,0.176
"P06","No sabe",0.008,0.008,0.01,0,0.032,0.019
"P07","Siempre",0.286,0.269,0.253,0.212,0.26,0.161
"P07","Casi siempre",0.432,0.446,0.365,0.341,0.362,0.354
"P07","Casi nunca",0.235,0.208,0.286,0.33,0.261,0.32
"P07","Nunca, pero esta es una excepción",0.047,0.077,0.096,0.117,0.117,0.165
"P09","Gran excedente habitual",0.018,0.003,0.012,0.029,0.016,0.021
"P09","Gran excedente excepcional",0.011,0.005,0.005,0.01,0.021,0.004
"P09","Pequeño excedente habitual",0.107,0.049,0.052,0.034,0.022,0.019
"P09","Pequeño excedente excepcional",0.165,0.103,0.107,0.085,0.15,0.105
"P09","Alcanza gastos familia",0.115,0.114,0.114,0.106,0.077,0.09
"P09","No alcanza gastos familia",0.061,0.067,0.072,0.082,0.118,0.189
"P09","Solo NBFamiliares",0.266,0.295,0.288,0.282,0.19,0.19
"P09","No alcanza NBFamiliares",0.25,0.362,0.344,0.372,0.39,0.382
"P09","No sabe",0.007,0.002,0.006,0,0.016,0
"P10","Tiene Decidido que va a ir a votar",0.943,0.903,0.903,0.793,0.871,0.651
"P10","Tiene dudas sobre si va a ir a  votar",0.045,0.07,0.08,0.127,0.082,0.266
"P10","Tiene Decidido que no va a ir a votar",0.012,0.027,0.017,0.08,0.047,0.083
"P18","Sergio Massa presidente, Agustín Rossi vicepresidente y Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.874,0.079,0.058,0.236,0.159,0.194
"P18","Patricia Bullrich presidenta, Luis Petri vicepresidente y Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.047,0.833,0.274,0.17,0.096,0.11
"P18","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.067,0.055,0.65,0.101,0.45,0.124
"P18","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.001,0.008,0.002,0.135,0.058,0.026
"P18","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González por el Frente de Izquierda",0,0.009,0.006,0.281,0.116,0.041
"P18","En blanco",0.005,0.004,0.003,0.011,0.06,0.281
"P18","No sabe",0.006,0.012,0.007,0.066,0.061,0.224
"P21","Totalmente seguro",0.804,0.749,0.675,0.499,0.328,0.268
"P21","Bastante seguro",0.107,0.142,0.171,0.235,0.278,0.073
"P21","Algo seguro",0.067,0.087,0.122,0.125,0.262,0.163
"P21","Para nada seguro",0.022,0.022,0.032,0.141,0.132,0.496
"P32","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.072,0.324,0.434,0,0.081,0.233
"P32","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.065,0.162,0.284,0,0.197,0.031
"P32","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.251,0.272,0.232,0.06,0.226,0.293
"P32","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.251,0.095,0,0.218,0.118,0.042
"P32","En blanco",0.232,0.064,0.019,0.517,0.11,0.076
"P32","No sabe",0.129,0.083,0.031,0.205,0.268,0.325
"P33","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.584,0.046,0.135,0.286,0.019,0.122
"P33","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.225,0.371,0.457,0.332,0.594,0.069
"P33","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.124,0.159,0.089,0.173,0.285,0.102
"P33","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.055,0.007,0.008,0.041,0,0.184
"P33","En blanco",0.012,0.278,0.127,0.132,0.102,0.058
"P33","No sabe",0,0.139,0.184,0.036,0,0.465
"P34","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.565,0.257,0.112,0,0.048,0.083
"P34","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.268,0.524,0.418,0.323,0.48,0.529
"P34","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.115,0.096,0.128,0.176,0.138,0.091
"P34","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.006,0.026,0.026,0.123,0.045,0.182
"P34","En blanco",0.023,0.048,0.225,0.21,0.263,0.037
"P34","No sabe",0.023,0.049,0.091,0.168,0.026,0.078
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.11,0.524,0.672,0.311,0.39,0.376
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.12,0.289,0.165,0.148,0.199,0.168
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.494,0.097,0.055,0.179,0.167,0.113
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.161,0.025,0.025,0.101,0.133,0.107
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.071,0.022,0.029,0.212,0.053,0.029
"P36","No sabe",0.044,0.043,0.054,0.049,0.058,0.207
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.886,0.097,0.109,0.382,0.198,0.245
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.026,0.861,0.544,0.182,0.377,0.26
"P37","En blanco",0.063,0.023,0.255,0.179,0.252,0.137
"P37","No sabe",0.025,0.019,0.092,0.257,0.173,0.358
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.183,0.858,0.21,0.192,0.093,0.226
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.056,0.076,0.712,0.196,0.611,0.13
"P38","En blanco",0.52,0.046,0.062,0.316,0.168,0.17
"P38","No sabe",0.241,0.02,0.016,0.296,0.128,0.474
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.896,0.126,0.074,0.361,0.155,0.301
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.025,0.404,0.787,0.21,0.574,0.189
"P39","En blanco",0.047,0.304,0.081,0.206,0.162,0.103
"P39","No sabe",0.032,0.166,0.058,0.223,0.109,0.407
"P45","Lo votaría",0.919,0.061,0.077,0.332,0.143,0.245
"P45","Puede que lo vote",0.021,0.076,0.142,0.128,0.27,0.148
"P45","Nunca lo votaría",0.042,0.847,0.734,0.374,0.479,0.402
"P45","No sabe",0.018,0.016,0.047,0.166,0.108,0.205
"P46","Lo votaría",0.128,0.807,0.247,0.155,0.094,0.092
"P46","Puede que lo vote",0.047,0.059,0.277,0.136,0.291,0.285
"P46","Nunca lo votaría",0.781,0.104,0.441,0.614,0.532,0.355
"P46","No sabe",0.044,0.03,0.035,0.095,0.083,0.268
"P47","Lo votaría",0.024,0.133,0.695,0.162,0.335,0.123
"P47","Puede que lo vote",0.057,0.305,0.118,0.144,0.235,0.134
"P47","Nunca lo votaría",0.877,0.499,0.153,0.662,0.352,0.474
"P47","No sabe",0.042,0.063,0.034,0.032,0.078,0.269
"P48","Lo votaría",0.175,0.032,0.13,0.371,0.116,0.058
"P48","Puede que lo vote",0.362,0.237,0.244,0.299,0.31,0.309
"P48","Nunca lo votaría",0.388,0.698,0.598,0.272,0.467,0.382
"P48","No sabe",0.075,0.033,0.028,0.058,0.107,0.251
"P49","Lo votaría",0.114,0.07,0.038,0.117,0.13,0.115
"P49","Puede que lo vote",0.271,0.281,0.289,0.219,0.277,0.243
"P49","Nunca lo votaría",0.54,0.577,0.615,0.59,0.459,0.334
"P49","No sabe",0.075,0.072,0.058,0.074,0.134,0.308
"P50","Si",0.334,0.533,0.491,0.7,0.441,0.572
"P50","No",0.666,0.467,0.509,0.3,0.559,0.428
"P51","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.684,0.278,0.071,0.137,0.167,0.202
"P51","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.068,0.403,0.081,0.343,0.029,0.222
"P51","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.081,0.291,0.789,0.104,0.602,0.334
"P51","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.138,0.018,0.055,0.146,0.056,0.114
"P51","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.005,0.002,0.003,0.119,0.046,0.04
"P51","En blanco",0.011,0.003,0.001,0.008,0.087,0.036
"P51","No sabe",0.013,0.005,0,0.143,0.013,0.052
"P52","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.744,0.332,0.374,0.213,0.219,0.325
"P52","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.085,0.569,0.416,0.441,0.217,0.335
"P52","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.003,0.035,0.102,0.016,0.44,0.071
