"var","categoria","No, ninguna dificultad","Alguna dificultad ocasional","Sí, dificultades frecuentes"
"P06","Mucho",0.545,0.481,0.452
"P06","Bastante",0.339,0.38,0.311
"P06","Poco",0.097,0.115,0.191
"P06","Nada",0.015,0.019,0.035
"P06","No sabe",0.004,0.005,0.011
"P07","Siempre",0.296,0.273,0.279
"P07","Casi siempre",0.445,0.457,0.412
"P07","Casi nunca",0.211,0.217,0.225
"P07","Nunca, pero esta es una excepción",0.048,0.053,0.084
"P09","Gran excedente habitual",0.025,0.008,0.006
"P09","Gran excedente excepcional",0.011,0.009,0.002
"P09","Pequeño excedente habitual",0.169,0.046,0.014
"P09","Pequeño excedente excepcional",0.211,0.124,0.113
"P09","Alcanza gastos familia",0.124,0.143,0.064
"P09","No alcanza gastos familia",0.045,0.051,0.103
"P09","Solo NBFamiliares",0.218,0.338,0.259
"P09","No alcanza NBFamiliares",0.189,0.278,0.435
"P09","No sabe",0.008,0.003,0.004
"P10","Tiene Decidido que va a ir a votar",0.948,0.886,0.849
"P10","Tiene dudas sobre si va a ir a  votar",0.035,0.1,0.117
"P10","Tiene Decidido que no va a ir a votar",0.017,0.014,0.034
"P13","Unión por la Patria",0.573,0.37,0.266
"P13","Juntos por el Cambio ",0.193,0.336,0.292
"P13","Liberales",0.127,0.178,0.232
"P13","Izquierda",0.034,0.028,0.046
"P13","Hacemos por Nuestro país",0.028,0.038,0.075
"P13","No sabe",0.045,0.05,0.089
"P18","Sergio Massa presidente, Agustín Rossi vicepresidente y Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.556,0.386,0.275
"P18","Patricia Bullrich presidenta, Luis Petri vicepresidente y Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.253,0.388,0.378
"P18","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.145,0.162,0.237
"P18","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.008,0.011,0.016
"P18","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González por el Frente de Izquierda",0.011,0.017,0.042
"P18","En blanco",0.008,0.016,0.033
"P18","No sabe",0.019,0.02,0.019
"P21","Totalmente seguro",0.769,0.736,0.662
"P21","Bastante seguro",0.116,0.122,0.164
"P21","Algo seguro",0.077,0.097,0.112
"P21","Para nada seguro",0.038,0.045,0.062
"P32","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.083,0.057,0.093
"P32","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.031,0.077,0.131
"P32","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.204,0.316,0.256
"P32","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.269,0.233,0.231
"P32","En blanco",0.252,0.221,0.191
"P32","No sabe",0.161,0.096,0.098
"P33","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.169,0.057,0.069
"P33","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.368,0.502,0.337
"P33","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.169,0.099,0.148
"P33","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.002,0.014,0.018
"P33","En blanco",0.162,0.198,0.315
"P33","No sabe",0.13,0.13,0.113
"P34","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.204,0.122,0.179
"P34","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.342,0.506,0.263
"P34","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.104,0.278,0.159
"P34","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.008,0,0.011
"P34","En blanco",0.331,0.028,0.324
"P34","No sabe",0.011,0.066,0.064
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.244,0.323,0.483
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.169,0.241,0.137
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.375,0.255,0.192
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.097,0.081,0.069
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.07,0.039,0.072
"P36","No sabe",0.045,0.061,0.047
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.57,0.398,0.32
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.281,0.448,0.452
"P37","En blanco",0.095,0.08,0.148
"P37","No sabe",0.054,0.074,0.08
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.317,0.398,0.394
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.161,0.227,0.252
"P38","En blanco",0.358,0.243,0.21
"P38","No sabe",0.164,0.132,0.144
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.609,0.412,0.338
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.252,0.325,0.361
"P39","En blanco",0.087,0.134,0.185
"P39","No sabe",0.052,0.129,0.116
"P45","Lo votaría",0.628,0.384,0.303
"P45","Puede que lo vote",0.066,0.083,0.098
"P45","Nunca lo votaría",0.285,0.478,0.569
"P45","No sabe",0.021,0.055,0.03
"P46","Lo votaría",0.274,0.363,0.359
"P46","Puede que lo vote",0.1,0.128,0.123
"P46","Nunca lo votaría",0.594,0.448,0.484
"P46","No sabe",0.032,0.061,0.034
"P47","Lo votaría",0.157,0.191,0.254
"P47","Puede que lo vote",0.126,0.168,0.153
"P47","Nunca lo votaría",0.681,0.569,0.536
"P47","No sabe",0.036,0.072,0.057
"P48","Lo votaría",0.139,0.114,0.139
"P48","Puede que lo vote",0.297,0.313,0.271
"P48","Nunca lo votaría",0.501,0.515,0.534
"P48","No sabe",0.063,0.058,0.056
"P49","Lo votaría",0.091,0.069,0.088
"P49","Puede que lo vote",0.285,0.312,0.236
"P49","Nunca lo votaría",0.548,0.528,0.584
"P49","No sabe",0.076,0.091,0.092
"P50","Si",0.428,0.451,0.493
"P50","No",0.572,0.549,0.507
"P51","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.444,0.287,0.34
