"var","categoria","Muy positivo","Positivo","Neutral","Algo negativo","Negativo","No sabe"
"P06","Mucho",0.595,0.473,0.45,0.416,0.515,0.312
"P06","Bastante",0.307,0.35,0.359,0.458,0.319,0.466
"P06","Poco",0.072,0.128,0.167,0.084,0.153,0.12
"P06","Nada",0.026,0.033,0.015,0.022,0.011,0.102
"P06","No sabe",0,0.016,0.009,0.02,0.002,0
"P07","Siempre",0.366,0.233,0.219,0.311,0.289,0.26
"P07","Casi siempre",0.418,0.472,0.5,0.433,0.428,0.338
"P07","Casi nunca",0.164,0.227,0.241,0.204,0.228,0.268
"P07","Nunca, pero esta es una excepción",0.052,0.068,0.04,0.052,0.055,0.134
"P09","Gran excedente habitual",0.031,0.007,0.003,0.005,0.02,0
"P09","Gran excedente excepcional",0.005,0.01,0.006,0.004,0.014,0
"P09","Pequeño excedente habitual",0.1,0.083,0.067,0.044,0.084,0.013
"P09","Pequeño excedente excepcional",0.208,0.11,0.145,0.203,0.163,0.103
"P09","Alcanza gastos familia",0.088,0.116,0.114,0.083,0.08,0.088
"P09","No alcanza gastos familia",0.072,0.14,0.032,0.061,0.059,0.013
"P09","Solo NBFamiliares",0.27,0.269,0.279,0.286,0.282,0.394
"P09","No alcanza NBFamiliares",0.223,0.258,0.351,0.314,0.298,0.389
"P09","No sabe",0.003,0.007,0.003,0,0,0
"P10","Tiene Decidido que va a ir a votar",0.925,0.865,0.87,0.87,0.899,0.769
"P10","Tiene dudas sobre si va a ir a  votar",0.063,0.097,0.099,0.13,0.091,0.193
"P10","Tiene Decidido que no va a ir a votar",0.012,0.038,0.031,0,0.01,0.038
"P13","Unión por la Patria",0.796,0.432,0.102,0.043,0.01,0.165
"P13","Juntos por el Cambio ",0.056,0.218,0.438,0.484,0.491,0.281
"P13","Liberales",0.053,0.18,0.265,0.337,0.333,0.216
"P13","Izquierda",0.03,0.054,0.026,0.035,0.043,0.114
"P13","Hacemos por Nuestro país",0.045,0.083,0.061,0.005,0.052,0.056
"P13","No sabe",0.02,0.033,0.108,0.096,0.071,0.168
"P18","Sergio Massa presidente, Agustín Rossi vicepresidente y Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.774,0.465,0.119,0.1,0.023,0.11
"P18","Patricia Bullrich presidenta, Luis Petri vicepresidente y Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.078,0.252,0.556,0.666,0.575,0.455
