"var","categoria","Muy baja","Baja","Moderada","Alta","Muy alta"
"P06","Mucho",0.554,0.473,0.514,0.492,0.481
"P06","Bastante",0.266,0.353,0.368,0.341,0.343
"P06","Poco",0.12,0.137,0.075,0.146,0.144
"P06","Nada",0.056,0.035,0.017,0.02,0.025
"P06","No sabe",0.004,0.002,0.026,0.001,0.007
"P07","Siempre",0.496,0.308,0.326,0.298,0.246
"P07","Casi siempre",0.181,0.432,0.45,0.46,0.443
"P07","Casi nunca",0.129,0.215,0.192,0.193,0.243
"P07","Nunca, pero esta es una excepción",0.194,0.045,0.032,0.049,0.068
"P09","Gran excedente habitual",0.009,0.031,0.007,0.019,0.008
"P09","Gran excedente excepcional",0.003,0.008,0.014,0.014,0.007
"P09","Pequeño excedente habitual",0.006,0.051,0.061,0.088,0.073
"P09","Pequeño excedente excepcional",0.088,0.098,0.164,0.167,0.144
"P09","Alcanza gastos familia",0.053,0.047,0.185,0.09,0.114
"P09","No alcanza gastos familia",0.103,0.085,0.043,0.047,0.077
"P09","Solo NBFamiliares",0.289,0.336,0.312,0.29,0.245
"P09","No alcanza NBFamiliares",0.449,0.342,0.199,0.281,0.329
"P09","No sabe",0,0.002,0.015,0.004,0.003
"P10","Tiene Decidido que va a ir a votar",0.953,0.821,0.876,0.911,0.895
"P10","Tiene dudas sobre si va a ir a  votar",0.043,0.176,0.112,0.076,0.073
"P10","Tiene Decidido que no va a ir a votar",0.004,0.003,0.012,0.013,0.032
"P13","Unión por la Patria",0.396,0.537,0.644,0.643,0.19
"P13","Juntos por el Cambio ",0.148,0.284,0.064,0.17,0.382
"P13","Liberales",0.187,0.051,0.118,0.112,0.256
"P13","Izquierda",0.062,0.028,0.031,0.026,0.041
"P13","Hacemos por Nuestro país",0.15,0.074,0.077,0.011,0.05
"P13","No sabe",0.057,0.026,0.066,0.038,0.081
"P18","Sergio Massa presidente, Agustín Rossi vicepresidente y Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.387,0.532,0.65,0.621,0.211
"P18","Patricia Bullrich presidenta, Luis Petri vicepresidente y Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.238,0.314,0.177,0.203,0.461
"P18","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.221,0.126,0.148,0.119,0.238
"P18","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.063,0,0,0.007,0.013
"P18","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González por el Frente de Izquierda",0.066,0.013,0.002,0.014,0.03
"P18","En blanco",0.012,0.008,0.016,0.017,0.023
"P18","No sabe",0.013,0.007,0.007,0.019,0.024
"P21","Totalmente seguro",0.764,0.586,0.707,0.765,0.709
"P21","Bastante seguro",0.082,0.25,0.131,0.112,0.14
"P21","Algo seguro",0.127,0.156,0.123,0.086,0.089
"P21","Para nada seguro",0.027,0.008,0.039,0.037,0.062
"P32","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.178,0.106,0.052,0.057,0.1
"P32","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.095,0.142,0.022,0.073,0.066
"P32","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.219,0.31,0.249,0.237,0.264
"P32","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.095,0.127,0.263,0.313,0.234
"P32","En blanco",0.394,0.175,0.186,0.205,0.255
"P32","No sabe",0.019,0.14,0.228,0.115,0.081
"P33","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.278,0.111,0.232,0.185,0.047
"P33","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.373,0.295,0.323,0.386,0.425
"P33","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.151,0.069,0.31,0.061,0.147
"P33","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0,0,0.007,0.031,0.011
"P33","En blanco",0.13,0.349,0.058,0.13,0.267
"P33","No sabe",0.068,0.176,0.07,0.207,0.103
"P34","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.021,0.44,0.334,0.26,0.136
"P34","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.315,0.322,0.424,0.279,0.389
"P34","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.082,0.117,0,0.277,0.179
"P34","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0,0,0.027,0.005,0.007
"P34","En blanco",0.582,0.011,0.2,0.177,0.219
"P34","No sabe",0,0.11,0.015,0.002,0.07
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.463,0.282,0.132,0.245,0.462
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.107,0.243,0.18,0.111,0.213
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.242,0.214,0.41,0.409,0.176
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.079,0.158,0.116,0.119,0.047
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.068,0.023,0.119,0.067,0.05
"P36","No sabe",0.041,0.08,0.043,0.049,0.052
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.398,0.568,0.666,0.64,0.238
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.267,0.3,0.162,0.187,0.583
"P37","En blanco",0.286,0.08,0.109,0.102,0.107
"P37","No sabe",0.049,0.052,0.063,0.071,0.072
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.222,0.353,0.271,0.259,0.463
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.318,0.114,0.127,0.141,0.284
"P38","En blanco",0.3,0.315,0.407,0.411,0.151
"P38","No sabe",0.16,0.218,0.195,0.189,0.102
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.458,0.586,0.66,0.672,0.256
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.298,0.186,0.165,0.149,0.455
"P39","En blanco",0.132,0.161,0.09,0.079,0.178
"P39","No sabe",0.112,0.067,0.085,0.1,0.111
"P45","Lo votaría",0.429,0.576,0.712,0.676,0.225
"P45","Puede que lo vote",0.122,0.102,0.095,0.057,0.095
"P45","Nunca lo votaría",0.421,0.316,0.157,0.231,0.641
"P45","No sabe",0.028,0.006,0.036,0.036,0.039
"P46","Lo votaría",0.256,0.277,0.196,0.226,0.429
"P46","Puede que lo vote",0.084,0.14,0.064,0.055,0.166
"P46","Nunca lo votaría",0.641,0.528,0.678,0.678,0.363
"P46","No sabe",0.019,0.055,0.062,0.041,0.042
"P47","Lo votaría",0.256,0.056,0.124,0.124,0.285
"P47","Puede que lo vote",0.117,0.126,0.061,0.103,0.194
"P47","Nunca lo votaría",0.593,0.76,0.741,0.735,0.46
"P47","No sabe",0.034,0.058,0.074,0.038,0.061
"P48","Lo votaría",0.172,0.122,0.155,0.14,0.111
"P48","Puede que lo vote",0.276,0.223,0.317,0.397,0.261
"P48","Nunca lo votaría",0.517,0.556,0.465,0.383,0.583
"P48","No sabe",0.035,0.099,0.063,0.08,0.045
"P49","Lo votaría",0.193,0.075,0.079,0.118,0.056
"P49","Puede que lo vote",0.225,0.284,0.231,0.27,0.302
"P49","Nunca lo votaría",0.492,0.603,0.592,0.531,0.552
"P49","No sabe",0.09,0.038,0.098,0.081,0.09
"P50","Si",0.599,0.35,0.401,0.348,0.517
"P50","No",0.401,0.65,0.599,0.652,0.483
"P51","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.527,0.564,0.512,0.439,0.259
"P51","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.177,0.233,0.082,0.112,0.209
"P51","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.177,0.17,0.266,0.251,0.415
"P51","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.014,0.027,0.103,0.143,0.069
"P51","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.105,0.006,0.008,0.009,0.013
"P51","En blanco",0,0,0.015,0.005,0.019
"P51","No sabe",0,0,0.014,0.041,0.016
"P52","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.637,0.627,0.663,0.583,0.365
"P52","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.215,0.235,0.14,0.162,0.436
"P52","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.1,0.084,0.085,0.015,0.075
"P52","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.",0.021,0.027,0.097,0.152,0.056
"P52","En blanco",0.01,0,0,0.035,0.02
"P52","No sabe",0.017,0.027,0.015,0.053,0.048
"P53","Sergio Massa y Javier Milei",0.592,0.526,0.608,0.602,0.389
"P53","Patricia Bullrich y Javier Milei",0.28,0.388,0.256,0.285,0.531
"P53","Sergio Massa y Patricia Bullrich",0.128,0.086,0.136,0.113,0.08
"P54","Muy buena",0.127,0.08,0.076,0.059,0.021
"P54","Buena",0.11,0.185,0.259,0.128,0.052
"P54","Regular",0.217,0.342,0.443,0.391,0.081
"P54","Mala",0.247,0.257,0.126,0.297,0.22
"P54","Muy mala",0.299,0.136,0.096,0.125,0.626
"P55","Muy buena",0.14,0.143,0.086,0.102,0.022
"P55","Buena",0.122,0.221,0.34,0.233,0.051
"P55","Regular",0.18,0.25,0.346,0.288,0.093
"P55","Mala",0.21,0.14,0.115,0.242,0.16
"P55","Muy mala",0.348,0.246,0.113,0.135,0.674
"P56","Muy buena",0.211,0.188,0.191,0.225,0.067
"P56","Buena",0.239,0.354,0.388,0.334,0.15
"P56","Regular",0.206,0.281,0.321,0.284,0.396
"P56","Mala",0.184,0.117,0.054,0.112,0.221
"P56","Muy mala",0.16,0.06,0.046,0.045,0.166
"P57","Muy buena",0.154,0.023,0.104,0.057,0.024
"P57","Buena",0.191,0.277,0.325,0.287,0.13
"P57","Regular",0.2,0.427,0.452,0.48,0.412
"P57","Mala",0.291,0.188,0.082,0.135,0.269
"P57","Muy mala",0.164,0.085,0.037,0.041,0.165
"P58","Muy buena",0.12,0.074,0.088,0.124,0.043
"P58","Buena",0.157,0.274,0.415,0.274,0.095
"P58","Regular",0.204,0.405,0.374,0.37,0.262
"P58","Mala",0.354,0.114,0.087,0.2,0.288
"P58","Muy mala",0.165,0.133,0.036,0.032,0.312
"P59","Muy buena",0.216,0.15,0.193,0.147,0.063
"P59","Buena",0.205,0.44,0.443,0.404,0.208
"P59","Regular",0.52,0.312,0.28,0.326,0.426
"P59","Mala",0.052,0.04,0.052,0.109,0.193
"P59","Muy mala",0.007,0.058,0.032,0.014,0.11
"P60","Ha aumentado significativamente",0.378,0.044,0.083,0.095,0.032
"P60","Ha aumentado ligeramente",0.113,0.55,0.228,0.255,0.135
"P60","Se mantiene igual",0.109,0.157,0.611,0.32,0.254
"P60","Ha disminuido ligeramente",0.134,0.127,0.053,0.276,0.2
"P60","Ha disminuido significativamente",0.266,0.122,0.025,0.054,0.379
"P62","Muy bajas",0.281,0.062,0.027,0.017,0.042
"P62","Bajas",0.082,0.212,0.12,0.047,0.096
"P62","Adecuadas",0.172,0.3,0.416,0.371,0.209
"P62","Altas",0.254,0.263,0.344,0.466,0.266
"P62","Muy altas",0.211,0.163,0.093,0.099,0.387
"P63","No, ninguna dificultad",0.286,0.231,0.423,0.395,0.246
"P63","Alguna dificultad ocasional",0.202,0.319,0.328,0.339,0.317
"P63","Sí, dificultades frecuentes",0.512,0.45,0.249,0.266,0.437
"P64","Sí, absolutamente",0.658,0.453,0.657,0.613,0.321
"P64","Sí, en cierta medida",0.165,0.4,0.203,0.276,0.348
"P64","No, en absoluto",0.177,0.147,0.14,0.111,0.331
"P65","Reducir la inflación",0.423,0.463,0.452,0.5,0.422
"P65","Implementar reformas fiscales",0.037,0.185,0.122,0.106,0.096
"P65","Establecer políticas de control de precios",0.102,0.184,0.235,0.202,0.089
"P65","Reducir el gasto público",0.214,0.05,0.126,0.1,0.356
"P65","Estimular la inversión extranjera",0.095,0.118,0.056,0.084,0.027
"P65","Aumentar los subsidios a los servicios públicos",0.129,0,0.009,0.008,0.01
"P66","Fomentar la competencia entre proveedores",0.191,0.282,0.236,0.29,0.389
"P66","Incrementar la inversión en infraestructura",0.094,0.296,0.185,0.219,0.197
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.107,0.215,0.241,0.215,0.112
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.608,0.207,0.338,0.276,0.302
"P67","Muy positiva",0.458,0.316,0.292,0.407,0.162
"P67","Positiva",0.063,0.326,0.335,0.249,0.168
"P67","Neutral",0.222,0.23,0.196,0.202,0.302
"P67","Algo negativa",0.165,0.091,0.085,0.041,0.115
"P67","Negativa",0.022,0.028,0.047,0.02,0.158
"P67","No sabe",0.07,0.009,0.045,0.081,0.095
"P68","Muy positivo",0.234,0.323,0.24,0.319,0.081
"P68","Positivo",0.268,0.267,0.325,0.275,0.153
"P68","Neutral",0.125,0.244,0.248,0.223,0.371
"P68","Algo negativo",0.035,0.07,0.039,0.061,0.12
"P68","Negativo",0.072,0.067,0.063,0.027,0.154
"P68","No sabe",0.266,0.029,0.085,0.095,0.121
"P69","Muy positivo",0.114,0.221,0.202,0.303,0.031
"P69","Positivo",0.248,0.25,0.185,0.207,0.126
"P69","Neutral",0.165,0.321,0.444,0.331,0.498
"P69","Algo negativo",0,0.127,0.013,0.045,0.098
"P69","Negativo",0.088,0.023,0.063,0.013,0.116
"P69","No sabe",0.385,0.058,0.093,0.101,0.131
"P70","Muy positiva",0.542,0.51,0.469,0.576,0.212
"P70","Positiva",0.297,0.145,0.247,0.197,0.218
"P70","Neutral",0.091,0.127,0.128,0.145,0.272
"P70","Algo negativa",0.004,0.021,0.052,0.016,0.139
"P70","Negativa",0.06,0.139,0.089,0.037,0.117
"P70","No sabe",0.006,0.058,0.015,0.029,0.042
"P71","Muy positivo",0.533,0.588,0.466,0.541,0.189
"P71","Positivo",0.161,0.144,0.315,0.186,0.213
"P71","Neutral",0.142,0.099,0.082,0.164,0.277
"P71","Algo negativo",0.009,0.039,0.059,0.024,0.146
"P71","Negativo",0.061,0.088,0.064,0.057,0.141
"P71","No sabe",0.094,0.042,0.014,0.028,0.034
"P72","Muy positivo",0.511,0.592,0.408,0.514,0.181
"P72","Positivo",0.09,0.155,0.317,0.206,0.244
"P72","Neutral",0.136,0.151,0.169,0.187,0.348
"P72","Algo negativo",0.06,0.012,0.028,0.023,0.076
"P72","Negativo",0.119,0.006,0.058,0.057,0.119
"P72","No sabe",0.084,0.084,0.02,0.013,0.032
"P73","Muy positiva",0.492,0.395,0.325,0.375,0.136
"P73","Positiva",0.067,0.287,0.305,0.291,0.203
"P73","Neutral",0.154,0.184,0.21,0.206,0.245
"P73","Algo negativa",0.075,0.008,0.032,0.034,0.147
"P73","Negativa",0.113,0.008,0.085,0.056,0.207
"P73","No sabe",0.099,0.118,0.043,0.038,0.062
"P74","Muy positivo",0.367,0.302,0.289,0.368,0.108
"P74","Positivo",0.229,0.377,0.328,0.278,0.189
"P74","Neutral",0.215,0.174,0.228,0.176,0.289
"P74","Algo negativo",0.017,0.008,0.068,0.082,0.135
"P74","Negativo",0.069,0.013,0.065,0.04,0.212
"P74","No sabe",0.103,0.126,0.022,0.056,0.067
"P75","Muy positivo",0.243,0.266,0.242,0.34,0.097
"P75","Positivo",0.359,0.375,0.347,0.244,0.143
"P75","Neutral",0.212,0.148,0.243,0.278,0.393
"P75","Algo negativo",0.012,0.058,0.075,0.042,0.104
"P75","Negativo",0.064,0.029,0.064,0.033,0.181
"P75","No sabe",0.11,0.124,0.029,0.063,0.082
"P76","Muy positiva",0.554,0.474,0.504,0.552,0.273
"P76","Positiva",0.249,0.207,0.219,0.18,0.22
"P76","Neutral",0.076,0.15,0.137,0.148,0.228
"P76","Algo negativa",0.025,0.004,0.021,0.043,0.084
"P76","Negativa",0.049,0.077,0.102,0.036,0.148
"P76","No sabe",0.047,0.088,0.017,0.041,0.047
"P77","Muy positivo",0.472,0.59,0.565,0.538,0.241
"P77","Positivo",0.33,0.118,0.228,0.225,0.242
"P77","Neutral",0.048,0.137,0.105,0.144,0.214
"P77","Algo negativo",0.021,0.059,0.017,0.05,0.117
"P77","Negativo",0.004,0.036,0.076,0.038,0.142
"P77","No sabe",0.125,0.06,0.009,0.005,0.044
"P78","Muy positivo",0.46,0.539,0.463,0.473,0.203
"P78","Positivo",0.318,0.138,0.257,0.227,0.206
"P78","Neutral",0.142,0.133,0.184,0.204,0.351
"P78","Algo negativo",0.016,0.072,0.03,0.014,0.073
"P78","Negativo",0.008,0.026,0.059,0.039,0.113
"P78","No sabe",0.056,0.092,0.007,0.043,0.054
"P79","Si",0.591,0.522,0.708,0.608,0.524
"P79","No",0.409,0.478,0.292,0.392,0.476
